"node_to","layer_from","node_from"
111,7,1
111,8,1
111,11,1
126,9,1
126,10,1
126,11,1
132,9,1
135,8,1
135,9,1
137,8,1
137,10,1
157,8,1
163,8,1
163,9,1
163,10,1
163,11,1
163,12,1
165,7,1
165,8,1
165,9,1
165,10,1
165,11,1
165,12,1
166,9,1
166,10,1
170,7,1
170,8,1
170,12,1
181,9,1
181,10,1
190,10,1
192,7,1
192,8,1
192,11,1
192,12,1
199,7,1
199,8,1
204,8,1
215,11,1
215,12,1
217,7,1
217,8,1
217,9,1
217,10,1
224,9,1
226,7,1
227,8,1
227,9,1
241,7,1
241,8,1
241,10,1
254,8,1
254,9,1
254,10,1
255,11,1
255,12,1
266,7,1
266,8,1
266,9,1
266,10,1
269,11,1
270,9,1
270,11,1
272,11,1
272,12,1
274,7,1
274,8,1
274,9,1
274,10,1
274,11,1
274,12,1
275,7,1
275,8,1
275,9,1
275,10,1
275,11,1
275,12,1
276,8,1
276,10,1
278,9,1
278,10,1
280,8,1
50,7,1
50,8,1
50,9,1
50,10,1
60,7,1
60,8,1
60,9,1
60,10,1
60,11,1
60,12,1
73,7,1
73,8,1
80,11,1
80,12,1
81,9,1
88,11,1
88,12,1
90,11,1
92,7,1
92,8,1
92,9,1
92,10,1
92,11,1
92,12,1
101,8,10
101,10,10
101,12,10
103,13,10
103,14,10
107,13,10
107,14,10
111,7,10
111,8,10
111,11,10
111,14,10
115,13,10
115,14,10
126,9,10
126,10,10
126,11,10
126,13,10
126,14,10
129,13,10
134,14,10
136,7,10
136,8,10
136,13,10
137,8,10
137,10,10
138,9,10
138,10,10
138,11,10
138,12,10
138,13,10
138,14,10
139,10,10
139,13,10
141,9,10
141,10,10
141,11,10
141,12,10
141,13,10
141,14,10
142,10,10
148,12,10
163,8,10
163,9,10
163,10,10
163,11,10
163,12,10
163,13,10
163,14,10
165,7,10
165,8,10
165,9,10
165,10,10
165,11,10
165,12,10
165,13,10
165,14,10
169,13,10
170,7,10
170,8,10
170,12,10
170,13,10
170,14,10
173,7,10
176,7,10
176,13,10
186,8,10
187,7,10
187,8,10
187,9,10
187,10,10
187,11,10
187,12,10
190,10,10
190,13,10
190,14,10
191,13,10
197,11,10
197,12,10
207,11,10
207,14,10
209,13,10
213,7,10
213,8,10
217,7,10
217,8,10
217,9,10
217,10,10
220,8,10
238,7,10
238,8,10
238,11,10
238,12,10
239,12,10
239,13,10
242,9,10
242,10,10
242,14,10
243,8,10
243,11,10
243,12,10
243,13,10
253,7,10
253,8,10
254,8,10
254,9,10
254,10,10
254,14,10
255,11,10
255,12,10
255,13,10
265,13,10
265,14,10
274,7,10
274,8,10
274,9,10
274,10,10
274,11,10
274,12,10
274,13,10
274,14,10
50,7,10
50,8,10
50,9,10
50,10,10
55,7,10
55,8,10
55,9,10
55,10,10
55,12,10
55,13,10
55,14,10
60,7,10
60,8,10
60,9,10
60,10,10
60,11,10
60,12,10
62,7,10
62,11,10
62,12,10
64,8,10
75,14,10
84,8,10
84,12,10
92,7,10
92,8,10
92,9,10
92,10,10
92,11,10
92,12,10
92,13,10
92,14,10
96,10,10
96,14,10
97,13,10
111,5,11
111,6,11
115,5,11
136,5,11
139,5,11
149,5,11
151,5,11
159,5,11
159,6,11
165,5,11
165,6,11
170,5,11
170,6,11
179,5,11
187,5,11
187,6,11
199,5,11
199,6,11
235,5,11
235,6,11
239,5,11
239,6,11
40,6,11
50,5,11
50,6,11
52,5,11
52,6,11
55,5,11
55,6,11
76,5,11
76,6,11
85,5,11
92,5,11
92,6,11
163,5,12
163,6,12
163,8,12
163,9,12
163,10,12
163,12,12
165,5,12
165,6,12
165,8,12
165,9,12
165,10,12
165,12,12
239,5,12
239,6,12
239,12,12
275,5,12
275,6,12
275,8,12
275,9,12
275,10,12
275,12,12
281,2,12
45,2,12
50,5,12
50,6,12
50,8,12
50,9,12
50,10,12
52,5,12
52,6,12
55,5,12
55,6,12
55,8,12
55,9,12
55,10,12
55,12,12
56,5,12
56,10,12
56,12,12
60,5,12
60,6,12
60,8,12
60,9,12
60,10,12
60,12,12
76,5,12
76,6,12
92,5,12
92,6,12
92,8,12
92,9,12
92,10,12
92,12,12
101,8,13
101,10,13
158,10,13
185,8,13
217,7,13
217,8,13
217,10,13
266,7,13
266,8,13
266,10,13
46,8,13
92,7,13
92,8,13
92,10,13
131,3,14
131,4,14
145,4,14
145,7,14
217,7,14
217,8,14
234,3,14
234,4,14
258,1,14
266,7,14
266,8,14
274,3,14
274,4,14
274,7,14
274,8,14
275,3,14
275,4,14
275,7,14
275,8,14
60,7,14
60,8,14
92,3,14
92,7,14
92,8,14
116,2,15
155,4,15
164,2,15
201,4,15
216,1,15
216,2,15
216,4,15
258,1,15
258,2,15
275,4,15
45,1,15
45,2,15
72,1,15
72,2,15
165,5,16
165,10,16
165,11,16
165,12,16
268,5,16
275,5,16
275,10,16
275,11,16
275,12,16
44,5,16
44,10,16
44,12,16
55,5,16
55,10,16
55,12,16
92,5,16
92,10,16
92,11,16
92,12,16
111,3,17
111,4,17
111,5,17
111,6,17
111,7,17
111,8,17
111,11,17
113,1,17
113,2,17
125,3,17
126,9,17
126,10,17
126,11,17
128,4,17
130,6,17
130,7,17
130,8,17
131,3,17
131,4,17
136,5,17
136,7,17
136,8,17
138,9,17
138,10,17
138,11,17
138,12,17
140,8,17
140,10,17
143,7,17
143,12,17
145,4,17
145,7,17
146,3,17
146,12,17
153,4,17
156,11,17
160,1,17
160,2,17
163,3,17
163,5,17
163,6,17
163,8,17
163,9,17
163,10,17
163,11,17
163,12,17
164,2,17
165,5,17
165,6,17
165,7,17
165,8,17
165,9,17
165,10,17
165,11,17
165,12,17
168,4,17
170,1,17
170,2,17
170,3,17
170,4,17
170,5,17
170,6,17
170,7,17
170,8,17
170,12,17
178,10,17
192,7,17
192,8,17
192,11,17
192,12,17
194,1,17
194,2,17
198,1,17
203,6,17
203,12,17
206,2,17
206,3,17
215,6,17
215,11,17
215,12,17
216,1,17
216,2,17
216,3,17
216,4,17
216,8,17
216,11,17
216,12,17
217,5,17
217,6,17
217,7,17
217,8,17
217,9,17
217,10,17
223,3,17
225,1,17
225,3,17
225,4,17
234,3,17
234,4,17
236,3,17
236,4,17
242,1,17
242,2,17
242,3,17
242,4,17
242,9,17
242,10,17
250,2,17
254,8,17
254,9,17
254,10,17
259,2,17
266,7,17
266,8,17
266,9,17
266,10,17
268,5,17
271,1,17
272,11,17
272,12,17
275,3,17
275,4,17
275,5,17
275,6,17
275,7,17
275,8,17
275,9,17
275,10,17
275,11,17
275,12,17
279,8,17
282,6,17
284,1,17
284,2,17
284,3,17
284,4,17
284,6,17
284,7,17
284,8,17
284,10,17
284,12,17
285,2,17
287,1,17
42,6,17
48,4,17
50,3,17
50,4,17
50,5,17
50,6,17
50,7,17
50,8,17
50,9,17
50,10,17
54,1,17
54,2,17
55,3,17
55,4,17
55,5,17
55,6,17
55,7,17
55,8,17
55,9,17
55,10,17
55,12,17
