"","node_id","module","layer_id","flow","type","species"
"1",1,6,7,0.00780127,"plant","Argyranthemum.frutescens"
"2",1,6,8,0.00998954,"plant","Argyranthemum.frutescens"
"3",1,6,9,0.00894876,"plant","Argyranthemum.frutescens"
"4",1,6,10,0.00844085,"plant","Argyranthemum.frutescens"
"5",1,6,11,0.00888248,"plant","Argyranthemum.frutescens"
"6",1,6,12,0.00805805,"plant","Argyranthemum.frutescens"
"7",2,2,2,5.05726e-05,"plant","Argyranthemum.sp."
"8",3,16,1,0.00294815,"plant","Asparagus.pastorianus"
"9",3,16,2,0.0036908,"plant","Asparagus.pastorianus"
"10",4,17,10,0.00101584,"plant","Asphaltklee.bituminosa"
"11",4,17,12,0.00155206,"plant","Asphaltklee.bituminosa"
"12",4,17,13,0.00215027,"plant","Asphaltklee.bituminosa"
"13",4,17,14,0.00227922,"plant","Asphaltklee.bituminosa"
"14",5,19,9,0.00238029,"plant","Ceballosia.fruticosa"
"15",5,19,10,0.00214586,"plant","Ceballosia.fruticosa"
"16",5,19,13,0.00158351,"plant","Ceballosia.fruticosa"
"17",5,19,14,0.00176803,"plant","Ceballosia.fruticosa"
"18",6,35,10,0.000328226,"plant","Ceropegia.dichotoma"
"19",7,8,7,7.12988e-05,"plant","Ceropegia.fusca"
"20",8,2,1,0.00842458,"plant","Euphorbia.balsamifera..f."
"21",8,2,2,0.00850069,"plant","Euphorbia.balsamifera..f."
"22",8,2,3,0.00809251,"plant","Euphorbia.balsamifera..f."
"23",8,2,4,0.00838229,"plant","Euphorbia.balsamifera..f."
"24",8,2,5,0.00871881,"plant","Euphorbia.balsamifera..f."
"25",8,2,6,0.00843191,"plant","Euphorbia.balsamifera..f."
"26",8,2,7,0.00871424,"plant","Euphorbia.balsamifera..f."
"27",8,2,8,0.0080634,"plant","Euphorbia.balsamifera..f."
"28",8,2,9,0.0083947,"plant","Euphorbia.balsamifera..f."
"29",8,2,10,0.00940764,"plant","Euphorbia.balsamifera..f."
"30",8,2,11,0.0091964,"plant","Euphorbia.balsamifera..f."
"31",8,2,12,0.00864171,"plant","Euphorbia.balsamifera..f."
"32",8,2,13,0.00807631,"plant","Euphorbia.balsamifera..f."
"33",8,2,14,0.00792183,"plant","Euphorbia.balsamifera..f."
"34",9,1,1,0.0145492,"plant","Euphorbia.balsamifera..m."
"35",9,1,2,0.0145056,"plant","Euphorbia.balsamifera..m."
"36",9,1,3,0.0148469,"plant","Euphorbia.balsamifera..m."
"37",9,1,4,0.0149716,"plant","Euphorbia.balsamifera..m."
"38",9,1,5,0.0146291,"plant","Euphorbia.balsamifera..m."
"39",9,1,6,0.014359,"plant","Euphorbia.balsamifera..m."
"40",9,1,7,0.0138691,"plant","Euphorbia.balsamifera..m."
"41",9,1,8,0.0139604,"plant","Euphorbia.balsamifera..m."
"42",9,1,9,0.0150151,"plant","Euphorbia.balsamifera..m."
"43",9,1,10,0.015647,"plant","Euphorbia.balsamifera..m."
"44",9,1,11,0.0141232,"plant","Euphorbia.balsamifera..m."
"45",9,1,12,0.0144695,"plant","Euphorbia.balsamifera..m."
"46",9,1,13,0.0138741,"plant","Euphorbia.balsamifera..m."
"47",9,1,14,0.0136777,"plant","Euphorbia.balsamifera..m."
"48",10,4,7,0.00749978,"plant","Euphorbia.lamarckii"
"49",10,4,8,0.00807079,"plant","Euphorbia.lamarckii"
"50",10,4,9,0.00593199,"plant","Euphorbia.lamarckii"
"51",10,4,10,0.00620295,"plant","Euphorbia.lamarckii"
"52",10,4,11,0.00761139,"plant","Euphorbia.lamarckii"
"53",10,4,12,0.00737611,"plant","Euphorbia.lamarckii"
"54",10,4,13,0.0100179,"plant","Euphorbia.lamarckii"
"55",10,4,14,0.0103842,"plant","Euphorbia.lamarckii"
"56",11,15,5,0.00524127,"plant","Euphorbia.regis.jubae"
"57",11,15,6,0.00392731,"plant","Euphorbia.regis.jubae"
"58",12,9,2,0.00250865,"plant","Fagonia.albiflora"
"59",12,9,5,0.00359504,"plant","Fagonia.albiflora"
"60",12,9,6,0.00346387,"plant","Fagonia.albiflora"
"61",12,9,8,0.00217353,"plant","Fagonia.albiflora"
"62",12,9,9,0.00406013,"plant","Fagonia.albiflora"
"63",12,9,10,0.00309792,"plant","Fagonia.albiflora"
"64",12,9,12,0.00295896,"plant","Fagonia.albiflora"
"65",13,18,7,0.00218009,"plant","Frankenia.laevis"
"66",13,18,8,0.00219055,"plant","Frankenia.laevis"
"67",13,18,10,0.00143914,"plant","Frankenia.laevis"
"68",14,14,1,0.00101553,"plant","Helianthemum.canariensis"
"69",14,14,3,0.00227727,"plant","Helianthemum.canariensis"
"70",14,14,4,0.00230992,"plant","Helianthemum.canariensis"
"71",14,14,7,0.00202469,"plant","Helianthemum.canariensis"
"72",14,14,8,0.00184461,"plant","Helianthemum.canariensis"
"73",15,24,1,0.000724698,"plant","Kickxia.heterophylla"
"74",15,24,2,0.000973216,"plant","Kickxia.heterophylla"
"75",15,24,4,0.00134215,"plant","Kickxia.heterophylla"
"76",16,25,5,0.00077921,"plant","Kickxia.scoparia"
"77",16,25,10,0.000547043,"plant","Kickxia.scoparia"
"78",16,25,11,0.00084112,"plant","Kickxia.scoparia"
"79",16,25,12,0.00102291,"plant","Kickxia.scoparia"
"80",17,3,1,0.00756065,"plant","Launaea.arborescens"
"81",17,3,2,0.00784803,"plant","Launaea.arborescens"
"82",17,3,3,0.00945766,"plant","Launaea.arborescens"
"83",17,3,4,0.00867221,"plant","Launaea.arborescens"
"84",17,3,5,0.00720798,"plant","Launaea.arborescens"
"85",17,3,6,0.0079704,"plant","Launaea.arborescens"
"86",17,3,7,0.00767692,"plant","Launaea.arborescens"
"87",17,3,8,0.00791717,"plant","Launaea.arborescens"
"88",17,3,9,0.00611276,"plant","Launaea.arborescens"
"89",17,3,10,0.00657948,"plant","Launaea.arborescens"
"90",17,3,11,0.007424,"plant","Launaea.arborescens"
"91",17,3,12,0.00846746,"plant","Launaea.arborescens"
"92",18,34,10,0.000920632,"plant","Lavendula.buchii"
"93",19,7,6,0.000369277,"plant","Lavendula.minutolii"
"94",20,28,7,0.00179101,"plant","Lavendula.multifida"
"95",20,28,11,0.0005441,"plant","Lavendula.multifida"
"96",21,22,13,0.00284232,"plant","Lotus.glaucus"
"97",22,21,4,0.000545622,"plant","Lotus.lancerottensis"
"98",23,31,7,0.000774346,"plant","Lotus.sessilifolius"
"99",23,31,8,0.00141825,"plant","Lotus.sessilifolius"
"100",24,26,1,0.00189775,"plant","Lotus.sp."
"101",25,32,6,0.000900072,"plant","Lotus.spartioides"
"102",26,7,1,0.00420507,"plant","Lycium.intricatum"
"103",26,7,2,0.00496052,"plant","Lycium.intricatum"
"104",26,7,3,0.00468727,"plant","Lycium.intricatum"
"105",26,7,4,0.00456277,"plant","Lycium.intricatum"
"106",26,7,5,0.00480599,"plant","Lycium.intricatum"
"107",26,7,6,0.00489019,"plant","Lycium.intricatum"
"108",26,7,7,0.00404923,"plant","Lycium.intricatum"
"109",26,7,8,0.00371829,"plant","Lycium.intricatum"
"110",26,7,9,0.00443199,"plant","Lycium.intricatum"
"111",26,7,10,0.00396134,"plant","Lycium.intricatum"
"112",26,7,12,0.00392391,"plant","Lycium.intricatum"
