"","module","layer_from","layer_to","module_sharing","distance"
"1","1",1,2,0.875,505.679714
"2","1",2,3,0.4,305483.51
"3","1",2,4,0.25,305468.5845
"4","1",2,6,0.25,244435.1061
"5","1",2,7,0.2,339422.5451
"6","1",2,8,0.2,339445.9549
"7","1",2,10,0.4,389146.973
"8","1",2,12,0.2,389996.6073
"9","1",3,4,0.714285714285714,67.363151
"10","1",3,9,0.5,337010.9202
"11","1",3,12,0.25,376943.1528
"12","1",4,9,0.75,336943.6391
"13","1",6,7,0.25,116448.0545
"14","1",6,8,0.2,116423.1775
"15","1",9,11,0.75,52803.77965
"16","1",9,13,0.75,129490.6054
"17","1",10,14,0.5,129338.2219
"18","2",1,2,1,505.679714
"19","2",4,8,0.25,284158.7826
"20","2",4,12,0.75,376876.5125
"21","2",5,8,0.25,116473.2763
"22","3",3,4,0.857142857142857,67.363151
"23","3",3,5,0.25,190517.2168
"24","3",3,6,0.6,190493.473
"25","3",3,7,0.5,284291.92
"26","3",3,8,0.4,284225.6416
"27","3",3,12,0.4,376943.1528
"28","3",4,6,0.5,190431.974
"29","3",4,7,0.5,284225.063
"30","3",4,8,0.5,284158.7826
"31","3",6,12,1,200269.4864
"32","3",7,12,0.5,92982.62174
"33","4",7,8,1,95.901643
"34","4",8,10,0.25,57537.41864
"35","4",8,12,0.5,93055.34728
"36","4",11,12,0.5,70.701802
"37","4",13,14,0.666666666666667,93.399466
"38","5",7,8,0.833333333333333,95.901643
"39","5",7,11,0.2,92943.79946
"40","5",7,12,0.333333333333333,92982.62174
"41","5",8,11,0.25,93016.48528
"42","5",8,12,0.4,93055.34728
"43","5",9,11,0.25,52803.77965
"44","5",9,12,0.25,52869.02752
"45","6",7,8,0.75,95.901643
"46","6",8,9,0.571428571428571,57421.1674
"47","6",8,11,0.25,93016.48528
"48","6",8,12,0.5,93055.34728
"49","6",11,12,0.75,70.701802
"50","7",5,6,0.8,95.95512
"51","7",5,7,0.5,116498.0882
"52","7",5,9,0.5,173827.6658
"53","7",5,12,0.333333333333333,200296.3813
"54","7",6,7,0.5,116448.0545
"55","7",6,9,0.5,173779.1593
"56","7",6,12,0.5,200269.4864
"57","10",11,12,0.2,70.701802
"58","12",11,12,0.6,70.701802
"59","12",11,14,0.5,80155.97026
