"layer_from","layer_to","ave","sd","ave_dist","type","ave_dist_in_km"
1,2,0.733333333333333,NA,505.679714,"empirical",0.505679714
1,3,0.28,NA,305029.0863,"empirical",305.0290863
1,4,0.363636363636364,NA,305014.2086,"empirical",305.0142086
1,5,0.214285714285714,NA,244126.1002,"empirical",244.1261002
1,6,0.222222222222222,NA,244218.2947,"empirical",244.2182947
1,7,0.21875,NA,339317.6653,"empirical",339.3176653
1,8,0.2,NA,339340.9395,"empirical",339.3409395
1,9,0.24,NA,389041.2745,"empirical",389.0412745
1,10,0.230769230769231,NA,389081.6723,"empirical",389.0816723
1,11,0.208333333333333,NA,390021.0886,"empirical",390.0210886
1,12,0.25,NA,389999.5747,"empirical",389.9995747
1,13,0.166666666666667,NA,437366.7753,"empirical",437.3667753
2,3,0.28,NA,305483.51,"empirical",305.48351
2,4,0.363636363636364,NA,305468.5845,"empirical",305.4685845
2,5,0.307692307692308,NA,244342.8621,"empirical",244.3428621
2,6,0.269230769230769,NA,244435.1061,"empirical",244.4351061
2,7,0.181818181818182,NA,339422.5451,"empirical",339.4225451
2,8,0.235294117647059,NA,339445.9549,"empirical",339.4459549
2,9,0.291666666666667,NA,389106.7971,"empirical",389.1067971
2,10,0.333333333333333,NA,389146.973,"empirical",389.146973
2,11,0.208333333333333,NA,390018.2084,"empirical",390.0182084
2,12,0.363636363636364,NA,389996.6073,"empirical",389.9966073
2,13,0.217391304347826,NA,437285.0066,"empirical",437.2850066
3,4,0.8,NA,67.363151,"empirical",0.067363151
3,5,0.538461538461538,NA,190517.2168,"empirical",190.5172168
3,6,0.5,NA,190493.473,"empirical",190.493473
3,7,0.363636363636364,NA,284291.92,"empirical",284.29192
3,8,0.411764705882353,NA,284225.6416,"empirical",284.2256416
3,9,0.48,NA,337010.9202,"empirical",337.0109202
3,10,0.461538461538462,NA,337167.3216,"empirical",337.1673216
3,11,0.4,NA,376908.7486,"empirical",376.9087486
3,12,0.5,NA,376943.1528,"empirical",376.9431528
3,13,0.36,NA,455682.8693,"empirical",455.6828693
4,5,0.407407407407407,NA,190455.7312,"empirical",190.4557312
4,6,0.37037037037037,NA,190431.974,"empirical",190.431974
4,7,0.34375,NA,284225.063,"empirical",284.225063
4,8,0.352941176470588,NA,284158.7826,"empirical",284.1587826
4,9,0.346153846153846,NA,336943.6391,"empirical",336.9436391
4,10,0.333333333333333,NA,337100.0413,"empirical",337.1000413
4,11,0.269230769230769,NA,376842.1066,"empirical",376.8421066
4,12,0.36,NA,376876.5125,"empirical",376.8765125
4,13,0.230769230769231,NA,455616.6148,"empirical",455.6166148
5,6,0.782608695652174,NA,95.95512,"empirical",0.09595512
5,7,0.516129032258065,NA,116498.0882,"empirical",116.4980882
5,8,0.666666666666667,NA,116473.2763,"empirical",116.4732763
5,9,0.444444444444444,NA,173827.6658,"empirical",173.8276658
5,10,0.538461538461538,NA,173938.4686,"empirical",173.9384686
5,11,0.423076923076923,NA,200279.0495,"empirical",200.2790495
5,12,0.583333333333333,NA,200296.3813,"empirical",200.2963813
5,13,0.44,NA,274321.0892,"empirical",274.3210892
6,7,0.4375,NA,116448.0545,"empirical",116.4480545
6,8,0.53125,NA,116423.1775,"empirical",116.4231775
6,9,0.52,NA,173779.1593,"empirical",173.7791593
6,10,0.56,NA,173890.0276,"empirical",173.8900276
6,11,0.44,NA,200252.1231,"empirical",200.2521231
6,12,0.541666666666667,NA,200269.4864,"empirical",200.2694864
6,13,0.458333333333333,NA,274306.3841,"empirical",274.3063841
7,8,0.833333333333333,NA,95.901643,"empirical",0.095901643
7,9,0.333333333333333,NA,57391.05093,"empirical",57.39105093
7,10,0.323529411764706,NA,57507.0912,"empirical",57.5070912
7,11,0.448275862068966,NA,92943.79946,"empirical",92.94379946
7,12,0.433333333333333,NA,92982.62174,"empirical",92.98262174
7,13,0.32258064516129,NA,172702.2428,"empirical",172.7022428
8,9,0.382352941176471,NA,57421.1674,"empirical",57.4211674
8,10,0.454545454545455,NA,57537.41864,"empirical",57.53741864
8,11,0.40625,NA,93016.48528,"empirical",93.01648528
8,12,0.533333333333333,NA,93055.34728,"empirical",93.05534728
8,13,0.375,NA,172778.5189,"empirical",172.7785189
9,10,0.85,NA,176.725963,"empirical",0.176725963
9,11,0.545454545454545,NA,52803.77965,"empirical",52.80377965
9,12,0.521739130434783,NA,52869.02752,"empirical",52.86902752
9,13,0.571428571428571,NA,129490.6054,"empirical",129.4906054
10,11,0.521739130434783,NA,52633.94478,"empirical",52.63394478
10,12,0.565217391304348,NA,52699.21787,"empirical",52.69921787
10,13,0.545454545454545,NA,129313.8797,"empirical",129.3138797
11,12,0.65,NA,70.701802,"empirical",0.070701802
11,13,0.55,NA,80115.5239,"empirical",80.1155239
12,13,0.6,NA,80069.46551,"empirical",80.06946551
13,14,0.470588235294118,NA,93.399466,"empirical",0.093399466
1,2,0.223515068265068,0.0345418924604708,505.679714,"null_model",0.505679714
1,3,0.242910864135864,0.0378792142099569,305029.0863,"null_model",305.0290863
1,4,0.241200356016533,0.0445986138985205,305014.2086,"null_model",305.0142086
1,5,0.0720186028024263,0.0140753826530336,244126.1002,"null_model",244.1261002
1,6,0.0697372905044732,0.0130695321488247,244218.2947,"null_model",244.2182947
1,7,0.209715074730051,0.0191235073146875,339317.6653,"null_model",339.3176653
1,8,0.133022119465502,0.0269072025851103,339340.9395,"null_model",339.3409395
1,9,0.139095834106554,0.0142504492157485,389041.2745,"null_model",389.0412745
1,10,0.13268801906298,0.0141413123150844,389081.6723,"null_model",389.0816723
1,11,0.14841707116413,0.0163876394542075,390021.0886,"null_model",390.0210886
1,12,0.13925163983763,0.0173967908399021,389999.5747,"null_model",389.9995747
1,13,0.0721252602789367,0.00899344482609559,437366.7753,"null_model",437.3667753
2,3,0.167080802530803,0.0358376793471239,305483.51,"null_model",305.48351
2,4,0.181421295371296,0.0405038067149827,305468.5845,"null_model",305.4685845
2,5,0.173492526917527,0.0258072171612124,244342.8621,"null_model",244.3428621
2,6,0.16665068346686,0.0226003698451479,244435.1061,"null_model",244.4351061
2,7,0.0682556954655252,0.00797139771613657,339422.5451,"null_model",339.4225451
2,8,0.0724862897937975,0.0237997757599551,339445.9549,"null_model",339.4459549
2,9,0.155870002138385,0.0183379868352889,389106.7971,"null_model",389.1067971
2,10,0.14801109090428,0.0187355355018783,389146.973,"null_model",389.146973
2,11,0.078445239319504,0.0134554695965763,390018.2084,"null_model",390.0182084
2,12,0.15604451430922,0.0207980129925831,389996.6073,"null_model",389.9966073
2,13,0.0819337162837163,0.00997872712498008,437285.0066,"null_model",437.2850066
3,4,0.209302908202908,0.0542622822376078,67.363151,"null_model",0.067363151
3,5,0.101958028083028,0.0342935152521892,190517.2168,"null_model",190.5172168
3,6,0.0936811993561993,0.0278282775803528,190493.473,"null_model",190.493473
3,7,0.175175162337663,0.0316634489788786,284291.92,"null_model",284.29192
3,8,0.0904487230090171,0.0389430539796949,284225.6416,"null_model",284.2256416
3,9,0.0963469362337009,0.0361011261036993,337010.9202,"null_model",337.0109202
