"layer_from","layer_to","ave_distance","turnover","trial"
1,10,389081.6723,0.607142857142857,961
1,10,389081.6723,0.6,316
1,10,389081.6723,0.72,952
1,10,389081.6723,0.692307692307692,418
1,10,389081.6723,0.64,405
1,10,389081.6723,0.586206896551724,946
1,10,389081.6723,0.612903225806452,60
1,10,389081.6723,0.483870967741935,141
1,10,389081.6723,0.615384615384615,247
1,10,389081.6723,0.666666666666667,749
1,10,389081.6723,0.62962962962963,955
1,10,389081.6723,0.5625,986
1,10,389081.6723,0.580645161290323,250
1,10,389081.6723,0.6,526
1,10,389081.6723,0.655172413793103,61
1,10,389081.6723,0.645161290322581,317
1,10,389081.6723,0.571428571428571,273
1,10,389081.6723,0.485714285714286,780
1,10,389081.6723,0.53125,137
1,10,389081.6723,0.625,100
1,10,389081.6723,0.68,815
1,10,389081.6723,0.518518518518518,403
1,10,389081.6723,0.62962962962963,274
1,10,389081.6723,0.620689655172414,960
1,10,389081.6723,0.76,949
1,10,389081.6723,0.529411764705882,838
1,10,389081.6723,0.5625,414
1,10,389081.6723,0.580645161290323,907
1,10,389081.6723,0.580645161290323,140
1,10,389081.6723,0.46875,314
1,10,389081.6723,0.689655172413793,751
1,10,389081.6723,0.555555555555556,522
1,10,389081.6723,0.642857142857143,104
1,10,389081.6723,0.6,207
1,10,389081.6723,0.566666666666667,404
1,10,389081.6723,0.636363636363636,62
1,10,389081.6723,0.566666666666667,781
1,10,389081.6723,0.5,205
1,10,389081.6723,0.666666666666667,315
1,10,389081.6723,0.516129032258065,206
1,10,389081.6723,0.769230769230769,842
1,10,389081.6723,0.620689655172414,113
1,10,389081.6723,0.620689655172414,269
1,10,389081.6723,0.740740740740741,737
1,10,389081.6723,0.533333333333333,63
1,10,389081.6723,0.5,782
1,10,389081.6723,0.62962962962963,561
1,10,389081.6723,0.533333333333333,750
1,10,389081.6723,0.46875,70
1,10,389081.6723,0.516129032258065,841
1,10,389081.6723,0.612903225806452,419
1,10,389081.6723,0.653846153846154,388
1,10,389081.6723,0.620689655172414,752
1,10,389081.6723,0.592592592592593,990
1,10,389081.6723,0.451612903225806,953
1,10,389081.6723,0.666666666666667,840
1,10,389081.6723,0.566666666666667,959
1,10,389081.6723,0.708333333333333,260
1,10,389081.6723,0.615384615384615,948
1,10,389081.6723,0.724137931034483,98
1,10,389081.6723,0.714285714285714,409
1,10,389081.6723,0.703703703703704,908
1,10,389081.6723,0.620689655172414,839
1,10,389081.6723,0.655172413793103,349
1,10,389081.6723,0.633333333333333,947
1,10,389081.6723,0.633333333333333,812
1,10,389081.6723,0.642857142857143,159
1,10,389081.6723,0.642857142857143,109
1,10,389081.6723,0.53125,271
1,10,389081.6723,0.642857142857143,321
1,10,389081.6723,0.580645161290323,745
1,10,389081.6723,0.730769230769231,784
1,10,389081.6723,0.551724137931034,277
1,10,389081.6723,0.642857142857143,645
1,10,389081.6723,0.533333333333333,632
1,10,389081.6723,0.653846153846154,145
1,10,389081.6723,0.551724137931034,843
1,10,389081.6723,0.758620689655172,962
1,10,389081.6723,0.515151515151515,408
1,10,389081.6723,0.692307692307692,251
1,10,389081.6723,0.620689655172414,531
1,10,389081.6723,0.6,107
1,10,389081.6723,0.586206896551724,144
1,10,389081.6723,0.678571428571429,992
1,10,389081.6723,0.551724137931034,38
1,10,389081.6723,0.576923076923077,7
1,10,389081.6723,0.53125,131
1,10,389081.6723,0.655172413793103,143
1,10,389081.6723,0.545454545454545,985
1,10,389081.6723,0.642857142857143,954
1,10,389081.6723,0.62962962962963,87
1,10,389081.6723,0.62962962962963,282
1,10,389081.6723,0.566666666666667,68
1,10,389081.6723,0.620689655172414,523
1,10,389081.6723,0.571428571428571,535
1,10,389081.6723,0.615384615384615,410
1,10,389081.6723,0.666666666666667,816
1,10,389081.6723,0.586206896551724,416
1,10,389081.6723,0.655172413793103,204
1,10,389081.6723,0.518518518518518,697
1,10,389081.6723,0.620689655172414,154
1,10,389081.6723,0.6,771
1,10,389081.6723,0.666666666666667,528
1,10,389081.6723,0.566666666666667,415
1,10,389081.6723,0.6,199
1,10,389081.6723,0.533333333333333,153
1,10,389081.6723,0.586206896551724,72
1,10,389081.6723,0.575757575757576,390
1,10,389081.6723,0.5,527
1,10,389081.6723,0.59375,633
1,10,389081.6723,0.580645161290323,115
1,10,389081.6723,0.545454545454545,71
1,10,389081.6723,0.730769230769231,407
1,10,389081.6723,0.580645161290323,963
1,10,389081.6723,0.535714285714286,389
1,10,389081.6723,0.607142857142857,139
1,10,389081.6723,0.516129032258065,532
1,10,389081.6723,0.5625,406
1,10,389081.6723,0.678571428571429,276
1,10,389081.6723,0.689655172413793,382
1,10,389081.6723,0.566666666666667,138
1,10,389081.6723,0.678571428571429,562
1,10,389081.6723,0.62962962962963,32
1,10,389081.6723,0.607142857142857,412
1,10,389081.6723,0.62962962962963,1
1,10,389081.6723,0.548387096774194,743
1,10,389081.6723,0.5625,275
1,10,389081.6723,0.642857142857143,69
1,10,389081.6723,0.586206896551724,524
