"","node_id","module","sub_module","sub_sub_module","layer_id","flow","type","species"
"1",1,1,4,NA,7,0.000695917,"plant","Argyranthemum.frutescens"
"2",1,1,4,NA,8,0.00379997,"plant","Argyranthemum.frutescens"
"3",1,1,4,NA,9,0.00307583,"plant","Argyranthemum.frutescens"
"4",1,1,4,NA,10,0.00563186,"plant","Argyranthemum.frutescens"
"5",1,1,4,NA,11,0.00542989,"plant","Argyranthemum.frutescens"
"6",1,1,4,NA,12,0.0130905,"plant","Argyranthemum.frutescens"
"7",2,1,23,NA,2,0.000231442,"plant","Argyranthemum.sp."
"8",3,1,11,NA,1,0.00075346,"plant","Asparagus.pastorianus"
"9",3,1,11,NA,2,0.00625418,"plant","Asparagus.pastorianus"
"10",4,1,9,NA,10,7.36681e-05,"plant","Asphaltklee.bituminosa"
"11",4,1,5,NA,12,0.00106068,"plant","Asphaltklee.bituminosa"
"12",4,1,5,NA,13,0.00202036,"plant","Asphaltklee.bituminosa"
"13",4,1,5,NA,14,0.0141784,"plant","Asphaltklee.bituminosa"
"14",5,1,9,NA,9,0.000567998,"plant","Ceballosia.fruticosa"
"15",5,1,9,NA,10,0.00161544,"plant","Ceballosia.fruticosa"
"16",5,1,1,NA,13,0.000881397,"plant","Ceballosia.fruticosa"
"17",5,1,1,NA,14,0.00771545,"plant","Ceballosia.fruticosa"
"18",6,1,33,NA,10,0.000652026,"plant","Ceropegia.dichotoma"
"19",7,1,1,NA,7,7.87009e-06,"plant","Ceropegia.fusca"
"20",10,1,1,NA,7,0.0010528,"plant","Euphorbia.lamarckii"
"21",10,1,1,NA,8,0.00310811,"plant","Euphorbia.lamarckii"
"22",10,1,1,NA,9,0.000643429,"plant","Euphorbia.lamarckii"
"23",10,1,1,NA,10,0.00131796,"plant","Euphorbia.lamarckii"
"24",10,1,1,NA,11,0.00253431,"plant","Euphorbia.lamarckii"
"25",10,1,1,NA,12,0.00718123,"plant","Euphorbia.lamarckii"
"26",10,1,1,NA,13,0.0115598,"plant","Euphorbia.lamarckii"
"27",10,1,1,NA,14,0.107498,"plant","Euphorbia.lamarckii"
"28",11,1,17,NA,5,0.00219558,"plant","Euphorbia.regis.jubae"
"29",11,1,17,NA,6,0.00253649,"plant","Euphorbia.regis.jubae"
"30",12,1,10,NA,2,0.000480701,"plant","Fagonia.albiflora"
"31",12,1,10,NA,5,0.000414424,"plant","Fagonia.albiflora"
"32",12,1,10,NA,6,0.001199,"plant","Fagonia.albiflora"
"33",12,1,10,NA,8,0.000430485,"plant","Fagonia.albiflora"
"34",12,1,10,NA,9,0.00162541,"plant","Fagonia.albiflora"
"35",12,1,10,NA,10,0.0018489,"plant","Fagonia.albiflora"
"36",12,1,10,NA,12,0.00507377,"plant","Fagonia.albiflora"
"37",13,1,15,NA,7,0.000257598,"plant","Frankenia.laevis"
"38",13,1,15,NA,8,0.0011099,"plant","Frankenia.laevis"
"39",13,1,15,NA,10,0.00144732,"plant","Frankenia.laevis"
"40",14,1,25,NA,1,1.06023e-05,"plant","Helianthemum.canariensis"
"41",14,1,25,NA,3,0.000384044,"plant","Helianthemum.canariensis"
"42",14,1,25,NA,4,0.000785946,"plant","Helianthemum.canariensis"
"43",14,1,25,NA,7,0.000645887,"plant","Helianthemum.canariensis"
"44",14,1,25,NA,8,0.000993007,"plant","Helianthemum.canariensis"
"45",15,1,27,NA,1,2.43893e-05,"plant","Kickxia.heterophylla"
"46",15,1,27,NA,2,0.000691305,"plant","Kickxia.heterophylla"
"47",15,1,27,NA,4,0.00119319,"plant","Kickxia.heterophylla"
"48",16,1,7,NA,5,0.000172777,"plant","Kickxia.scoparia"
"49",16,1,7,NA,10,0.00011756,"plant","Kickxia.scoparia"
"50",16,1,7,NA,11,0.000223295,"plant","Kickxia.scoparia"
"51",16,1,7,NA,12,0.00173766,"plant","Kickxia.scoparia"
"52",17,1,2,NA,1,0.00122037,"plant","Launaea.arborescens"
"53",17,1,2,NA,2,0.00240589,"plant","Launaea.arborescens"
"54",17,1,2,NA,3,0.00299016,"plant","Launaea.arborescens"
"55",17,1,2,NA,4,0.00429935,"plant","Launaea.arborescens"
"56",17,1,2,NA,5,0.00154755,"plant","Launaea.arborescens"
"57",17,1,2,NA,6,0.00320904,"plant","Launaea.arborescens"
"58",17,1,2,NA,7,0.00270215,"plant","Launaea.arborescens"
"59",17,1,2,NA,8,0.00452396,"plant","Launaea.arborescens"
"60",17,1,2,NA,9,0.00246617,"plant","Launaea.arborescens"
"61",17,1,2,NA,10,0.00492099,"plant","Launaea.arborescens"
"62",17,1,2,NA,11,0.00519823,"plant","Launaea.arborescens"
"63",17,1,2,NA,12,0.0187604,"plant","Launaea.arborescens"
"64",18,1,7,NA,10,0.00141042,"plant","Lavendula.buchii"
"65",19,1,5,NA,6,0.000157683,"plant","Lavendula.minutolii"
"66",20,1,29,NA,7,0.00118306,"plant","Lavendula.multifida"
"67",20,1,29,NA,11,0.000371546,"plant","Lavendula.multifida"
"68",21,1,12,NA,13,0.00676098,"plant","Lotus.glaucus"
"69",22,2,3,NA,4,0.00112642,"plant","Lotus.lancerottensis"
"70",23,1,30,NA,7,7.87009e-06,"plant","Lotus.sessilifolius"
"71",23,1,30,NA,8,0.00160745,"plant","Lotus.sessilifolius"
"72",24,1,28,NA,1,0.00133025,"plant","Lotus.sp."
"73",25,1,35,NA,6,0.000529638,"plant","Lotus.spartioides"
"74",26,1,7,NA,1,0.000454317,"plant","Lycium.intricatum"
"75",26,1,7,NA,2,0.00252317,"plant","Lycium.intricatum"
"76",26,1,7,NA,3,0.000859575,"plant","Lycium.intricatum"
"77",26,1,7,NA,4,0.00171756,"plant","Lycium.intricatum"
"78",26,1,7,NA,5,0.00130992,"plant","Lycium.intricatum"
"79",26,1,7,NA,6,0.00189638,"plant","Lycium.intricatum"
"80",26,1,7,NA,7,0.00131248,"plant","Lycium.intricatum"
"81",26,1,7,NA,8,0.00152568,"plant","Lycium.intricatum"
"82",26,1,7,NA,9,0.00225951,"plant","Lycium.intricatum"
"83",26,1,7,NA,10,0.00425375,"plant","Lycium.intricatum"
"84",26,1,7,NA,12,0.00686497,"plant","Lycium.intricatum"
"85",27,1,3,NA,9,7.77939e-05,"plant","Nauplius.aquaticus"
"86",27,1,3,NA,10,0.0014896,"plant","Nauplius.aquaticus"
"87",28,1,20,2,1,0.000261289,"plant","Nauplius.sp."
"88",28,1,20,1,2,0.00235385,"plant","Nauplius.sp."
"89",29,1,1,NA,9,6.79984e-05,"plant","Neochamaelea.pulverulenta"
"90",30,1,9,NA,10,0.00717707,"plant","Parolinia.intermedia"
"91",31,1,1,NA,7,0.00192321,"plant","Periploca.laevigata"
"92",31,1,1,NA,8,0.00399924,"plant","Periploca.laevigata"
"93",31,1,1,NA,9,0.00201033,"plant","Periploca.laevigata"
"94",31,1,1,NA,10,0.00341342,"plant","Periploca.laevigata"
"95",31,1,1,NA,11,0.00245963,"plant","Periploca.laevigata"
"96",31,1,1,NA,12,0.00801508,"plant","Periploca.laevigata"
"97",31,1,1,NA,13,0.00542727,"plant","Periploca.laevigata"
"98",31,1,1,NA,14,0.0483611,"plant","Periploca.laevigata"
"99",32,2,5,NA,3,0.000258574,"plant","Phagnalon.purpurascens"
"100",32,2,1,NA,4,0.00224971,"plant","Phagnalon.purpurascens"
"101",33,1,3,NA,11,0.00114505,"plant","Phagnalon.saxatile"
"102",33,1,3,NA,12,0.00672117,"plant","Phagnalon.saxatile"
"103",33,1,3,NA,14,0.0182508,"plant","Phagnalon.saxatile"
"104",34,1,16,NA,5,0.000243017,"plant","Plocama.pendula"
"105",34,1,16,NA,6,0.00104377,"plant","Plocama.pendula"
"106",34,1,16,NA,7,0.000425195,"plant","Plocama.pendula"
"107",34,1,16,NA,11,0.000962645,"plant","Plocama.pendula"
"108",35,1,8,NA,5,0.000263813,"plant","Rubia.fruticosa"
