"node_from","node_to","layer_from","co_occurrences","interactions","weight"
10,101,8,3,2,1
10,101,10,3,2,0
10,101,12,3,2,1
10,103,13,2,2,2
10,103,14,2,2,1
10,107,13,2,1,2
10,107,14,2,1,0
10,111,7,4,1,0
10,111,8,4,1,0
10,111,11,4,1,0
10,111,14,4,1,1
10,115,13,2,2,2
10,115,14,2,2,11
10,126,9,5,3,1
10,126,10,5,3,0
10,126,11,5,3,0
10,126,13,5,3,1
10,126,14,5,3,1
10,129,13,1,1,2
10,134,14,1,1,1
10,136,7,3,3,2
10,136,8,3,3,1
10,136,13,3,3,1
10,137,8,2,1,1
10,137,10,2,1,0
10,138,9,6,4,0
10,138,10,6,4,1
10,138,11,6,4,1
10,138,12,6,4,0
10,138,13,6,4,9
10,138,14,6,4,3
10,139,10,2,2,1
10,139,13,2,2,4
10,141,9,6,2,0
10,141,10,6,2,0
10,141,11,6,2,0
10,141,12,6,2,0
10,141,13,6,2,1
10,141,14,6,2,3
10,142,10,1,1,2
10,148,12,1,1,1
10,163,8,7,3,0
10,163,9,7,3,0
10,163,10,7,3,0
10,163,11,7,3,0
10,163,12,7,3,1
10,163,13,7,3,5
10,163,14,7,3,6
10,165,7,8,2,0
10,165,8,8,2,0
10,165,9,8,2,0
10,165,10,8,2,0
10,165,11,8,2,0
10,165,12,8,2,0
10,165,13,8,2,2
10,165,14,8,2,9
10,169,13,1,1,1
10,170,7,5,3,0
10,170,8,5,3,2
10,170,12,5,3,0
10,170,13,5,3,1
10,170,14,5,3,4
10,173,7,1,1,1
10,176,7,2,1,1
10,176,13,2,1,0
10,186,8,1,1,1
10,187,7,6,3,0
10,187,8,6,3,1
10,187,9,6,3,0
10,187,10,6,3,0
10,187,11,6,3,1
10,187,12,6,3,1
10,190,10,3,2,0
10,190,13,3,2,1
10,190,14,3,2,5
10,191,13,1,1,2
10,197,11,2,1,1
10,197,12,2,1,0
10,207,11,2,1,0
10,207,14,2,1,1
10,209,13,1,1,1
10,213,7,2,2,1
10,213,8,2,2,2
10,217,7,4,1,0
10,217,8,4,1,3
10,217,9,4,1,0
10,217,10,4,1,0
10,220,8,1,1,1
10,238,7,4,1,0
10,238,8,4,1,0
10,238,11,4,1,0
10,238,12,4,1,1
10,239,12,2,1,0
10,239,13,2,1,1
10,242,9,3,1,0
10,242,10,3,1,0
10,242,14,3,1,1
10,243,8,4,1,1
10,243,11,4,1,0
10,243,12,4,1,0
10,243,13,4,1,0
10,253,7,2,2,1
10,253,8,2,2,2
10,254,8,4,1,0
10,254,9,4,1,0
10,254,10,4,1,0
10,254,14,4,1,1
10,255,11,3,3,2
10,255,12,3,3,4
10,255,13,3,3,2
10,265,13,2,1,0
10,265,14,2,1,2
10,274,7,8,1,1
10,274,8,8,1,0
10,274,9,8,1,0
10,274,10,8,1,0
10,274,11,8,1,0
10,274,12,8,1,0
10,274,13,8,1,0
10,274,14,8,1,0
10,50,7,4,2,1
10,50,8,4,2,2
10,50,9,4,2,0
10,50,10,4,2,0
10,55,7,7,1,0
10,55,8,7,1,0
10,55,9,7,1,0
10,55,10,7,1,0
10,55,12,7,1,0
10,55,13,7,1,2
10,55,14,7,1,0
10,60,7,6,2,1
10,60,8,6,2,4
10,60,9,6,2,0
10,60,10,6,2,0
10,60,11,6,2,0
10,60,12,6,2,0
10,62,7,3,1,0
10,62,11,3,1,2
10,62,12,3,1,0
10,64,8,1,1,1
10,75,14,1,1,1
10,84,8,2,1,1
10,84,12,2,1,0
10,92,7,8,8,22
10,92,8,8,8,4
10,92,9,8,8,11
10,92,10,8,8,20
10,92,11,8,8,27
10,92,12,8,8,24
10,92,13,8,8,29
10,92,14,8,8,42
10,96,10,2,1,0
10,96,14,2,1,2
10,97,13,1,1,1
11,111,5,2,1,1
11,111,6,2,1,0
11,115,5,1,1,2
11,136,5,1,1,1
11,139,5,1,1,3
11,149,5,1,1,1
11,151,5,1,1,1
11,159,5,2,2,4
11,159,6,2,2,4
11,165,5,2,2,2
11,165,6,2,2,1
11,170,5,2,1,3
11,170,6,2,1,0
11,179,5,1,1,1
11,187,5,2,1,3
11,187,6,2,1,0
11,199,5,2,1,5
11,199,6,2,1,0
11,235,5,2,1,0
11,235,6,2,1,1
11,239,5,2,2,1
11,239,6,2,2,1
11,40,6,1,1,1
11,50,5,2,2,4
11,50,6,2,2,4
11,52,5,2,1,7
11,52,6,2,1,0
11,55,5,2,1,1
11,55,6,2,1,0
11,76,5,2,1,4
11,76,6,2,1,0
11,85,5,1,1,1
11,92,5,2,2,14
11,92,6,2,2,28
12,163,5,6,4,6
12,163,6,6,4,1
12,163,8,6,4,0
12,163,9,6,4,2
12,163,10,6,4,3
12,163,12,6,4,0
12,165,5,6,2,0
12,165,6,6,2,0
12,165,8,6,2,0
12,165,9,6,2,1
12,165,10,6,2,0
12,165,12,6,2,3
12,239,5,3,1,0
12,239,6,3,1,0
12,239,12,3,1,2
12,275,5,6,5,16
12,275,6,6,5,9
12,275,8,6,5,3
12,275,9,6,5,40
12,275,10,6,5,5
12,275,12,6,5,0
12,281,2,1,1,1
12,45,2,1,1,3
12,50,5,5,1,0
12,50,6,5,1,0
12,50,8,5,1,0
12,50,9,5,1,22
12,50,10,5,1,0
12,52,5,2,1,0
12,52,6,2,1,1
12,55,5,6,2,0
12,55,6,6,2,0
12,55,8,6,2,0
12,55,9,6,2,1
12,55,10,6,2,0
12,55,12,6,2,2
12,56,5,3,1,0
12,56,10,3,1,0
12,56,12,3,1,1
12,60,5,6,1,0
12,60,6,6,1,0
12,60,8,6,1,0
12,60,9,6,1,0
12,60,10,6,1,0
12,60,12,6,1,2
12,76,5,2,2,1
12,76,6,2,2,2
12,92,5,6,3,0
12,92,6,6,3,1
12,92,8,6,3,0
12,92,9,6,3,1
12,92,10,6,3,2
12,92,12,6,3,0
13,101,8,2,1,0
13,101,10,2,1,1
13,158,10,1,1,2
13,185,8,1,1,1
13,217,7,3,1,2
13,217,8,3,1,0
13,217,10,3,1,0
13,266,7,3,2,8
13,266,8,3,2,6
13,266,10,3,2,0
13,46,8,1,1,1
13,92,7,3,3,11
13,92,8,3,3,3
13,92,10,3,3,8
14,131,3,2,1,1
14,131,4,2,1,0
14,145,4,2,1,1
14,145,7,2,1,0
14,217,7,2,1,0
14,217,8,2,1,3
14,234,3,2,1,2
14,234,4,2,1,0
14,258,1,1,1,1
14,266,7,2,1,1
14,266,8,2,1,0
14,274,3,4,2,0
14,274,4,4,2,0
14,274,7,4,2,1
14,274,8,4,2,2
14,275,3,4,4,6
14,275,4,4,4,3
14,275,7,4,4,4
14,275,8,4,4,4
14,60,7,2,1,0
14,60,8,2,1,1
14,92,3,3,1,0
14,92,7,3,1,0
14,92,8,3,1,1
15,116,2,1,1,1
15,155,4,1,1,1
15,164,2,1,1,1
15,201,4,1,1,1
15,216,1,3,1,1
15,216,2,3,1,0
15,216,4,3,1,0
15,258,1,2,1,0
15,258,2,2,1,1
15,275,4,1,1,2
15,45,1,2,1,0
15,45,2,2,1,1
15,72,1,2,1,0
15,72,2,2,1,1
