"layer_from","layer_to","ave_distance","number_of_modules","trial"
"1","1",505.679714,12,1
"1","2",305253.479885366,13,1
"1","3",244277.611087805,13,1
"1","4east",339382.308240909,16,1
"1","4west",389097.432090244,13,1
"1","5",390006.639815,15,1
"1","6",437374.487561538,9,1
"2","2",67.363151,17,1
"2","3",190475.588354167,14,1
"2","4east",284223.923144681,17,1
"2","4west",337068.774038095,15,1
"2","5",376895.938319231,20,1
"2","6",455678.358477143,12,1
"3","3",95.95512,19,1
"3","4east",116462.133369492,19,1
"3","4west",173871.52858,21,1
"3","5",200275.920434483,20,1
"3","6",274349.67042619,14,1
"4east","4east",95.901643,14,1
"4east","4west",57470.5189396226,18,1
"4east","5",93001.0392082143,22,1
"4east","6",172764.6017,16,1
"4west","4west",176.725963,14,1
"4west","5",52743.652084,21,1
"4west","6",129404.117418919,14,1
"5","5",70.701802,17,1
"5","6",80111.5037454762,16,1
"6","6",93.399466,11,1
"1","1",505.679714,13,2
"1","2",305260.805239474,11,2
"1","3",244277.312034211,13,2
"1","4east",339379.833445455,12,2
"1","4west",389095.402968571,13,2
"1","5",390008.247173333,15,2
"1","6",437378.94596875,12,2
"2","2",67.363151,20,2
"2","3",190476.374641667,13,2
"2","4east",284226.768165957,15,2
"2","4west",337071.977880952,13,2
"2","5",376897.467669643,17,2
"2","6",455680.782916667,13,2
"3","3",95.95512,18,2
"3","4east",116460.871849091,17,2
"3","4west",173868.974357143,19,2
"3","5",200274.381460937,19,2
"3","6",274347.332641304,15,2
"4east","4east",95.901643,15,2
"4east","4west",57474.3645546667,20,2
"4east","5",93002.3484392593,19,2
"4east","6",172764.205643902,14,2
"4west","4west",176.725963,15,2
"4west","5",52729.7202129825,20,2
"4west","6",129396.31577551,19,2
"5","5",70.701802,21,2
"5","6",80114.2886934615,17,2
"6","6",93.399466,13,2
"1","1",505.679714,11,3
"1","2",305255.958339394,10,3
"1","3",244277.043880769,8,3
"1","4east",339382.342732258,12,3
"1","4west",389097.954171429,9,3
"1","5",390007.842164286,15,3
"1","6",437375.52823,7,3
"2","2",67.363151,16,3
"2","3",190476.142204651,13,3
"2","4east",284228.521761905,16,3
"2","4west",337074.004194286,12,3
"2","5",376896.674302381,16,3
"2","6",455679.719894595,13,3
"3","3",95.95512,18,3
"3","4east",116462.171636842,20,3
"3","4west",173872.129936,18,3
"3","5",200274.846460784,18,3
"3","6",274350.368090244,14,3
"4east","4east",95.901643,13,3
"4east","4west",57471.5639469811,18,3
"4east","5",93000.375302963,22,3
"4east","6",172757.605891176,14,3
"4west","4west",176.725963,13,3
"4west","5",52741.3601920408,17,3
"4west","6",129388.47252973,15,3
"5","5",70.701802,16,3
"5","6",80109.3889357895,15,3
"6","6",93.399466,10,3
"1","1",505.679714,12,4
"1","2",305254.786191892,12,4
"1","3",244279.0939975,14,4
"1","4east",339381.161936842,13,4
"1","4west",389094.927035135,12,4
"1","5",390007.089752632,13,4
"1","6",437374.274717241,12,4
"2","2",67.363151,15,4
"2","3",190476.601395556,14,4
"2","4east",284228.258691304,16,4
"2","4west",337069.85595,14,4
"2","5",376898.273927083,16,4
"2","6",455681.472866667,12,4
"3","3",95.95512,18,4
"3","4east",116463.934396491,18,4
"3","4west",173869.79634375,16,4
"3","5",200277.859711111,18,4
"3","6",274346.035109524,14,4
"4east","4east",95.901643,16,4
"4east","4west",57468.6491869231,16,4
"4east","5",93000.7095264151,19,4
"4east","6",172766.456097561,14,4
"4west","4west",176.725963,14,4
"4west","5",52737.6736525,18,4
"4west","6",129402.3762825,14,4
"5","5",70.701802,18,4
"5","6",80108.970291087,15,4
"6","6",93.399466,12,4
"1","1",505.679714,13,5
"1","2",305230.224040541,13,5
"1","3",244274.214697059,13,5
"1","4east",339376.705826087,16,5
"1","4west",389096.037407895,16,5
"1","5",390007.0646,15,5
"1","6",437382.524393548,11,5
"2","2",67.363151,15,5
"2","3",190477.479278049,16,5
"2","4east",284226.744654167,17,5
"2","4west",337075.859605882,14,5
"2","5",376901.050641667,17,5
"2","6",455684.188222581,11,5
"3","3",95.95512,17,5
"3","4east",116460.429261017,21,5
"3","4west",173869.503395918,18,5
"3","5",200274.314816364,18,5
"3","6",274345.954248837,14,5
"4east","4east",95.901643,17,5
"4east","4west",57473.3450975926,19,5
"4east","5",92998.4346553333,20,5
"4east","6",172763.869215789,14,5
"4west","4west",176.725963,13,5
"4west","5",52735.0980864706,20,5
"4west","6",129397.092065789,14,5
"5","5",70.701802,19,5
"5","6",80113.6118615217,15,5
"6","6",93.399466,12,5
"1","1",505.679714,10,6
"1","2",305248.84735,10,6
"1","3",244276.414016216,14,6
"1","4east",339382.8675,12,6
"1","4west",389097.359765789,15,6
"1","5",390007.371074286,14,6
"1","6",437377.544037037,11,6
"2","2",67.363151,18,6
"2","3",190475.900094118,15,6
"2","4east",284231.115247826,15,6
"2","4west",337064.53017619,12,6
"2","5",376899.267245652,15,6
"2","6",455679.6448275,12,6
"3","3",95.95512,18,6
"3","4east",116462.790887931,19,6
"3","4west",173863.093230769,15,6
"3","5",200276.394564706,18,6
"3","6",274345.389134091,13,6
"4east","4east",95.901643,12,6
"4east","4west",57466.925413617,15,6
"4east","5",92999.7794691304,17,6
"4east","6",172757.427284211,14,6
"4west","4west",176.725963,13,6
"4west","5",52736.3774564706,19,6
"4west","6",129412.555265854,14,6
"5","5",70.701802,15,6
"5","6",80110.5407369048,14,6
"6","6",93.399466,13,6
"1","1",505.679714,13,7
"1","2",305248.846780952,13,7
"1","3",244282.687229545,16,7
"1","4east",339374.522153659,15,7
"1","4west",389094.54022619,13,7
"1","5",390007.4002175,14,7
"1","6",437376.701758065,9,7
"2","2",67.363151,15,7
"2","3",190477.440102222,14,7
"2","4east",284227.023275,14,7
"2","4west",337061.693952778,10,7
"2","5",376898.273927083,16,7
"2","6",455679.632411111,11,7
"3","3",95.95512,16,7
"3","4east",116461.782736364,18,7
"3","4west",173863.448472917,15,7
"3","5",200276.769588235,16,7
"3","6",274347.273337143,10,7
"4east","4east",95.901643,12,7
"4east","4west",57466.599548125,15,7
"4east","5",93003.0673703704,19,7
"4east","6",172764.88926875,11,7
"4west","4west",176.725963,14,7
"4west","5",52740.1215557407,17,7
"4west","6",129411.044089474,11,7
"5","5",70.701802,21,7
"5","6",80111.560215,14,7
"6","6",93.399466,12,7
"1","1",505.679714,13,8
"1","2",305248.84735,11,8
"1","3",244284.552071795,12,8
"1","4east",339381.77959,13,8
"1","4west",389098.4628,11,8
"1","5",390008.868467647,11,8
"1","6",437380.2069,11,8
"2","2",67.363151,16,8
"2","3",190475.93553913,14,8
"2","4east",284225.35824,14,8
"2","4west",337068.8927025,13,8
"2","5",376899.772906667,16,8
"2","6",455679.978322222,13,8
"3","3",95.95512,19,8
"3","4east",116459.214611475,19,8
"3","4west",173868.066075,19,8
"3","5",200274.394289655,19,8
"3","6",274345.980293333,15,8
"4east","4east",95.901643,16,8
"4east","4west",57472.9478201818,17,8
"4east","5",93001.9049859649,19,8
"4east","6",172765.016661538,14,8
"4west","4west",176.725963,14,8
"4west","5",52740.1520273585,18,8
"4west","6",129400.8781,15,8
"5","5",70.701802,18,8
"5","6",80110.8716948889,17,8
"6","6",93.399466,11,8
"1","1",505.679714,13,9
"1","2",305254.206792683,13,9
"1","3",244275.467483333,12,9
"1","4east",339377.300193023,14,9
"1","4west",389098.20791,14,9
"1","5",390007.912816667,15,9
"1","6",437381.7667375,11,9
"2","2",67.363151,17,9
"2","3",190475.93553913,13,9
"2","4east",284228.246113043,15,9
"2","4west",337071.170946809,16,9
"2","5",376895.464809091,19,9
"2","6",455680.475006383,15,9
"3","3",95.95512,14,9
"3","4east",116462.496442593,18,9
"3","4west",173866.606026415,18,9
"3","5",200275.838029787,16,9
"3","6",274345.611734884,14,9
"4east","4east",95.901643,14,9
"4east","4west",57474.3746598148,19,9
"4east","5",93000.9024817241,20,9
"4east","6",172762.146053191,16,9
"4west","4west",176.725963,14,9
"4west","5",52731.3018327273,21,9
"4west","6",129398.26993617,17,9
"5","5",70.701802,17,9
"5","6",80111.0266357407,18,9
"6","6",93.399466,14,9
"1","1",505.679714,11,10
"1","2",305255.189583784,11,10
"1","3",244267.347311429,13,10
"1","4east",339372.516117647,11,10
"1","4west",389094.256321212,12,10
"1","5",390008.034718919,13,10
"1","6",437378.0668,9,10
"2","2",67.363151,16,10
"2","3",190477.717307317,12,10
"2","4east",284227.253777143,11,10
"2","4west",337069.53556,11,10
"2","5",376898.504913953,15,10
"2","6",455680.395190625,9,10
"3","3",95.95512,17,10
"3","4east",116462.614124561,18,10
"3","4west",173865.960490196,17,10
"3","5",200274.971209434,17,10
"3","6",274344.98365,13,10
"4east","4east",95.901643,13,10
"4east","4west",57467.5661895745,14,10
"4east","5",92997.44614125,18,10
"4east","6",172763.448,11,10
"4west","4west",176.725963,14,10
"4west","5",52744.5422714894,15,10
"4west","6",129405.57732,13,10
"5","5",70.701802,19,10
"5","6",80110.6396981818,13,10
"6","6",93.399466,12,10
"1","1",505.679714,12,11
"1","2",305261.055633333,11,11
"1","3",244284.48350625,12,11
"1","4east",339388.636117647,13,11
"1","4west",389101.581691176,13,11
"1","5",390007.821174286,14,11
"1","6",437374.796052,9,11
"2","2",67.363151,17,11
"2","3",190475.93553913,13,11
"2","4east",284226.89992093,14,11
"2","4west",337061.693952778,10,11
"2","5",376897.223134091,15,11
"2","6",455680.782916667,12,11
"3","3",95.95512,19,11
"3","4east",116461.025556061,21,11
"3","4west",173867.45772,18,11
"3","5",200275.621610345,21,11
"3","6",274344.479654348,14,11
"4east","4east",95.901643,15,11
"4east","4west",57472.0471705769,16,11
"4east","5",92998.9792434483,22,11
"4east","6",172762.2943,14,11
"4west","4west",176.725963,13,11
"4west","5",52738.1440080435,16,11
"4west","6",129401.790342857,13,11
"5","5",70.701802,17,11
"5","6",80108.7999459091,16,11
"6","6",93.399466,14,11
"1","1",505.679714,14,12
"1","2",305228.192813636,14,12
"1","3",244271.534629268,13,12
"1","4east",339380.545889474,13,12
"1","4west",389097.987674359,14,12
"1","5",390007.368845455,13,12
"1","6",437376.100154545,10,12
"2","2",67.363151,17,12
"2","3",190476.238034615,15,12
"2","4east",284229.982683721,15,12
"2","4west",337072.630518605,16,12
"2","5",376894.975943182,17,12
"2","6",455678.220885714,13,12
"3","3",95.95512,20,12
"3","4east",116462.546962712,18,12
"3","4west",173871.258090196,16,12
"3","5",200275.608509091,19,12
"3","6",274343.8118875,13,12
"4east","4east",95.901643,16,12
"4east","4west",57475.9468056604,18,12
"4east","5",93000.3394884,19,12
"4east","6",172762.445080435,13,12
"4west","4west",176.725963,12,12
"4west","5",52727.7173386,21,12
"4west","6",129393.084271111,17,12
"5","5",70.701802,16,12
"5","6",80110.9502561702,18,12
"6","6",93.399466,15,12
"1","1",505.679714,12,13
"1","2",305255.551314286,11,13
"1","3",244280.590047059,11,13
"1","4east",339383.721009091,12,13
"1","4west",389094.179225,12,13
"1","5",390007.524784615,13,13
"1","6",437376.701758065,11,13
"2","2",67.363151,16,13
"2","3",190478.305104348,15,13
"2","4east",284228.592009756,15,13
"2","4west",337064.548754054,12,13
"2","5",376899.305011628,16,13
"2","6",455681.218657895,13,13
"3","3",95.95512,17,13
"3","4east",116462.177685965,20,13
"3","4west",173863.787886275,17,13
"3","5",200275.669955357,18,13
"3","6",274345.759358696,15,13
"4east","4east",95.901643,12,13
"4east","4west",57473.6954942308,19,13
"4east","5",93002.6963538182,22,13
"4east","6",172762.294985,17,13
"4west","4west",176.725963,13,13
"4west","5",52740.1520273585,18,13
"4west","6",129405.418521429,16,13
"5","5",70.701802,18,13
"5","6",80108.491827451,19,13
"6","6",93.399466,12,13
"1","1",505.679714,13,14
"1","2",305266.13291282,13,14
"1","3",244298.976805405,12,14
"1","4east",339386.578523529,13,14
"1","4west",389100.4685475,15,14
"1","5",390007.095111111,15,14
"1","6",437371.3198,9,14
"2","2",67.363151,17,14
"2","3",190474.878576,15,14
"2","4east",284230.8871375,17,14
"2","4west",337066.21028,17,14
"2","5",376896.168797917,16,14
"2","6",455679.6448275,13,14
"3","3",95.95512,18,14
"3","4east",116460.643378333,18,14
"3","4west",173864.778064151,16,14
"3","5",200274.899157627,19,14
"3","6",274346.195604762,12,14
"4east","4east",95.901643,13,14
"4east","4west",57468.9855466667,17,14
"4east","5",93000.7540815686,18,14
"4east","6",172762.611108333,11,14
"4west","4west",176.725963,13,14
"4west","5",52739.3778523636,18,14
"4west","6",129399.575332609,15,14
"5","5",70.701802,17,14
"5","6",80109.7191813636,14,14
"6","6",93.399466,16,14
"1","1",505.679714,11,15
"1","2",305237.859895,14,15
"1","3",244285.57593871,12,15
"1","4east",339378.781743243,15,15
"1","4west",389099.577148571,15,15
"1","5",390007.812086842,15,15
"1","6",437377.726964,11,15
"2","2",67.363151,18,15
"2","3",190476.300507692,13,15
"2","4east",284232.408965957,17,15
"2","4west",337076.7127925,14,15
"2","5",376899.267245652,16,15
"2","6",455681.218657895,13,15
"3","3",95.95512,17,15
"3","4east",116461.092194643,18,15
"3","4west",173865.96177451,17,15
"3","5",200275.697764912,21,15
"3","6",274344.482245946,12,15
"4east","4east",95.901643,15,15
"4east","4west",57470.9917311321,18,15
"4east","5",93003.2671712281,20,15
"4east","6",172763.08075122,15,15
"4west","4west",176.725963,13,15
"4west","5",52742.1944744231,18,15
"4west","6",129400.217834146,15,15
"5","5",70.701802,18,15
"5","6",80108.6736811364,14,15
"6","6",93.399466,12,15
"1","1",505.679714,14,16
"1","2",305265.653168293,14,16
"1","3",244292.568258065,11,16
"1","4east",339383.309452632,12,16
"1","4west",389101.581691176,12,16
"1","5",390006.523597368,15,16
"1","6",437365.906690625,11,16
"2","2",67.363151,16,16
"2","3",190477.160929167,16,16
"2","4east",284231.140404348,15,16
"2","4west",337069.85595,14,16
"2","5",376899.968030435,18,16
"2","6",455678.254093333,15,16
"3","3",95.95512,15,16
"3","4east",116461.299901754,19,16
"3","4west",173867.05606875,17,16
"3","5",200276.821766038,21,16
"3","6",274342.266519565,15,16
"4east","4east",95.901643,16,16
"4east","4west",57475.1212082456,19,16
"4east","5",92999.4402080702,21,16
"4east","6",172759.936652083,16,16
"4west","4west",176.725963,14,16
"4west","5",52737.8819416667,19,16
"4west","6",129403.340792683,14,16
"5","5",70.701802,15,16
"5","6",80109.1436206122,17,16
"6","6",93.399466,13,16
"1","1",505.679714,12,17
"1","2",305274.091783333,13,17
"1","3",244282.477784848,12,17
"1","4east",339383.510759459,12,17
"1","4west",389095.402968571,13,17
"1","5",390009.108084615,14,17
"1","6",437376.975819355,13,17
"2","2",67.363151,14,17
"2","3",190475.19268,13,17
"2","4east",284222.111614634,13,17
"2","4west",337068.254019048,14,17
"2","5",376894.8268,16,17
"2","6",455682.02364,15,17
"3","3",95.95512,17,17
"3","4east",116462.8039,19,17
"3","4west",173871.703716981,18,17
"3","5",200276.097507273,18,17
"3","6",274344.210730769,12,17
"4east","4east",95.901643,16,17
"4east","4west",57472.7834783333,18,17
"4east","5",93001.5553653571,17,17
"4east","6",172766.847908333,11,17
"4west","4west",176.725963,14,17
"4west","5",52736.9769325926,18,17
"4west","6",129402.3762825,14,17
"5","5",70.701802,17,17
"5","6",80113.6076646512,14,17
"6","6",93.399466,11,17
"1","1",505.679714,13,18
"1","2",305243.39007907,13,18
"1","3",244279.73512,11,18
"1","4east",339377.40186,14,18
"1","4west",389097.533380556,12,18
"1","5",390007.052329412,13,18
"1","6",437390.984729032,12,18
"2","2",67.363151,16,18
"2","3",190476.601395556,14,18
"2","4east",284230.677316,17,18
"2","4west",337074.782588636,15,18
"2","5",376898.844390244,16,18
"2","6",455683.040309091,15,18
"3","3",95.95512,19,18
"3","4east",116463.056612281,19,18
"3","4west",173869.989931481,18,18
"3","5",200276.86302037,19,18
"3","6",274349.258617949,12,18
"4east","4east",95.901643,15,18
"4east","4west",57471.1481394828,20,18
"4east","5",92999.3188897959,19,18
