"","layer_from","node_from","layer_to","node_to","weight"
"148",3,26,12,26,0.327893102849331
"149",3,32,4,32,1
"150",3,36,12,36,0.327893102849331
"151",4,8,5,8,0.346305628161504
"152",4,8,6,8,0.3463091816886
"153",4,8,7,8,0.335265051104835
"154",4,8,8,8,0.335271277917577
"155",4,8,9,8,0.330783075954346
"156",4,8,10,8,0.330771015509484
"157",4,8,11,8,0.327899949588047
"158",4,8,12,8,0.327897618057734
"159",4,8,13,8,0.323122775618451
"160",4,8,14,8,0.323119847357405
"161",4,9,5,9,0.346305628161504
"162",4,9,6,9,0.3463091816886
"163",4,9,7,9,0.335265051104835
"164",4,9,8,9,0.335271277917577
"165",4,9,9,9,0.330783075954346
"166",4,9,10,9,0.330771015509484
"167",4,9,11,9,0.327899949588047
"168",4,9,12,9,0.327897618057734
"169",4,9,13,9,0.323122775618451
"170",4,9,14,9,0.323119847357405
"171",4,14,7,14,0.335265051104835
"172",4,14,8,14,0.335271277917577
"173",4,17,5,17,0.346305628161504
"174",4,17,6,17,0.3463091816886
"175",4,17,7,17,0.335265051104835
"176",4,17,8,17,0.335271277917577
"177",4,17,9,17,0.330783075954346
"178",4,17,10,17,0.330771015509484
"179",4,17,11,17,0.327899949588047
"180",4,17,12,17,0.327897618057734
"181",4,26,5,26,0.346305628161504
"182",4,26,6,26,0.3463091816886
"183",4,26,7,26,0.335265051104835
"184",4,26,8,26,0.335271277917577
"185",4,26,9,26,0.330783075954346
"186",4,26,10,26,0.330771015509484
"187",4,26,12,26,0.327897618057734
"188",5,8,6,8,0.922482100825481
"189",5,8,7,8,0.360897619439111
"190",5,8,8,8,0.360904209223731
"191",5,8,9,8,0.348927653954953
"192",5,8,10,8,0.348909227190577
"193",5,8,11,8,0.344878931455226
"194",5,8,12,8,0.344876486745018
"195",5,8,13,8,0.336214646562401
"196",5,8,14,8,0.336208223748696
"197",5,9,6,9,0.922482100825481
"198",5,9,7,9,0.360897619439111
"199",5,9,8,9,0.360904209223731
"200",5,9,9,9,0.348927653954953
"201",5,9,10,9,0.348909227190577
"202",5,9,11,9,0.344878931455226
"203",5,9,12,9,0.344876486745018
"204",5,9,13,9,0.336214646562401
"205",5,9,14,9,0.336208223748696
"206",5,11,6,11,0.922482100825481
"207",5,12,6,12,0.922482100825481
"208",5,12,8,12,0.360904209223731
"209",5,12,9,12,0.348927653954953
"210",5,12,10,12,0.348909227190577
"211",5,12,12,12,0.344876486745018
"212",5,16,10,16,0.348909227190577
"213",5,16,11,16,0.344878931455226
"214",5,16,12,16,0.344876486745018
"215",5,17,6,17,0.922482100825481
"216",5,17,7,17,0.360897619439111
"217",5,17,8,17,0.360904209223731
"218",5,17,9,17,0.348927653954953
"219",5,17,10,17,0.348909227190577
"220",5,17,11,17,0.344878931455226
"221",5,17,12,17,0.344876486745018
"222",5,26,6,26,0.922482100825481
"223",5,26,7,26,0.360897619439111
"224",5,26,8,26,0.360904209223731
"225",5,26,9,26,0.348927653954953
"226",5,26,10,26,0.348909227190577
"227",5,26,12,26,0.344876486745018
"228",5,34,6,34,0.922482100825481
"229",5,34,7,34,0.360897619439111
"230",5,34,11,34,0.344878931455226
"231",5,35,6,35,0.922482100825481
"232",5,35,9,35,0.348927653954953
"233",5,35,10,35,0.348909227190577
"234",5,35,11,35,0.344878931455226
"235",5,35,12,35,0.344876486745018
"236",5,35,13,35,0.336214646562401
"237",5,35,14,35,0.336208223748696
"238",5,38,7,38,0.360897619439111
"239",5,38,8,38,0.360904209223731
"240",5,38,9,38,0.348927653954953
"241",5,38,10,38,0.348909227190577
"242",5,38,14,38,0.336208223748696
"243",6,8,7,8,0.360910909559228
"244",6,8,8,8,0.360917519961922
"245",6,8,9,8,0.348935725008872
"246",6,8,10,8,0.348917281358013
"247",6,8,11,8,0.344882730005327
"248",6,8,12,8,0.344880280468898
"249",6,8,13,8,0.336216085902161
"250",6,8,14,8,0.336209664939886
"251",6,9,7,9,0.360910909559228
"252",6,9,8,9,0.360917519961922
"253",6,9,9,9,0.348935725008872
"254",6,9,10,9,0.348917281358013
"255",6,9,11,9,0.344882730005327
"256",6,9,12,9,0.344880280468898
"257",6,9,13,9,0.336216085902161
"258",6,9,14,9,0.336209664939886
"259",6,12,8,12,0.360917519961922
"260",6,12,9,12,0.348935725008872
"261",6,12,10,12,0.348917281358013
"262",6,12,12,12,0.344880280468898
"263",6,17,7,17,0.360910909559228
"264",6,17,8,17,0.360917519961922
"265",6,17,9,17,0.348935725008872
"266",6,17,10,17,0.348917281358013
"267",6,17,11,17,0.344882730005327
"268",6,17,12,17,0.344880280468898
"269",6,26,7,26,0.360910909559228
"270",6,26,8,26,0.360917519961922
"271",6,26,9,26,0.348935725008872
"272",6,26,10,26,0.348917281358013
"273",6,26,12,26,0.344880280468898
"274",6,34,7,34,0.360910909559228
"275",6,34,11,34,0.344882730005327
"276",6,35,9,35,0.348935725008872
"277",6,35,10,35,0.348917281358013
"278",6,35,11,35,0.344882730005327
"279",6,35,12,35,0.344880280468898
"280",6,35,13,35,0.336216085902161
"281",6,35,14,35,0.336209664939886
"282",7,1,8,1,0.922594793752016
"283",7,1,9,1,0.384215646796006
"284",7,1,10,1,0.384144835312503
"285",7,1,11,1,0.368023605703358
"286",7,1,12,1,0.36801017146011
"287",7,8,8,8,0.922594793752016
