"layer_from","layer_to","weight"
"TenerifeTeno2","Gomera2",0.387229611381662
"TenerifeTeno2","Gomera1",0.387273757600205
"TenerifeTeno2","TenerifeSouth2",0.384126356385712
"TenerifeTeno2","TenerifeSouth1",0.384144835312503
"TenerifeTeno2","TenerifeTeno1",0.813608375970286
"TenerifeTeno2","Fuerteventura2",0.330771015509484
"TenerifeTeno2","Fuerteventura1",0.330765829400474
"Gomera1","WesternSahara2",0.327024617212909
"Gomera1","WesternSahara1",0.327024429625113
"Gomera1","Hierro2",0.372847940938571
"Gomera1","Hierro1",0.37286460741731
"Gomera1","GranCanaria2",0.344882730005327
"Gomera1","GranCanaria1",0.344878931455226
"Gomera1","Gomera2",0.988640779161425
"Gomera1","TenerifeSouth2",0.367998458542219
"Gomera1","TenerifeSouth1",0.368023605703358
"Gomera1","TenerifeTeno2",0.387273757600205
"Gomera1","TenerifeTeno1",0.387159027743914
"Gomera1","Fuerteventura2",0.327899949588047
"Gomera1","Fuerteventura1",0.327895433788045
"Gomera2","WesternSahara2",0.327026024146347
"Gomera2","WesternSahara1",0.32702583086686
"Gomera2","Hierro2",0.372866897472927
"Gomera2","Hierro1",0.372883598475569
"Gomera2","GranCanaria2",0.344880280468898
"Gomera2","GranCanaria1",0.344876486745018
"Gomera2","Gomera1",0.988640779161425
"Gomera2","TenerifeSouth2",0.367985022899802
"Gomera2","TenerifeSouth1",0.36801017146011
"Gomera2","TenerifeTeno2",0.387229611381662
"Gomera2","TenerifeTeno1",0.387115066457781
"Gomera2","Fuerteventura2",0.327897618057734
"Gomera2","Fuerteventura1",0.327893102849331
"Hierro1","WesternSahara2",0.324144425023749
"Hierro1","WesternSahara1",0.324139758853872
"Hierro1","Hierro2",0.927970967898677
"Hierro1","GranCanaria2",0.336216085902161
"Hierro1","GranCanaria1",0.336214646562401
"Hierro1","Gomera2",0.372883598475569
"Hierro1","Gomera1",0.37286460741731
"Hierro1","TenerifeSouth2",0.349102811089536
"Hierro1","TenerifeSouth1",0.349115593859897
"Hierro1","TenerifeTeno2",0.357697442404529
"Hierro1","TenerifeTeno1",0.357655942505973
"Hierro1","Fuerteventura2",0.323122775618451
"Hierro1","Fuerteventura1",0.323119169646641
"Hierro2","WesternSahara2",0.324139274089018
"Hierro2","WesternSahara1",0.324134610599056
"Hierro2","Hierro1",0.927970967898677
"Hierro2","GranCanaria2",0.336209664939886
"Hierro2","GranCanaria1",0.336208223748696
"Hierro2","Gomera2",0.372866897472927
"Hierro2","Gomera1",0.372847940938571
"Hierro2","TenerifeSouth2",0.349095085135785
"Hierro2","TenerifeSouth1",0.349107859336776
"Hierro2","TenerifeTeno2",0.357691722269035
"Hierro2","TenerifeTeno1",0.35765023154864
"Hierro2","Fuerteventura2",0.323119847357405
"Hierro2","Fuerteventura1",0.323116241773283
