layer_id,layer_name,Lon,lat
1,WesternSahara1,-14.4222,26.161
2,WesternSahara2,-14.4222,26.161
3,Fuerteventura1,-13.8914,28.5643
4,Fuerteventura2,-13.8914,28.5643
5,GranCanaria1,-15.4331,27.9041
6,GranCanaria2,-15.4331,27.9041
7,TenerifeSouth1,-16.4173,28.2222
8,TenerifeSouth2,-16.4173,28.2222
9,TenerifeTeno1,-16.9123,28.3531
10,TenerifeTeno2,-16.9123,28.3531
11,Gomera1,-17.2267,28.0398
12,Gomera2,-17.2267,28.0398
13,Hierro1,-17.8954,27.8047
14,Hierro2,-17.8954,27.8047
