"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"1",0,0,4,0,4,4,28,40,20,24,28,20,44,68
"2",40,44,32,32,8,20,12,24,28,32,20,28,20,32
"3",0,0,4,4,12,4,16,16,16,24,12,20,4,32
"4",28,40,44,40,20,48,32,24,12,20,24,24,4,0
"5",16,28,16,12,16,12,12,12,12,20,16,12,12,0
"6",0,0,4,4,4,8,4,4,8,8,4,16,20,20
"7",0,0,0,0,0,0,8,28,24,20,28,20,4,0
"8",12,20,12,12,20,8,4,8,8,20,4,16,0,0
"9",0,0,4,0,8,8,0,0,12,4,12,12,8,8
"10",0,0,4,0,4,4,0,4,4,4,4,4,4,4
"11",0,0,4,4,4,4,4,8,16,28,0,0,0,0
"12",0,0,0,0,0,4,0,0,8,8,0,0,4,12
"13",0,8,0,0,4,8,0,4,4,4,0,12,4,0
"14",24,36,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,8,4,0,0,4,4,24,0
"16",4,4,4,4,4,4,4,4,0,0,0,4,4,0
"17",0,0,0,0,0,0,8,16,4,12,0,0,0,0
"18",0,0,16,24,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,40,16,4,4,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,4,4,4,0,4,4
"21",4,4,0,0,4,4,4,4,4,4,4,4,0,0
"22",0,0,4,4,4,4,4,4,0,0,4,0,0,4
"23",4,4,4,4,0,0,0,0,4,4,0,0,0,4
"24",0,4,12,8,4,0,0,4,0,4,0,4,0,0
"25",4,0,4,8,0,0,4,4,0,0,0,0,0,0
"26",8,12,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,20,0,0,0,4,0,0,0
"29",4,8,0,12,0,0,0,0,0,0,0,0,0,0
"30",0,0,4,4,4,4,4,4,0,0,0,4,0,0
"31",0,0,0,0,0,0,4,12,0,0,0,0,0,0
"32",20,4,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,4,4,0,4,0,8,0,0,0,0
"34",0,0,0,0,0,0,4,4,0,0,4,4,0,0
"36",0,0,0,0,4,4,4,4,0,0,0,0,0,0
"37",0,0,0,0,0,0,4,8,0,0,0,0,0,0
"38",0,0,0,0,4,0,4,4,0,0,0,0,4,0
"39",0,0,4,4,0,0,0,0,4,0,0,0,0,0
"40",0,0,0,0,4,0,4,4,0,0,0,0,0,0
"41",0,0,4,4,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,4,4,0,0,0,0,0,0
"43",0,0,0,0,0,0,4,4,0,0,0,0,0,0
