"","layer_from","layer_to","turnover","distance_in_meters"
"1",1,2,0.402777777777778,505.679714
"2",1,3,0.120481927710843,305029.0863
"3",1,4,0.148148148148148,305014.2086
"4",1,5,0.0697674418604651,244126.1002
"5",1,6,0.0823529411764706,244218.2947
"6",1,7,0.0869565217391304,339317.6653
"7",1,8,0.0857142857142857,339340.9395
"8",1,9,0.0795454545454545,389041.2745
"9",1,10,0.0679611650485437,389081.6723
"10",1,11,0.0581395348837209,390021.0886
"11",1,12,0.0879120879120879,389999.5747
"12",1,13,0.0352941176470588,437366.7753
"13",1,14,0.0444444444444444,437457.0124
"14",2,3,0.123595505617978,305483.51
"15",2,4,0.111111111111111,305468.5845
"16",2,5,0.0879120879120879,244342.8621
"17",2,6,0.0879120879120879,244435.1061
"18",2,7,0.0808080808080808,339422.5451
"19",2,8,0.0900900900900901,339445.9549
"20",2,9,0.0736842105263158,389106.7971
"21",2,10,0.0833333333333333,389146.973
"22",2,11,0.0537634408602151,390018.2084
"23",2,12,0.104166666666667,389996.6073
"24",2,13,0.0326086956521739,437285.0066
"25",2,14,0.0412371134020619,437375.2712
"26",3,4,0.415384615384615,67.363151
"27",3,5,0.197368421052632,190517.2168
"28",3,6,0.197368421052632,190493.473
"29",3,7,0.164705882352941,284291.92
"30",3,8,0.177083333333333,284225.6416
"31",3,9,0.146341463414634,337010.9202
"32",3,10,0.135416666666667,337167.3216
"33",3,11,0.125,376908.7486
"34",3,12,0.209876543209877,376943.1528
"35",3,13,0.10126582278481,455682.8693
"36",3,14,0.120481927710843,455736.6729
"37",4,5,0.151898734177215,190455.7312
"38",4,6,0.151898734177215,190431.974
"39",4,7,0.164705882352941,284225.063
"40",4,8,0.164948453608247,284158.7826
"41",4,9,0.119047619047619,336943.6391
"42",4,10,0.112244897959184,337100.0413
"43",4,11,0.0975609756097561,376842.1066
"44",4,12,0.152941176470588,376876.5125
"45",4,13,0.0740740740740741,455616.6148
"46",4,14,0.107142857142857,455670.4165
"47",5,6,0.451612903225806,95.95512
"48",5,7,0.306666666666667,116498.0882
"49",5,8,0.272727272727273,116473.2763
"50",5,9,0.223684210526316,173827.6658
"51",5,10,0.270588235294118,173938.4686
"52",5,11,0.186666666666667,200279.0495
"53",5,12,0.276315789473684,200296.3813
"54",5,13,0.194444444444444,274321.0892
"55",5,14,0.164556962025316,274386.7194
"56",6,7,0.289473684210526,116448.0545
"57",6,8,0.258426966292135,116423.1775
"58",6,9,0.24,173779.1593
"59",6,10,0.241379310344828,173890.0276
"60",6,11,0.202702702702703,200252.1231
"61",6,12,0.276315789473684,200269.4864
"62",6,13,0.178082191780822,274306.3841
"63",6,14,0.15,274371.9913
"64",7,8,0.428571428571429,95.901643
"65",7,9,0.231707317073171,57391.05093
"66",7,10,0.260869565217391,57507.0912
"67",7,11,0.227848101265823,92943.79946
"68",7,12,0.296296296296296,92982.62174
"69",7,13,0.160493827160494,172702.2428
"70",7,14,0.176470588235294,172748.3908
"71",8,9,0.263736263736264,57421.1674
"72",8,10,0.287128712871287,57537.41864
"73",8,11,0.193548387096774,93016.48528
"74",8,12,0.265957446808511,93055.34728
"75",8,13,0.136842105263158,172778.5189
"76",8,14,0.175257731958763,172824.6395
"77",9,10,0.423076923076923,176.725963
"78",9,11,0.243243243243243,52803.77965
"79",9,12,0.234567901234568,52869.02752
"80",9,13,0.219178082191781,129490.6054
"81",9,14,0.25,129514.9474
"82",10,11,0.202247191011236,52633.94478
"83",10,12,0.277777777777778,52699.21787
"84",10,13,0.209302325581395,129313.8797
"85",10,14,0.27906976744186,129338.2219
"86",11,12,0.432835820895522,70.701802
"87",11,13,0.231884057971014,80115.5239
"88",11,14,0.22972972972973,80155.97026
"89",12,13,0.273972602739726,80069.46551
"90",12,14,0.222222222222222,80109.96825
"91",13,14,0.353846153846154,93.399466
