"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"1",0,0,0,0,4,4,4,4,4,4,4,4,4,4
"2",12,20,16,12,12,8,8,4,16,24,12,16,8,4
"3",0,0,0,0,0,0,12,24,32,32,20,24,12,24
"4",16,32,52,8,12,8,4,12,4,8,0,24,0,0
"5",16,28,0,0,0,0,4,48,12,8,32,8,4,12
"6",52,0,56,48,0,0,8,16,0,0,0,0,0,0
"7",4,8,12,12,8,12,8,4,16,4,4,4,0,0
"8",0,0,0,0,0,0,4,4,4,24,4,12,28,64
"9",0,68,0,0,48,16,0,36,4,4,0,20,0,0
"10",0,0,0,0,8,16,0,0,20,20,4,20,12,16
"11",0,0,20,16,0,8,4,4,0,0,0,4,4,4
"12",0,0,0,0,16,12,32,0,0,4,16,0,0,0
"13",0,0,4,4,4,4,4,4,4,4,0,0,0,0
"14",20,4,0,0,12,16,0,0,0,0,0,0,0,16
"15",0,0,0,0,4,4,20,32,0,4,0,4,0,0
"16",0,0,0,0,4,4,4,4,0,4,4,4,0,0
"17",0,0,0,0,8,0,4,8,16,8,0,0,0,4
