"","fixed_interlayer_value","number_of_modules"
"1",NA,35
"2",0,60
"3",0.05,34
"4",0.1,32
"5",0.15,32
"6",0.2,32
"7",0.25,33
"8",0.3,34
"9",0.35,34
"10",0.4,34
"11",0.45,34
"12",0.5,35
"13",0.55,36
"14",0.6,36
"15",0.65,36
"16",0.7,36
"17",0.75,36
"18",0.8,36
"19",0.85,36
"20",0.9,37
"21",0.95,37
"22",1,37
