"layer_from","layer_to","ave_distance","number_of_modules","trial"
"1","1",505.679714,12,1
"1","2",305248.84735,16,1
"1","3",244275.362441463,15,1
"1","4east",339383.267151163,16,1
"1","4west",389084.1075125,12,1
"1","5",390008.86975,4,1
"1","6",437325.89095,4,1
"2","2",67.363151,13,1
"2","3",190478.49568,15,1
"2","4east",284225.35178,17,1
"2","4west",337010.789659259,13,1
"2","5",376892.630125,4,1
"2","6",455649.74205,4,1
"3","3",95.95512,10,1
"3","4east",116464.619543182,18,1
"3","4west",173833.010640909,13,1
"3","5",200274.694045455,4,1
"3","6",274314.787014286,4,1
"4east","4east",95.901643,12,1
"4east","4west",57428.740206,14,1
"4east","5",93001.1035945454,4,1
"4east","6",172745.829142857,4,1
"4west","4west",176.725963,1,1
"4west","5",52690.1515830435,12,1
"4west","6",129347.391016667,10,1
"5","5",70.701802,10,1
"5","6",80101.2874292,13,1
"6","6",93.399466,2,1
"1","1",505.679714,10,2
"1","2",305261.324965,16,2
"1","3",244299.851748649,16,2
"1","4east",339388.440990476,17,2
"1","4west",389092.597,14,2
"1","5",390008.86975,6,2
"1","6",437355.974566667,2,2
"2","2",67.363151,9,2
"2","3",190480.722888235,16,2
"2","4east",284225.393104762,17,2
"2","4west",337040.312392,14,2
"2","5",376895.659268182,6,2
"2","6",455677.88856,2,2
"3","3",95.95512,8,2
"3","4east",116460.335861538,18,2
"3","4west",173849.019454167,13,2
"3","5",200272.765038889,5,2
"3","6",274335.60955,2,2
"4east","4east",95.901643,12,2
"4east","4west",57443.4454964286,16,2
"4east","5",93006.834008,6,2
"4east","6",172766.46218,2,2
"4west","4west",176.725963,2,2
"4west","5",52712.3017643478,10,2
"4west","6",129370.2322,4,2
"5","5",70.701802,11,2
"5","6",80112.8962105882,6,2
"6","6",93.399466,3,2
"1","1",505.679714,12,3
"1","2",305213.008688889,17,3
"1","3",244261.98636,17,3
"1","4east",339374.048997674,15,3
"1","4west",389080.844503704,14,3
"1","5",390008.445,5,3
"1","6",437376.856014286,5,3
"2","2",67.363151,10,3
"2","3",190475.059097561,18,3
"2","4east",284226.957433333,17,3
"2","4west",337021.975546154,14,3
"2","5",376895.99836,5,3
"2","6",455682.218938462,5,3
"3","3",95.95512,11,3
"3","4east",116457.326146939,18,3
"3","4west",173827.655872414,16,3
"3","5",200277.528866667,5,3
"3","6",274344.587784615,5,3
"4east","4east",95.901643,16,3
"4east","4west",57432.118270303,16,3
"4east","5",93006.53517875,5,3
"4east","6",172768.895314286,5,3
"4west","4west",176.725963,2,3
"4west","5",52694.6966508696,10,3
"4west","6",129360.053268421,10,3
"5","5",70.701802,9,3
"5","6",80107.2455565517,10,3
"6","6",93.399466,6,3
"1","1",505.679714,12,4
"1","2",305229.293125,19,4
"1","3",244282.015688095,16,4
"1","4east",339377.8882625,17,4
"1","4west",389078.382381818,10,4
"1","5",390008.492405882,6,4
"1","6",437347.746816667,6,4
"2","2",67.363151,11,4
"2","3",190469.74202439,16,4
"2","4east",284225.351778261,17,4
"2","4west",336998.020814286,11,4
"2","5",376888.46510625,6,4
"2","6",455658.709158333,6,4
"3","3",95.95512,9,4
"3","4east",116456.8933425,16,4
"3","4west",173828.694475,10,4
"3","5",200273.66238125,6,4
"3","6",274330.142283333,6,4
"4east","4east",95.901643,13,4
"4east","4west",57431.556655,12,4
"4east","5",93003.6026444444,7,4
"4east","6",172750.26775,7,4
"4west","4west",176.725963,2,4
"4west","5",52758.4062823529,8,4
"4west","6",129408.328083333,8,4
"5","5",70.701802,8,4
"5","6",80104.3594489474,9,4
"6","6",93.399466,3,4
"1","1",505.679714,11,5
"1","2",305281.659847619,19,5
"1","3",244297.915302326,18,5
"1","4east",339391.399630233,18,5
