"","node_id","module","sub_module","sub_sub_module","layer_id","flow","type","species"
"1",1,1,7,NA,7,0.000532234,"plant","Argyranthemum.frutescens"
"2",1,1,7,NA,8,0.00291029,"plant","Argyranthemum.frutescens"
"3",1,1,7,NA,9,0.00232842,"plant","Argyranthemum.frutescens"
"4",1,1,7,NA,10,0.00429459,"plant","Argyranthemum.frutescens"
"5",1,1,7,NA,11,0.00415033,"plant","Argyranthemum.frutescens"
"6",1,1,7,NA,12,0.00944816,"plant","Argyranthemum.frutescens"
"7",2,1,5,NA,2,3.52516e-05,"plant","Argyranthemum.sp."
"8",3,2,1,NA,1,0.000585601,"plant","Asparagus.pastorianus"
"9",3,2,1,NA,2,0.00447306,"plant","Asparagus.pastorianus"
"10",4,1,11,NA,10,5.27615e-05,"plant","Asphaltklee.bituminosa"
"11",4,1,6,NA,12,0.00079549,"plant","Asphaltklee.bituminosa"
"12",4,1,6,NA,13,0.0015879,"plant","Asphaltklee.bituminosa"
"13",4,1,6,NA,14,0.0104863,"plant","Asphaltklee.bituminosa"
"14",5,1,12,NA,9,0.000419965,"plant","Ceballosia.fruticosa"
"15",5,1,12,NA,10,0.00105077,"plant","Ceballosia.fruticosa"
"16",5,1,12,NA,13,0.000683204,"plant","Ceballosia.fruticosa"
"17",5,1,12,NA,14,0.00579943,"plant","Ceballosia.fruticosa"
"18",6,1,29,NA,10,0.000471169,"plant","Ceropegia.dichotoma"
"19",7,1,1,NA,7,6.65788e-06,"plant","Ceropegia.fusca"
"20",8,1,5,NA,1,0.000531833,"plant","Euphorbia.balsamifera..f."
"21",8,1,5,NA,2,0.0017067,"plant","Euphorbia.balsamifera..f."
"22",8,1,5,NA,3,0.000742382,"plant","Euphorbia.balsamifera..f."
"23",8,1,5,NA,4,0.00152363,"plant","Euphorbia.balsamifera..f."
"24",8,1,5,NA,5,0.00123347,"plant","Euphorbia.balsamifera..f."
"25",8,1,5,NA,6,0.00122422,"plant","Euphorbia.balsamifera..f."
"26",8,1,5,NA,7,0.00108797,"plant","Euphorbia.balsamifera..f."
"27",8,1,5,NA,8,0.00135523,"plant","Euphorbia.balsamifera..f."
"28",8,1,5,NA,9,0.00172124,"plant","Euphorbia.balsamifera..f."
"29",8,1,5,NA,10,0.00481326,"plant","Euphorbia.balsamifera..f."
"30",8,1,5,NA,11,0.00306448,"plant","Euphorbia.balsamifera..f."
"31",8,1,5,NA,12,0.00695992,"plant","Euphorbia.balsamifera..f."
"32",8,1,5,NA,13,0.00544767,"plant","Euphorbia.balsamifera..f."
"33",8,1,1,NA,14,0.0254636,"plant","Euphorbia.balsamifera..f."
"34",9,1,2,NA,1,0.0017039,"plant","Euphorbia.balsamifera..m."
"35",9,1,2,NA,2,0.00332736,"plant","Euphorbia.balsamifera..m."
"36",9,1,2,NA,3,0.00203103,"plant","Euphorbia.balsamifera..m."
"37",9,1,2,NA,4,0.00353435,"plant","Euphorbia.balsamifera..m."
"38",9,1,2,NA,5,0.00158815,"plant","Euphorbia.balsamifera..m."
"39",9,1,2,NA,6,0.00274569,"plant","Euphorbia.balsamifera..m."
"40",9,1,2,NA,7,0.00189009,"plant","Euphorbia.balsamifera..m."
"41",9,1,2,NA,8,0.00330204,"plant","Euphorbia.balsamifera..m."
"42",9,1,2,NA,9,0.00368998,"plant","Euphorbia.balsamifera..m."
"43",9,1,2,NA,10,0.00664874,"plant","Euphorbia.balsamifera..m."
"44",9,1,2,NA,11,0.00476009,"plant","Euphorbia.balsamifera..m."
"45",9,1,2,NA,12,0.0112496,"plant","Euphorbia.balsamifera..m."
"46",9,1,2,NA,13,0.0108292,"plant","Euphorbia.balsamifera..m."
"47",9,1,2,NA,14,0.0538749,"plant","Euphorbia.balsamifera..m."
"48",10,1,1,NA,7,0.000812835,"plant","Euphorbia.lamarckii"
"49",10,1,1,NA,8,0.00237956,"plant","Euphorbia.lamarckii"
"50",10,1,1,NA,9,0.000499649,"plant","Euphorbia.lamarckii"
"51",10,1,1,NA,10,0.000996085,"plant","Euphorbia.lamarckii"
"52",10,1,1,NA,11,0.00197024,"plant","Euphorbia.lamarckii"
"53",10,1,1,NA,12,0.0054791,"plant","Euphorbia.lamarckii"
"54",10,1,1,NA,13,0.00888123,"plant","Euphorbia.lamarckii"
"55",10,1,1,NA,14,0.0780215,"plant","Euphorbia.lamarckii"
"56",11,1,18,NA,5,0.00169953,"plant","Euphorbia.regis.jubae"
"57",11,1,18,NA,6,0.00195768,"plant","Euphorbia.regis.jubae"
"58",12,1,13,NA,2,0.000358668,"plant","Fagonia.albiflora"
"59",12,1,13,NA,5,0.000319918,"plant","Fagonia.albiflora"
"60",12,1,13,NA,6,0.000917964,"plant","Fagonia.albiflora"
"61",12,1,13,NA,8,0.000331142,"plant","Fagonia.albiflora"
"62",12,1,13,NA,9,0.00120819,"plant","Fagonia.albiflora"
"63",12,1,13,NA,10,0.00141182,"plant","Fagonia.albiflora"
"64",12,1,13,NA,12,0.00375781,"plant","Fagonia.albiflora"
"65",13,1,16,NA,7,0.000201999,"plant","Frankenia.laevis"
"66",13,1,16,NA,8,0.000862783,"plant","Frankenia.laevis"
"67",13,1,16,NA,10,0.00109749,"plant","Frankenia.laevis"
"68",14,1,24,NA,1,5.91723e-06,"plant","Helianthemum.canariensis"
