"layer_from","layer_to","ave_distance","turnover","trial_num"
"1","1",505.679714,1,1
"1","2",305203.40737,0.8,1
"1","3",244316.721883333,0.5,1
"1","4east",339357.624985714,0.583333333333333,1
"1","4west",389094.179225,0.454545454545455,1
"1","5",390007.535657143,0.363636363636364,1
"1","6",437388.21558,0.166666666666667,1
"2","2",67.363151,1,1
"2","3",190474.59875,0.5,1
"2","4east",284236.398366667,0.583333333333333,1
"2","4west",337055.48055,0.454545454545455,1
"2","5",376892.630125,0.363636363636364,1
"2","6",455685.610483333,0.272727272727273,1
"3","3",95.95512,1,1
"3","4east",116458.1302,0.357142857142857,1
"3","4west",173858.830325,0.333333333333333,1
"3","5",200274.260075,0.25,1
"3","6",274346.546,0.272727272727273,1
"4east","4east",95.901643,1,1
"4east","4west",57460.8732238462,0.416666666666667,1
"4east","5",92998.0250909091,0.333333333333333,1
"4east","6",172774.981575,0.0714285714285714,1
"4west","4west",176.725963,1,1
"4west","5",52748.006642,0.625,1
"4west","6",129378.282557143,0.2,1
"5","5",70.701802,1,1
"5","6",80121.379636,0.1,1
"6","6",93.399466,1,1
"1","1",505.679714,1,2
"1","2",305203.40737,0.727272727272727,2
"1","3",244316.721883333,0.5,2
"1","4east",339357.624985714,0.615384615384615,2
"1","4west",389094.179225,0.545454545454545,2
"1","5",390007.535657143,0.454545454545455,2
"1","6",437388.21558,0.230769230769231,2
"2","2",67.363151,1,2
"2","3",190474.59875,0.545454545454545,2
"2","4east",284236.398366667,0.538461538461538,2
"2","4west",337055.48055,0.454545454545455,2
"2","5",376892.630125,0.363636363636364,2
"2","6",455685.610483333,0.25,2
"3","3",95.95512,1,2
"3","4east",116463.17456,0.583333333333333,2
"3","4west",173855.3676,0.5,2
"3","5",200274.260075,0.4,2
"3","6",274346.546,0.166666666666667,2
"4east","4east",95.901643,1,2
"4east","4west",57469.05745,0.636363636363636,2
"4east","5",93002.80194,0.545454545454545,2
"4east","6",172778.7475875,0.214285714285714,2
"4west","4west",176.725963,1,2
"4west","5",52752.3581813333,0.857142857142857,2
"4west","6",129384.959333333,0.3,2
"5","5",70.701802,1,2
"5","6",80105.06028,0.333333333333333,2
"6","6",93.399466,1,2
"1","1",505.679714,1,3
"1","2",305209.7389,0.727272727272727,3
"1","3",244316.721883333,0.583333333333333,3
"1","4east",339357.624985714,0.466666666666667,3
"1","4west",389094.179225,0.545454545454545,3
"1","5",390007.535657143,0.416666666666667,3
"1","6",437388.21558,0.333333333333333,3
"2","2",67.363151,1,3
"2","3",190483.12236,0.5,3
"2","4east",284236.398366667,0.5,3
"2","4west",337046.56848,0.454545454545455,3
"2","5",376895.85382,0.333333333333333,3
"2","6",455682.02364,0.363636363636364,3
"3","3",95.95512,1,3
"3","4east",116460.649125,0.4,3
"3","4west",173849.363653333,0.6,3
"3","5",200273.118427273,0.454545454545455,3
"3","6",274348.998766667,0.25,3
"4east","4east",95.901643,1,3
"4east","4west",57470.3119221429,0.461538461538462,3
"4east","5",93002.80194,0.357142857142857,3
"4east","6",172774.981575,0.2,3
"4west","4west",176.725963,1,3
"4west","5",52754.5681723529,0.75,3
"4west","6",129432.08616,0.444444444444444,3
"5","5",70.701802,1,3
"5","6",80124.23953,0.444444444444444,3
"6","6",93.399466,1,3
"1","1",505.679714,1,4
"1","2",305203.40737,0.727272727272727,4
"1","3",244316.721883333,0.461538461538462,4
"1","4east",339365.585477778,0.8,4
"1","4west",389094.179225,0.6,4
"1","5",390007.535657143,0.333333333333333,4
"1","6",437388.21558,0.25,4
"2","2",67.363151,1,4
"2","3",190474.59875,0.5,4
"2","4east",284225.3518,0.7,4
"2","4west",337055.48055,0.5,4
"2","5",376892.630125,0.363636363636364,4
"2","6",455685.610483333,0.4,4
"3","3",95.95512,1,4
"3","4east",116456.508383333,0.545454545454545,4
"3","4west",173858.830325,0.5,4
"3","5",200274.260075,0.5,4
"3","6",274341.45464,0.272727272727273,4
"4east","4east",95.901643,1,4
"4east","4west",57464.1820425,0.75,4
"4east","5",93002.3378785714,0.4,4
"4east","6",172771.13705,0.181818181818182,4
"4west","4west",176.725963,1,4
"4west","5",52759.650015,0.5,4
"4west","6",129414.4136,0.222222222222222,4
"5","5",70.701802,1,4
"5","6",80125.48462,0.375,4
"6","6",93.399466,1,4
"1","1",505.679714,1,5
"1","2",305203.40737,0.75,5
"1","3",244316.721883333,0.461538461538462,5
"1","4east",339365.585477778,0.666666666666667,5
"1","4west",389094.179225,0.6,5
"1","5",390007.535657143,0.5,5
"1","6",437388.21558,0.230769230769231,5
"2","2",67.363151,1,5
"2","3",190483.12236,0.538461538461538,5
"2","4east",284232.748266667,0.75,5
"2","4west",337046.56848,0.545454545454545,5
"2","5",376892.630125,0.454545454545455,5
"2","6",455685.610483333,0.307692307692308,5
"3","3",95.95512,1,5
"3","4east",116462.448357143,0.583333333333333,5
"3","4west",173855.3676,0.5,5
"3","5",200274.792233333,0.4,5
"3","6",274346.546,0.25,5
"4east","4east",95.901643,1,5
"4east","4west",57461.321432,0.6,5
"4east","5",92999.5648585714,0.5,5
"4east","6",172771.13705,0.142857142857143,5
"4west","4west",176.725963,1,5
"4west","5",52756.1539178571,0.833333333333333,5
"4west","6",129414.4136,0.2,5
"5","5",70.701802,1,5
"5","6",80112.73198,0.222222222222222,5
"6","6",93.399466,1,5
"1","1",505.679714,1,6
"1","2",305209.7389,0.727272727272727,6
"1","3",244316.721883333,0.454545454545455,6
"1","4east",339357.624985714,0.666666666666667,6
"1","4west",389094.179225,0.545454545454545,6
"1","5",390007.535657143,0.5,6
"1","6",437388.21558,0.166666666666667,6
"2","2",67.363151,1,6
"2","3",190474.59875,0.416666666666667,6
"2","4east",284241.993975,0.615384615384615,6
"2","4west",337066.694,0.5,6
"2","5",376895.85382,0.454545454545455,6
"2","6",455682.02364,0.25,6
"3","3",95.95512,1,6
"3","4east",116460.649125,0.384615384615385,6
"3","4west",173858.830325,0.363636363636364,6
"3","5",200274.260075,0.3,6
"3","6",274346.546,0.2,6
"4east","4east",95.901643,1,6
"4east","4west",57461.6517694118,0.727272727272727,6
"4east","5",92999.5648585714,0.545454545454545,6
"4east","6",172768.06143,0.230769230769231,6
"4west","4west",176.725963,1,6
"4west","5",52758.4062823529,0.75,6
"4west","6",129414.4136,0.3,6
"5","5",70.701802,1,6
"5","6",80120.40368,0.375,6
"6","6",93.399466,1,6
"1","1",505.679714,1,7
"1","2",305203.40737,0.7,7
"1","3",244316.721883333,0.545454545454545,7
"1","4east",339357.624985714,0.615384615384615,7
"1","4west",389094.179225,0.6,7
"1","5",390005.436844444,0.454545454545455,7
"1","6",437388.21558,0.166666666666667,7
"2","2",67.363151,1,7
"2","3",190474.59875,0.454545454545455,7
"2","4east",284236.398366667,0.538461538461538,7
"2","4west",337055.48055,0.5,7
"2","5",376902.73466,0.363636363636364,7
"2","6",455685.610483333,0.181818181818182,7
"3","3",95.95512,1,7
"3","4east",116468.13694,0.428571428571429,7
"3","4west",173867.679022222,0.5,7
"3","5",200276.95114,0.363636363636364,7
"3","6",274348.998766667,0.3,7
"4east","4east",95.901643,1,7
"4east","4west",57467.0356206667,0.583333333333333,7
"4east","5",92992.6690153846,0.461538461538462,7
"4east","6",172759.6819875,0.214285714285714,7
"4west","4west",176.725963,1,7
"4west","5",52744.95734375,0.75,7
"4west","6",129384.959333333,0.333333333333333,7
