"layer_from","layer_to","ave_distance","turnover","trial"
1,10,389081.6723,0.0344827586206897,986
1,10,389081.6723,0.0769230769230769,234
1,10,389081.6723,0.0344827586206897,982
1,10,389081.6723,0.12,943
1,10,389081.6723,0.0333333333333333,957
1,10,389081.6723,0.0740740740740741,981
1,10,389081.6723,0.148148148148148,938
1,10,389081.6723,0.0645161290322581,274
1,10,389081.6723,0.115384615384615,54
1,10,389081.6723,0.08,942
1,10,389081.6723,0.0454545454545455,178
1,10,389081.6723,0.0740740740740741,212
1,10,389081.6723,0.185185185185185,278
1,10,389081.6723,0.103448275862069,35
1,10,389081.6723,0.148148148148148,173
1,10,389081.6723,0.107142857142857,235
1,10,389081.6723,0.0384615384615385,455
1,10,389081.6723,0.0434782608695652,133
1,10,389081.6723,0.0689655172413793,984
1,10,389081.6723,0.0357142857142857,944
1,10,389081.6723,0.1,177
1,10,389081.6723,0.0384615384615385,985
1,10,389081.6723,0.107142857142857,129
1,10,389081.6723,0.12,939
1,10,389081.6723,0.227272727272727,299
1,10,389081.6723,0.08,432
1,10,389081.6723,0.0967741935483871,940
1,10,389081.6723,0.0434782608695652,988
1,10,389081.6723,0.115384615384615,32
1,10,389081.6723,0.0769230769230769,941
1,10,389081.6723,0.24,55
1,10,389081.6723,0.111111111111111,195
1,10,389081.6723,0.0357142857142857,231
1,10,389081.6723,0.0689655172413793,250
1,10,389081.6723,0.153846153846154,276
1,10,389081.6723,0.0740740740740741,56
1,10,389081.6723,0.185185185185185,232
1,10,389081.6723,0.181818181818182,130
1,10,389081.6723,0.130434782608696,987
1,10,389081.6723,0.0666666666666667,233
1,10,389081.6723,0.0909090909090909,131
1,10,389081.6723,0.0384615384615385,213
1,10,389081.6723,0.08,983
1,10,389081.6723,0.148148148148148,275
1,10,389081.6723,0.103448275862069,134
1,10,389081.6723,0.0740740740740741,236
1,10,389081.6723,0.04,34
1,10,389081.6723,0.130434782608696,128
1,10,389081.6723,0.125,27
1,10,389081.6723,0.130434782608696,924
