"","module","layer_from","layer_to","module_sharing","distance"
"1","3",9,11,0.75,52803.77965
"2","4",3,12,0.5,376943.1528
"3","5",8,14,0.25,172824.6395
"4","6",3,4,0.833333333333333,67.363151
"5","8",10,14,0.75,129338.2219
"6","9",2,12,0.75,389996.6073
"7","9",5,6,0.6,95.95512
"8","10",6,9,0.25,173779.1593
"9","10",9,10,0.5,176.725963
"10","10",9,12,0.25,52869.02752
"11","12",5,7,0.5,116498.0882
