"layer_from","layer_to","ave","sd","ave_dist","type"
1,2,0.733333333333333,NA,0.505679714,"empirical"
1,3,0.28,NA,305.0290863,"empirical"
1,4,0.363636363636364,NA,305.0142086,"empirical"
1,5,0.214285714285714,NA,244.1261002,"empirical"
1,6,0.222222222222222,NA,244.2182947,"empirical"
1,7,0.21875,NA,339.3176653,"empirical"
1,8,0.2,NA,339.3409395,"empirical"
1,9,0.24,NA,389.0412745,"empirical"
1,10,0.230769230769231,NA,389.0816723,"empirical"
1,11,0.208333333333333,NA,390.0210886,"empirical"
1,12,0.25,NA,389.9995747,"empirical"
1,13,0.166666666666667,NA,437.3667753,"empirical"
2,3,0.28,NA,305.48351,"empirical"
2,4,0.363636363636364,NA,305.4685845,"empirical"
2,5,0.307692307692308,NA,244.3428621,"empirical"
2,6,0.269230769230769,NA,244.4351061,"empirical"
2,7,0.181818181818182,NA,339.4225451,"empirical"
2,8,0.235294117647059,NA,339.4459549,"empirical"
2,9,0.291666666666667,NA,389.1067971,"empirical"
2,10,0.333333333333333,NA,389.146973,"empirical"
2,11,0.208333333333333,NA,390.0182084,"empirical"
2,12,0.363636363636364,NA,389.9966073,"empirical"
2,13,0.217391304347826,NA,437.2850066,"empirical"
3,4,0.8,NA,0.067363151,"empirical"
3,5,0.538461538461538,NA,190.5172168,"empirical"
3,6,0.5,NA,190.493473,"empirical"
3,7,0.363636363636364,NA,284.29192,"empirical"
3,8,0.411764705882353,NA,284.2256416,"empirical"
3,9,0.48,NA,337.0109202,"empirical"
3,10,0.461538461538462,NA,337.1673216,"empirical"
3,11,0.4,NA,376.9087486,"empirical"
3,12,0.5,NA,376.9431528,"empirical"
3,13,0.36,NA,455.6828693,"empirical"
4,5,0.407407407407407,NA,190.4557312,"empirical"
4,6,0.37037037037037,NA,190.431974,"empirical"
4,7,0.34375,NA,284.225063,"empirical"
4,8,0.352941176470588,NA,284.1587826,"empirical"
4,9,0.346153846153846,NA,336.9436391,"empirical"
4,10,0.333333333333333,NA,337.1000413,"empirical"
