"","from","to","weight"
"70","2 _ 8","2 _ 170",3
"71","2 _ 8","2 _ 216",10
"72","2 _ 8","2 _ 244",13
"73","2 _ 8","2 _ 258",21
"74","2 _ 9","2 _ 49",1
"75","2 _ 9","2 _ 86",1
"76","2 _ 9","2 _ 101",1
"77","2 _ 9","2 _ 113",1
"78","2 _ 9","2 _ 147",2
"79","2 _ 9","2 _ 160",1
"80","2 _ 9","2 _ 164",1
"81","2 _ 9","2 _ 170",5
"82","2 _ 9","2 _ 187",2
"83","2 _ 9","2 _ 188",2
"84","2 _ 9","2 _ 189",6
"85","2 _ 9","2 _ 212",1
"86","2 _ 9","2 _ 216",1
"87","2 _ 9","2 _ 221",2
"88","2 _ 9","2 _ 232",2
"89","2 _ 9","2 _ 237",7
"90","2 _ 9","2 _ 242",35
"91","2 _ 9","2 _ 256",1
"92","2 _ 9","2 _ 258",1
"93","2 _ 9","2 _ 267",4
"94","2 _ 9","2 _ 273",12
"95","2 _ 9","2 _ 284",3
"96","2 _ 12","2 _ 45",3
"97","2 _ 12","2 _ 281",1
"98","2 _ 15","2 _ 45",1
"99","2 _ 15","2 _ 72",1
"100","2 _ 15","2 _ 116",1
"101","2 _ 15","2 _ 164",1
"102","2 _ 15","2 _ 258",1
"103","2 _ 17","2 _ 54",7
"104","2 _ 17","2 _ 63",2
"105","2 _ 17","2 _ 72",1
"106","2 _ 17","2 _ 160",5
"107","2 _ 17","2 _ 164",6
"108","2 _ 17","2 _ 194",1
"109","2 _ 17","2 _ 206",3
"110","2 _ 17","2 _ 242",1
"111","2 _ 17","2 _ 250",3
"112","2 _ 17","2 _ 259",6
"113","2 _ 17","2 _ 284",1
"114","2 _ 17","2 _ 285",3
"115","2 _ 26","2 _ 45",3
"116","2 _ 26","2 _ 57",1
"117","2 _ 26","2 _ 116",10
"118","2 _ 26","2 _ 164",1
"119","2 _ 26","2 _ 194",3
"120","2 _ 26","2 _ 196",9
"121","2 _ 26","2 _ 244",1
"122","2 _ 26","2 _ 258",3
"123","2 _ 28","2 _ 86",1
"124","2 _ 28","2 _ 172",1
"125","2 _ 39","2 _ 258",1
"126","3 _ 8","3 _ 66",1
"127","3 _ 8","3 _ 81",4
"128","3 _ 8","3 _ 111",1
"129","3 _ 8","3 _ 188",1
"130","3 _ 8","3 _ 216",45
"131","3 _ 9","3 _ 59",10
"132","3 _ 9","3 _ 77",5
"133","3 _ 9","3 _ 81",10
"134","3 _ 9","3 _ 93",1
"135","3 _ 9","3 _ 106",1
"136","3 _ 9","3 _ 170",4
"137","3 _ 9","3 _ 183",1
"138","3 _ 9","3 _ 197",1
"139","3 _ 9","3 _ 214",1
"140","3 _ 9","3 _ 216",53
"141","3 _ 9","3 _ 235",18
"142","3 _ 9","3 _ 240",1
"143","3 _ 9","3 _ 242",6
"144","3 _ 9","3 _ 257",1
"145","3 _ 9","3 _ 274",21
"146","3 _ 14","3 _ 131",1
"147","3 _ 14","3 _ 234",2
"148","3 _ 14","3 _ 275",6
"149","3 _ 17","3 _ 50",2
"150","3 _ 17","3 _ 55",1
"151","3 _ 17","3 _ 59",1
"152","3 _ 17","3 _ 71",1
"153","3 _ 17","3 _ 77",3
"154","3 _ 17","3 _ 81",4
"155","3 _ 17","3 _ 89",2
"156","3 _ 17","3 _ 91",2
"157","3 _ 17","3 _ 95",1
"158","3 _ 17","3 _ 125",6
"159","3 _ 17","3 _ 131",1
"160","3 _ 17","3 _ 146",1
"161","3 _ 17","3 _ 163",1
"162","3 _ 17","3 _ 170",6
"163","3 _ 17","3 _ 206",1
"164","3 _ 17","3 _ 216",12
"165","3 _ 17","3 _ 223",1
"166","3 _ 17","3 _ 225",7
"167","3 _ 17","3 _ 236",1
"168","3 _ 17","3 _ 242",3
"169","3 _ 17","3 _ 275",2
"170","3 _ 17","3 _ 284",2
"171","3 _ 26","3 _ 55",5
"172","3 _ 26","3 _ 91",1
"173","3 _ 26","3 _ 92",1
"174","3 _ 26","3 _ 274",1
"175","3 _ 26","3 _ 275",1
"176","3 _ 26","3 _ 277",1
"177","3 _ 32","3 _ 264",1
"178","3 _ 36","3 _ 55",1
"179","3 _ 36","3 _ 101",1
"180","3 _ 36","3 _ 234",2
"181","4 _ 8","4 _ 59",1
"182","4 _ 8","4 _ 81",2
"183","4 _ 8","4 _ 84",4
"184","4 _ 8","4 _ 111",2
"185","4 _ 8","4 _ 131",1
"186","4 _ 8","4 _ 216",62
"187","4 _ 8","4 _ 234",1
"188","4 _ 8","4 _ 235",1
"189","4 _ 8","4 _ 242",8
"190","4 _ 9","4 _ 50",2
"191","4 _ 9","4 _ 59",1
"192","4 _ 9","4 _ 69",3
"193","4 _ 9","4 _ 77",9
"194","4 _ 9","4 _ 81",8
"195","4 _ 9","4 _ 122",3
"196","4 _ 9","4 _ 170",3
"197","4 _ 9","4 _ 210",1
"198","4 _ 9","4 _ 216",90
"199","4 _ 9","4 _ 219",1
"200","4 _ 9","4 _ 229",2
"201","4 _ 9","4 _ 234",3
"202","4 _ 9","4 _ 242",2
"203","4 _ 9","4 _ 263",1
"204","4 _ 9","4 _ 264",1
"205","4 _ 9","4 _ 274",53
"206","4 _ 14","4 _ 145",1
"207","4 _ 14","4 _ 275",3
"208","4 _ 15","4 _ 155",1
"209","4 _ 15","4 _ 201",1
"210","4 _ 15","4 _ 275",2
"211","4 _ 17","4 _ 48",2
"212","4 _ 17","4 _ 55",2
"213","4 _ 17","4 _ 74",1
"214","4 _ 17","4 _ 89",2
"215","4 _ 17","4 _ 99",3
"216","4 _ 17","4 _ 111",3
"217","4 _ 17","4 _ 128",3
"218","4 _ 17","4 _ 153",1
"219","4 _ 17","4 _ 168",1
"220","4 _ 17","4 _ 170",3
"221","4 _ 17","4 _ 225",1
"222","4 _ 17","4 _ 234",1
"223","4 _ 17","4 _ 236",1
"224","4 _ 17","4 _ 242",4
"225","4 _ 17","4 _ 284",2
"226","4 _ 22","4 _ 77",1
"227","4 _ 22","4 _ 91",1
"228","4 _ 22","4 _ 105",1
"229","4 _ 26","4 _ 55",6
"230","4 _ 26","4 _ 77",1
"231","4 _ 26","4 _ 81",1
"232","4 _ 26","4 _ 131",2
"233","4 _ 26","4 _ 168",4
"234","4 _ 26","4 _ 242",1
"235","4 _ 26","4 _ 274",1
"236","4 _ 32","4 _ 91",4
"237","4 _ 32","4 _ 101",1
"238","5 _ 8","5 _ 60",1
"239","5 _ 8","5 _ 92",34
"240","5 _ 8","5 _ 101",1
"241","5 _ 8","5 _ 111",8
"242","5 _ 8","5 _ 115",1
"243","5 _ 8","5 _ 123",1
"244","5 _ 8","5 _ 165",1
"245","5 _ 8","5 _ 170",1
"246","5 _ 8","5 _ 187",3
"247","5 _ 8","5 _ 199",1
"248","5 _ 8","5 _ 235",1
"249","5 _ 8","5 _ 246",1
"250","5 _ 8","5 _ 274",1
"251","5 _ 9","5 _ 50",8
"252","5 _ 9","5 _ 60",1
"253","5 _ 9","5 _ 73",1
"254","5 _ 9","5 _ 76",1
"255","5 _ 9","5 _ 92",36
"256","5 _ 9","5 _ 111",7
"257","5 _ 9","5 _ 163",1
"258","5 _ 9","5 _ 165",2
"259","5 _ 9","5 _ 187",5
"260","5 _ 9","5 _ 199",1
"261","5 _ 9","5 _ 235",1
"262","5 _ 9","5 _ 246",1
"263","5 _ 9","5 _ 274",79
"264","5 _ 11","5 _ 50",4
"265","5 _ 11","5 _ 52",7
"266","5 _ 11","5 _ 55",1
"267","5 _ 11","5 _ 76",4
"268","5 _ 11","5 _ 85",1
"269","5 _ 11","5 _ 92",14
"270","5 _ 11","5 _ 111",1
"271","5 _ 11","5 _ 115",2
"272","5 _ 11","5 _ 136",1
"273","5 _ 11","5 _ 139",3
"274","5 _ 11","5 _ 149",1
"275","5 _ 11","5 _ 151",1
