"","from","to","weight"
"720","11 _ 1","11 _ 255",4
"721","11 _ 1","11 _ 269",2
"722","11 _ 1","11 _ 270",1
"723","11 _ 1","11 _ 272",3
"724","11 _ 1","11 _ 274",3
"725","11 _ 1","11 _ 275",6
"726","11 _ 8","11 _ 67",1
"727","11 _ 8","11 _ 92",30
"728","11 _ 8","11 _ 141",6
"729","11 _ 8","11 _ 216",3
"730","11 _ 8","11 _ 219",1
"731","11 _ 8","11 _ 238",1
"732","11 _ 8","11 _ 255",2
"733","11 _ 8","11 _ 272",1
"734","11 _ 9","11 _ 92",12
"735","11 _ 9","11 _ 126",1
"736","11 _ 9","11 _ 141",17
"737","11 _ 9","11 _ 205",1
"738","11 _ 9","11 _ 207",2
"739","11 _ 9","11 _ 216",10
"740","11 _ 9","11 _ 255",1
"741","11 _ 9","11 _ 272",1
"742","11 _ 9","11 _ 274",15
"743","11 _ 10","11 _ 62",2
"744","11 _ 10","11 _ 92",27
"745","11 _ 10","11 _ 138",1
"746","11 _ 10","11 _ 187",1
"747","11 _ 10","11 _ 197",1
"748","11 _ 10","11 _ 255",2
"749","11 _ 16","11 _ 275",1
"750","11 _ 17","11 _ 60",1
"751","11 _ 17","11 _ 88",2
"752","11 _ 17","11 _ 126",1
"753","11 _ 17","11 _ 156",1
"754","11 _ 17","11 _ 163",1
"755","11 _ 17","11 _ 165",1
"756","11 _ 17","11 _ 275",2
"757","11 _ 20","11 _ 92",2
"758","11 _ 31","11 _ 92",14
"759","11 _ 31","11 _ 165",1
"760","11 _ 31","11 _ 177",2
"761","11 _ 31","11 _ 207",3
"762","11 _ 31","11 _ 216",3
"763","11 _ 31","11 _ 245",1
"764","11 _ 33","11 _ 88",1
"765","11 _ 33","11 _ 165",6
"766","11 _ 33","11 _ 192",1
"767","11 _ 33","11 _ 216",2
"768","11 _ 33","11 _ 272",3
"769","11 _ 33","11 _ 275",6
"770","11 _ 34","11 _ 60",1
"771","11 _ 34","11 _ 165",3
"772","11 _ 34","11 _ 255",1
"773","11 _ 35","11 _ 62",1
"774","11 _ 35","11 _ 68",1
"775","11 _ 35","11 _ 138",1
"776","11 _ 35","11 _ 163",2
"777","11 _ 35","11 _ 238",2
"778","11 _ 35","11 _ 243",1
"779","12 _ 1","12 _ 80",1
"780","12 _ 1","12 _ 88",5
"781","12 _ 1","12 _ 165",2
"782","12 _ 1","12 _ 170",5
"783","12 _ 1","12 _ 255",4
"784","12 _ 1","12 _ 272",1
"785","12 _ 1","12 _ 274",33
"786","12 _ 4","12 _ 55",2
"787","12 _ 4","12 _ 98",2
"788","12 _ 8","12 _ 88",1
"789","12 _ 8","12 _ 92",10
"790","12 _ 8","12 _ 141",1
"791","12 _ 8","12 _ 144",1
"792","12 _ 8","12 _ 163",7
"793","12 _ 8","12 _ 216",16
"794","12 _ 8","12 _ 235",1
"795","12 _ 8","12 _ 255",1
"796","12 _ 9","12 _ 47",9
"797","12 _ 9","12 _ 92",14
"798","12 _ 9","12 _ 108",1
"799","12 _ 9","12 _ 133",3
"800","12 _ 9","12 _ 141",17
"801","12 _ 9","12 _ 163",4
"802","12 _ 9","12 _ 165",1
"803","12 _ 9","12 _ 216",11
"804","12 _ 9","12 _ 272",21
"805","12 _ 9","12 _ 274",6
"806","12 _ 10","12 _ 92",24
"807","12 _ 10","12 _ 101",1
"808","12 _ 10","12 _ 148",1
"809","12 _ 10","12 _ 163",1
"810","12 _ 10","12 _ 187",1
"811","12 _ 10","12 _ 238",1
"812","12 _ 10","12 _ 255",4
"813","12 _ 12","12 _ 55",2
"814","12 _ 12","12 _ 56",1
"815","12 _ 12","12 _ 60",2
"816","12 _ 12","12 _ 165",3
"817","12 _ 12","12 _ 239",2
"818","12 _ 16","12 _ 44",1
"819","12 _ 16","12 _ 55",1
"820","12 _ 16","12 _ 275",1
"821","12 _ 17","12 _ 55",1
"822","12 _ 17","12 _ 60",5
"823","12 _ 17","12 _ 62",1
"824","12 _ 17","12 _ 92",1
"825","12 _ 17","12 _ 138",1
"826","12 _ 17","12 _ 165",21
"827","12 _ 17","12 _ 203",1
"828","12 _ 17","12 _ 215",1
"829","12 _ 17","12 _ 216",5
"830","12 _ 17","12 _ 272",1
"831","12 _ 17","12 _ 275",5
"832","12 _ 17","12 _ 284",1
"833","12 _ 26","12 _ 44",2
"834","12 _ 26","12 _ 84",2
"835","12 _ 26","12 _ 163",2
"836","12 _ 26","12 _ 165",1
"837","12 _ 31","12 _ 62",11
"838","12 _ 31","12 _ 92",48
"839","12 _ 31","12 _ 216",4
"840","12 _ 31","12 _ 243",1
"841","12 _ 33","12 _ 60",1
"842","12 _ 33","12 _ 92",9
"843","12 _ 33","12 _ 146",1
"844","12 _ 33","12 _ 163",3
"845","12 _ 33","12 _ 165",2
"846","12 _ 33","12 _ 170",1
"847","12 _ 33","12 _ 192",3
"848","12 _ 33","12 _ 216",2
"849","12 _ 33","12 _ 272",1
"850","12 _ 33","12 _ 275",11
"851","12 _ 33","12 _ 283",1
"852","12 _ 35","12 _ 62",1
"853","12 _ 35","12 _ 92",3
"854","12 _ 35","12 _ 143",1
"855","12 _ 35","12 _ 163",1
"856","12 _ 35","12 _ 197",1
"857","12 _ 35","12 _ 216",6
"858","12 _ 36","12 _ 272",2
"859","13 _ 4","13 _ 55",2
"860","13 _ 4","13 _ 92",1
"861","13 _ 4","13 _ 114",1
"862","13 _ 4","13 _ 126",1
"863","13 _ 4","13 _ 138",1
"864","13 _ 4","13 _ 139",3
"865","13 _ 4","13 _ 141",1
"866","13 _ 5","13 _ 92",8
"867","13 _ 8","13 _ 92",27
"868","13 _ 8","13 _ 129",1
"869","13 _ 8","13 _ 133",1
"870","13 _ 8","13 _ 163",2
"871","13 _ 8","13 _ 165",1
"872","13 _ 9","13 _ 92",45
"873","13 _ 9","13 _ 103",1
"874","13 _ 9","13 _ 107",2
"875","13 _ 9","13 _ 163",7
"876","13 _ 9","13 _ 165",2
"877","13 _ 9","13 _ 270",1
"878","13 _ 9","13 _ 274",18
"879","13 _ 10","13 _ 55",2
"880","13 _ 10","13 _ 92",29
"881","13 _ 10","13 _ 97",1
"882","13 _ 10","13 _ 103",2
"883","13 _ 10","13 _ 107",2
"884","13 _ 10","13 _ 115",2
"885","13 _ 10","13 _ 126",1
"886","13 _ 10","13 _ 129",2
"887","13 _ 10","13 _ 136",1
"888","13 _ 10","13 _ 138",9
"889","13 _ 10","13 _ 139",4
"890","13 _ 10","13 _ 141",1
"891","13 _ 10","13 _ 163",5
"892","13 _ 10","13 _ 165",2
"893","13 _ 10","13 _ 169",1
"894","13 _ 10","13 _ 170",1
"895","13 _ 10","13 _ 190",1
"896","13 _ 10","13 _ 191",2
"897","13 _ 10","13 _ 209",1
"898","13 _ 10","13 _ 239",1
"899","13 _ 10","13 _ 255",2
"900","13 _ 21","13 _ 98",1
"901","13 _ 21","13 _ 162",1
"902","13 _ 21","13 _ 165",1
"903","13 _ 21","13 _ 176",1
"904","13 _ 21","13 _ 202",1
"905","13 _ 21","13 _ 243",1
"906","13 _ 21","13 _ 275",4
"907","13 _ 31","13 _ 92",28
"908","13 _ 31","13 _ 127",1
"909","13 _ 31","13 _ 170",1
"910","13 _ 31","13 _ 265",1
"911","13 _ 35","13 _ 92",4
"912","13 _ 35","13 _ 190",1
"913","14 _ 4","14 _ 55",3
"914","14 _ 4","14 _ 92",1
"915","14 _ 4","14 _ 114",1
"916","14 _ 4","14 _ 138",2
"917","14 _ 4","14 _ 288",1
"918","14 _ 5","14 _ 92",5
"919","14 _ 5","14 _ 208",1
"920","14 _ 5","14 _ 211",1
"921","14 _ 8","14 _ 92",24
"922","14 _ 8","14 _ 107",1
"923","14 _ 8","14 _ 138",1
"924","14 _ 8","14 _ 190",1
"925","14 _ 8","14 _ 226",1
"926","14 _ 9","14 _ 92",20
"927","14 _ 9","14 _ 94",1
"928","14 _ 9","14 _ 107",1
"929","14 _ 9","14 _ 121",1
"930","14 _ 9","14 _ 126",1
"931","14 _ 9","14 _ 141",1
"932","14 _ 9","14 _ 163",1
"933","14 _ 9","14 _ 165",2
"934","14 _ 9","14 _ 208",1
"935","14 _ 9","14 _ 228",1
"936","14 _ 9","14 _ 233",1
"937","14 _ 9","14 _ 274",24
"938","14 _ 10","14 _ 75",1
"939","14 _ 10","14 _ 92",42
"940","14 _ 10","14 _ 96",2
"941","14 _ 10","14 _ 103",1
"942","14 _ 10","14 _ 111",1
"943","14 _ 10","14 _ 115",11
"944","14 _ 10","14 _ 126",1
"945","14 _ 10","14 _ 134",1
"946","14 _ 10","14 _ 138",3
"947","14 _ 10","14 _ 141",3
"948","14 _ 10","14 _ 163",6
"949","14 _ 10","14 _ 165",9
"950","14 _ 10","14 _ 170",4
"951","14 _ 10","14 _ 190",5
"952","14 _ 10","14 _ 207",1
"953","14 _ 10","14 _ 242",1
"954","14 _ 10","14 _ 254",1
"955","14 _ 10","14 _ 265",2
"956","14 _ 31","14 _ 92",43
"957","14 _ 31","14 _ 108",1
"958","14 _ 31","14 _ 121",1
"959","14 _ 31","14 _ 193",1
"960","14 _ 33","14 _ 192",4
"961","14 _ 33","14 _ 210",1
"962","14 _ 33","14 _ 248",2
"963","14 _ 33","14 _ 275",2
"964","14 _ 35","14 _ 92",2
"965","14 _ 35","14 _ 265",1
"966","14 _ 37","14 _ 92",1
"967","14 _ 38","14 _ 140",2
"968","14 _ 38","14 _ 192",10
"969","14 _ 38","14 _ 226",2
