"layer_from","layer_to","weight"
1,2,0.676222840966804
1,14,0.324134610599056
1,13,0.324139758853872
1,6,0.339364823067821
1,5,0.33937515219088
1,12,0.32702583086686
1,11,0.327024429625113
1,8,0.330598923596202
1,7,0.330600704196276
1,10,0.327085698948839
1,9,0.327088337550814
1,4,0.33339089806587
1,3,0.333389610353953
2,1,0.676222840966804
2,14,0.324139274089018
2,13,0.324144425023749
2,6,0.339340550172944
2,5,0.339350874197237
2,12,0.327026024146347
2,11,0.327024617212909
2,8,0.330590891116452
2,7,0.330592681449958
2,10,0.327081434471112
2,9,0.327084058069938
2,4,0.333351603182563
2,3,0.333350313559111
3,2,0.333350313559111
3,1,0.333389610353953
3,14,0.323116241773283
3,13,0.323119169646641
3,6,0.346299983923273
3,5,0.346296433735441
3,12,0.327893102849331
3,11,0.327895433788045
3,8,0.335264996754792
3,7,0.335258771827668
3,10,0.330765829400474
3,9,0.330777886998271
3,4,1
4,2,0.333351603182563
4,1,0.33339089806587
4,14,0.323119847357405
4,13,0.323122775618451
4,6,0.3463091816886
4,5,0.346305628161504
4,12,0.327897618057734
4,11,0.327899949588047
4,8,0.335271277917577
4,7,0.335265051104835
4,10,0.330771015509484
4,9,0.330783075954346
4,3,1
5,2,0.339350874197237
5,1,0.33937515219088
5,14,0.336208223748696
5,13,0.336214646562401
5,6,0.922482100825481
5,12,0.344876486745018
5,11,0.344878931455226
5,8,0.360904209223731
5,7,0.360897619439111
5,10,0.348909227190577
5,9,0.348927653954953
5,4,0.346305628161504
5,3,0.346296433735441
6,2,0.339340550172944
6,1,0.339364823067821
6,14,0.336209664939886
6,13,0.336216085902161
6,5,0.922482100825481
6,12,0.344880280468898
6,11,0.344882730005327
6,8,0.360917519961922
6,7,0.360910909559228
6,10,0.348917281358013
6,9,0.348935725008872
6,4,0.3463091816886
6,3,0.346299983923273
7,2,0.330592681449958
7,1,0.330600704196276
7,14,0.349107859336776
7,13,0.349115593859897
7,6,0.360910909559228
7,5,0.360897619439111
7,12,0.36801017146011
7,11,0.368023605703358
7,8,0.922594793752016
7,10,0.384144835312503
7,9,0.384215646796006
7,4,0.335265051104835
7,3,0.335258771827668
8,2,0.330590891116452
8,1,0.330598923596202
8,14,0.349095085135785
8,13,0.349102811089536
8,6,0.360917519961922
8,5,0.360904209223731
8,12,0.367985022899802
8,11,0.367998458542219
8,7,0.922594793752016
8,10,0.384126356385712
8,9,0.384197252505333
8,4,0.335271277917577
8,3,0.335264996754792
9,2,0.327084058069938
9,1,0.327088337550814
9,14,0.35765023154864
9,13,0.357655942505973
9,6,0.348935725008872
9,5,0.348927653954953
9,12,0.387115066457781
9,11,0.387159027743914
9,8,0.384197252505333
9,7,0.384215646796006
9,10,0.813608375970286
9,4,0.330783075954346
9,3,0.330777886998271
10,2,0.327081434471112
10,1,0.327085698948839
10,14,0.357691722269035
10,13,0.357697442404529
10,6,0.348917281358013
10,5,0.348909227190577
10,12,0.387229611381662
10,11,0.387273757600205
10,8,0.384126356385712
10,7,0.384144835312503
10,9,0.813608375970286
10,4,0.330771015509484
10,3,0.330765829400474
11,2,0.327024617212909
11,1,0.327024429625113
11,14,0.372847940938571
11,13,0.37286460741731
11,6,0.344882730005327
11,5,0.344878931455226
11,12,0.988640779161425
11,8,0.367998458542219
11,7,0.368023605703358
11,10,0.387273757600205
11,9,0.387159027743914
11,4,0.327899949588047
11,3,0.327895433788045
12,2,0.327026024146347
12,1,0.32702583086686
12,14,0.372866897472927
12,13,0.372883598475569
12,6,0.344880280468898
12,5,0.344876486745018
12,11,0.988640779161425
12,8,0.367985022899802
12,7,0.36801017146011
12,10,0.387229611381662
12,9,0.387115066457781
12,4,0.327897618057734
12,3,0.327893102849331
13,2,0.324144425023749
13,1,0.324139758853872
13,14,0.927970967898677
13,6,0.336216085902161
13,5,0.336214646562401
13,12,0.372883598475569
13,11,0.37286460741731
13,8,0.349102811089536
13,7,0.349115593859897
13,10,0.357697442404529
13,9,0.357655942505973
13,4,0.323122775618451
13,3,0.323119169646641
14,2,0.324139274089018
14,1,0.324134610599056
14,13,0.927970967898677
14,6,0.336209664939886
14,5,0.336208223748696
14,12,0.372866897472927
14,11,0.372847940938571
14,8,0.349095085135785
14,7,0.349107859336776
14,10,0.357691722269035
14,9,0.35765023154864
14,4,0.323119847357405
14,3,0.323116241773283
