"","module","layer_from","layer_to","distance","num_of_species"
"1","3",9,11,52803.77965,10
"2","4",3,12,376943.1528,17
"3","5",8,14,172824.6395,14
"4","6",3,4,67.363151,21
"5","8",10,14,129338.2219,19
"6","9",2,12,389996.6073,19
"7","9",5,6,95.95512,13
"8","10",6,9,173779.1593,8
"9","10",9,10,176.725963,8
"10","10",9,12,52869.02752,9
"11","12",5,7,116498.0882,10
