"X","node_id","module","sub_module","sub_sub_module","layer_id","flow","type","species","module_sub_module"
67,13,1,16,NA,10,0.00109749,"plant","Frankenia.laevis","1 . 16"
68,14,1,24,NA,1,5.91723e-06,"plant","Helianthemum.canariensis","1 . 24"
69,14,1,24,NA,3,0.000298388,"plant","Helianthemum.canariensis","1 . 24"
70,14,1,24,NA,4,0.000607574,"plant","Helianthemum.canariensis","1 . 24"
71,14,1,24,NA,7,0.000501176,"plant","Helianthemum.canariensis","1 . 24"
72,14,1,24,NA,8,0.000769859,"plant","Helianthemum.canariensis","1 . 24"
73,15,1,26,NA,1,1.76325e-05,"plant","Kickxia.heterophylla","1 . 26"
74,15,1,26,NA,2,0.000368929,"plant","Kickxia.heterophylla","1 . 26"
75,15,1,26,NA,4,0.000868525,"plant","Kickxia.heterophylla","1 . 26"
76,16,1,8,NA,5,0.000134095,"plant","Kickxia.scoparia","1 . 8"
77,16,1,8,NA,10,8.87295e-05,"plant","Kickxia.scoparia","1 . 8"
78,16,1,8,NA,11,0.000172457,"plant","Kickxia.scoparia","1 . 8"
79,16,1,8,NA,12,0.00125762,"plant","Kickxia.scoparia","1 . 8"
80,17,1,4,NA,1,0.000945129,"plant","Launaea.arborescens","1 . 4"
81,17,1,4,NA,2,0.00180826,"plant","Launaea.arborescens","1 . 4"
82,17,1,4,NA,3,0.00232078,"plant","Launaea.arborescens","1 . 4"
83,17,1,4,NA,4,0.00312372,"plant","Launaea.arborescens","1 . 4"
84,17,1,4,NA,5,0.00117362,"plant","Launaea.arborescens","1 . 4"
85,17,1,4,NA,6,0.00242828,"plant","Launaea.arborescens","1 . 4"
86,17,1,4,NA,7,0.00206315,"plant","Launaea.arborescens","1 . 4"
87,17,1,4,NA,8,0.00344041,"plant","Launaea.arborescens","1 . 4"
88,17,1,4,NA,9,0.00187213,"plant","Launaea.arborescens","1 . 4"
89,17,1,4,NA,10,0.00347769,"plant","Launaea.arborescens","1 . 4"
90,17,1,4,NA,11,0.00386049,"plant","Launaea.arborescens","1 . 4"
91,17,1,4,NA,12,0.0132918,"plant","Launaea.arborescens","1 . 4"
92,18,1,8,NA,10,0.000931557,"plant","Lavendula.buchii","1 . 8"
93,19,1,6,NA,6,0.000120412,"plant","Lavendula.minutolii","1 . 6"
94,20,1,25,NA,7,0.000919525,"plant","Lavendula.multifida","1 . 25"
95,20,1,25,NA,11,0.000289833,"plant","Lavendula.multifida","1 . 25"
96,21,1,14,NA,13,0.00502062,"plant","Lotus.glaucus","1 . 14"
97,22,1,17,2,4,0.00063296,"plant","Lotus.lancerottensis","1 . 17"
98,23,1,28,NA,7,6.65788e-06,"plant","Lotus.sessilifolius","1 . 28"
99,23,1,28,NA,8,0.00124646,"plant","Lotus.sessilifolius","1 . 28"
100,24,2,2,NA,1,0.00103485,"plant","Lotus.sp.","2 . 2"
101,25,1,31,NA,6,0.000412084,"plant","Lotus.spartioides","1 . 31"
102,26,1,8,NA,1,0.00034303,"plant","Lycium.intricatum","1 . 8"
103,26,1,8,NA,2,0.00126586,"plant","Lycium.intricatum","1 . 8"
104,26,1,8,NA,3,0.000617064,"plant","Lycium.intricatum","1 . 8"
105,26,1,8,NA,4,0.00101106,"plant","Lycium.intricatum","1 . 8"
106,26,1,8,NA,5,0.000932634,"plant","Lycium.intricatum","1 . 8"
107,26,1,8,NA,6,0.00136705,"plant","Lycium.intricatum","1 . 8"
108,26,1,8,NA,7,0.000919267,"plant","Lycium.intricatum","1 . 8"
109,26,1,8,NA,8,0.00106112,"plant","Lycium.intricatum","1 . 8"
110,26,1,8,NA,9,0.00161269,"plant","Lycium.intricatum","1 . 8"
111,26,1,8,NA,10,0.00213553,"plant","Lycium.intricatum","1 . 8"
112,26,1,8,NA,12,0.00454724,"plant","Lycium.intricatum","1 . 8"
113,27,1,3,3,9,6.15168e-05,"plant","Nauplius.aquaticus","1 . 3"
114,27,1,3,3,10,0.00114634,"plant","Nauplius.aquaticus","1 . 3"
115,28,2,3,NA,1,0.000191998,"plant","Nauplius.sp.","2 . 3"
116,28,2,3,NA,2,0.000956413,"plant","Nauplius.sp.","2 . 3"
117,29,1,1,NA,9,5.80547e-05,"plant","Neochamaelea.pulverulenta","1 . 1"
118,30,1,11,NA,10,0.00445643,"plant","Parolinia.intermedia","1 . 11"
119,31,1,1,NA,7,0.00149498,"plant","Periploca.laevigata","1 . 1"
120,31,1,1,NA,8,0.00307971,"plant","Periploca.laevigata","1 . 1"
121,31,1,1,NA,9,0.00157305,"plant","Periploca.laevigata","1 . 1"
122,31,1,1,NA,10,0.00253035,"plant","Periploca.laevigata","1 . 1"
123,31,1,1,NA,11,0.0018983,"plant","Periploca.laevigata","1 . 1"
124,31,1,1,NA,12,0.00585168,"plant","Periploca.laevigata","1 . 1"
125,31,1,1,NA,13,0.00425572,"plant","Periploca.laevigata","1 . 1"
126,31,1,1,NA,14,0.0361686,"plant","Periploca.laevigata","1 . 1"
127,32,1,17,3,3,0.000201183,"plant","Phagnalon.purpurascens","1 . 17"
128,32,1,17,1,4,0.00165169,"plant","Phagnalon.purpurascens","1 . 17"
129,33,1,3,1,11,0.000876672,"plant","Phagnalon.saxatile","1 . 3"
130,33,1,3,1,12,0.0046616,"plant","Phagnalon.saxatile","1 . 3"
131,33,1,3,1,14,0.0135824,"plant","Phagnalon.saxatile","1 . 3"
132,34,1,4,NA,5,0.000187409,"plant","Plocama.pendula","1 . 4"
133,34,1,4,NA,6,0.000807513,"plant","Plocama.pendula","1 . 4"
134,34,1,4,NA,7,0.000330606,"plant","Plocama.pendula","1 . 4"
135,34,1,4,NA,11,0.000742331,"plant","Plocama.pendula","1 . 4"
136,35,1,9,NA,5,0.0002067,"plant","Rubia.fruticosa","1 . 9"
137,35,1,9,NA,6,0.00086833,"plant","Rubia.fruticosa","1 . 9"
138,35,1,9,NA,9,0.000515006,"plant","Rubia.fruticosa","1 . 9"
139,35,1,9,NA,10,0.000690294,"plant","Rubia.fruticosa","1 . 9"
140,35,1,9,NA,11,0.00128123,"plant","Rubia.fruticosa","1 . 9"
141,35,1,9,NA,12,0.00250564,"plant","Rubia.fruticosa","1 . 9"
142,35,1,9,NA,13,0.00137211,"plant","Rubia.fruticosa","1 . 9"
143,35,1,9,NA,14,0.003931,"plant","Rubia.fruticosa","1 . 9"
144,36,1,23,NA,3,0.000263047,"plant","Salvia.aegyptiaca","1 . 23"
145,36,1,2,NA,12,0.000260737,"plant","Salvia.aegyptiaca","1 . 2"
146,37,1,33,NA,7,8.04858e-05,"plant","Satureja.kuegleri","1 . 33"
147,37,1,33,NA,8,0.000431213,"plant","Satureja.kuegleri","1 . 33"
148,37,1,1,NA,14,0.000878774,"plant","Satureja.kuegleri","1 . 1"
149,38,1,3,2,5,0.000346317,"plant","Schizogyne.sericea","1 . 3"
150,38,1,3,2,7,0.000449574,"plant","Schizogyne.sericea","1 . 3"
151,38,1,3,2,8,0.0013309,"plant","Schizogyne.sericea","1 . 3"
152,38,1,3,2,9,0.000778178,"plant","Schizogyne.sericea","1 . 3"
153,38,1,3,2,10,0.00138236,"plant","Schizogyne.sericea","1 . 3"
154,38,1,3,2,14,0.0114419,"plant","Schizogyne.sericea","1 . 3"
155,39,2,4,NA,1,0.000758281,"plant","Zilla.spinosa","2 . 4"
156,39,2,4,NA,2,0.000373498,"plant","Zilla.spinosa","2 . 4"
157,40,1,18,NA,6,4.44926e-05,"pollinator","Agromyzidae_sp._1","1 . 18"
158,40,1,18,NA,7,7.1842e-05,"pollinator","Agromyzidae_sp._1","1 . 18"
159,40,1,18,NA,8,0.000227045,"pollinator","Agromyzidae_sp._1","1 . 18"
160,41,1,1,NA,10,1.8481e-05,"pollinator","Agromyzidae?_sp._2","1 . 1"
161,42,1,4,NA,6,2.68785e-05,"pollinator","Alliophleps_elliptica","1 . 4"
162,43,1,8,NA,9,4.616e-05,"pollinator","Amegilla_canifrons","1 . 8"
163,44,1,8,NA,5,6.61379e-05,"pollinator","Amegilla_quadrifasciata","1 . 8"
164,44,1,8,NA,6,0.00015391,"pollinator","Amegilla_quadrifasciata","1 . 8"
165,44,1,25,NA,7,0.0004568,"pollinator","Amegilla_quadrifasciata","1 . 25"
166,44,1,8,NA,10,0.000653574,"pollinator","Amegilla_quadrifasciata","1 . 8"
167,44,1,8,NA,12,0.00196452,"pollinator","Amegilla_quadrifasciata","1 . 8"
168,45,1,8,NA,1,0.000160554,"pollinator","Amegilla_sp.","1 . 8"
169,45,1,8,NA,2,0.000403982,"pollinator","Amegilla_sp.","1 . 8"
170,46,1,16,NA,8,5.86837e-05,"pollinator","Ammophila_terminata","1 . 16"
171,47,1,2,NA,12,0.000578592,"pollinator","Anaspis_cf._canariensis","1 . 2"
172,48,1,4,NA,4,5.58062e-05,"pollinator","Anaspis_cf._eversi","1 . 4"
173,49,1,2,NA,1,3.15678e-06,"pollinator","Anaspis_cf._saharensis","1 . 2"
174,49,1,2,NA,2,8.67597e-05,"pollinator","Anaspis_cf._saharensis","1 . 2"
175,50,1,11,NA,3,1.76115e-05,"pollinator","Anaspis_proteus","1 . 11"
176,50,1,11,NA,4,0.000128252,"pollinator","Anaspis_proteus","1 . 11"
177,50,1,11,NA,5,0.000184445,"pollinator","Anaspis_proteus","1 . 11"
178,50,1,11,NA,6,0.000707415,"pollinator","Anaspis_proteus","1 . 11"
179,50,1,11,NA,7,0.000299679,"pollinator","Anaspis_proteus","1 . 11"
180,50,1,11,NA,8,0.000897394,"pollinator","Anaspis_proteus","1 . 11"
181,50,1,11,NA,9,0.00114359,"pollinator","Anaspis_proteus","1 . 11"
182,50,1,11,NA,10,0.00232668,"pollinator","Anaspis_proteus","1 . 11"
183,51,2,7,NA,1,6.89128e-05,"pollinator","Andrena_vachali","2 . 7"
184,52,1,18,NA,5,0.000102877,"pollinator","Andrena_vulcana","1 . 18"
185,52,1,13,NA,6,0.000180123,"pollinator","Andrena_vulcana","1 . 13"
186,53,1,2,NA,6,5.59383e-06,"pollinator","Andrena_wollastoni","1 . 2"
187,54,1,4,NA,1,3.60831e-05,"pollinator","Anthaxia_sp._1","1 . 4"
188,54,1,4,NA,2,0.000175299,"pollinator","Anthaxia_sp._1","1 . 4"
189,55,1,6,NA,3,0.000197913,"pollinator","Anthophora_alluaudi","1 . 6"
190,55,1,6,NA,4,0.000344647,"pollinator","Anthophora_alluaudi","1 . 6"
191,55,1,6,NA,5,0.000220025,"pollinator","Anthophora_alluaudi","1 . 6"
192,55,1,6,NA,6,0.000749464,"pollinator","Anthophora_alluaudi","1 . 6"
193,55,1,6,NA,7,0.00035351,"pollinator","Anthophora_alluaudi","1 . 6"
194,55,1,6,NA,8,0.000753596,"pollinator","Anthophora_alluaudi","1 . 6"
195,55,1,6,NA,9,0.000949,"pollinator","Anthophora_alluaudi","1 . 6"
196,55,1,6,NA,10,0.00148834,"pollinator","Anthophora_alluaudi","1 . 6"
197,55,1,6,NA,12,0.00246456,"pollinator","Anthophora_alluaudi","1 . 6"
198,55,1,6,NA,13,0.00161404,"pollinator","Anthophora_alluaudi","1 . 6"
199,55,1,6,NA,14,0.00549245,"pollinator","Anthophora_alluaudi","1 . 6"
200,56,1,8,NA,5,2.2046e-05,"pollinator","Anthophora_orotavae","1 . 8"
201,56,1,25,NA,7,0.000130917,"pollinator","Anthophora_orotavae","1 . 25"
202,56,1,8,NA,10,0.00052686,"pollinator","Anthophora_orotavae","1 . 8"
203,56,1,13,NA,12,0.000609768,"pollinator","Anthophora_orotavae","1 . 13"
204,57,1,8,NA,2,1.24355e-05,"pollinator","Anthophora_sp._1","1 . 8"
205,58,1,8,NA,1,4.45487e-05,"pollinator","Anthophora_sp._aff._orotavae","1 . 8"
206,59,1,38,NA,3,4.16251e-05,"pollinator","Aphthona_wachnitzae","1 . 38"
207,59,1,38,NA,4,0.000142858,"pollinator","Aphthona_wachnitzae","1 . 38"
208,60,1,4,NA,5,3.09975e-05,"pollinator","Apis_mellifera","1 . 4"
209,60,1,4,NA,6,0.000212788,"pollinator","Apis_mellifera","1 . 4"
210,60,1,4,NA,7,0.00021244,"pollinator","Apis_mellifera","1 . 4"
211,60,1,4,NA,8,0.000478611,"pollinator","Apis_mellifera","1 . 4"
212,60,1,4,NA,9,0.000283984,"pollinator","Apis_mellifera","1 . 4"
213,60,1,4,NA,10,0.000478775,"pollinator","Apis_mellifera","1 . 4"
214,60,1,4,NA,11,0.000826466,"pollinator","Apis_mellifera","1 . 4"
215,60,1,4,NA,12,0.00298926,"pollinator","Apis_mellifera","1 . 4"
216,61,2,1,NA,2,7.83556e-05,"pollinator","Aplocnemus_sp._2","2 . 1"
217,62,1,1,NA,7,1.03347e-05,"pollinator","Aprostocetus_occidentalis","1 . 1"
218,62,1,1,NA,11,0.000151513,"pollinator","Aprostocetus_occidentalis","1 . 1"
219,62,1,1,NA,12,0.00109455,"pollinator","Aprostocetus_occidentalis","1 . 1"
220,63,1,4,NA,2,2.42001e-05,"pollinator","Aprostocetus_sp._1","1 . 4"
221,64,1,1,NA,8,2.66878e-05,"pollinator","Aprostocetus_sp._2","1 . 1"
222,65,1,2,NA,1,3.15678e-06,"pollinator","Arachnospila_sp.","1 . 2"
223,66,1,5,NA,3,4.50279e-06,"pollinator","Araneae_sp._1","1 . 5"
224,67,1,5,NA,11,2.37401e-05,"pollinator","Araneidae_sp._1","1 . 5"
225,68,1,9,NA,11,6.42455e-05,"pollinator","Araneidae_sp._2","1 . 9"
226,69,1,2,NA,4,1.32789e-05,"pollinator","Asteia_caesia","1 . 2"
227,70,1,5,NA,6,5.9217e-06,"pollinator","Atherigona_varia","1 . 5"
228,71,1,4,NA,3,8.80573e-06,"pollinator","Attagenus_abbreviatus","1 . 4"
229,72,2,1,NA,1,3.43862e-05,"pollinator","Attagenus_sp._1","2 . 1"
230,72,1,26,NA,2,0.000172291,"pollinator","Attagenus_sp._1","1 . 26"
231,73,1,37,NA,5,9.3572e-05,"pollinator","Attagenus_wollastoni","1 . 37"
232,73,1,37,NA,7,0.000103235,"pollinator","Attagenus_wollastoni","1 . 37"
233,73,1,37,NA,8,0.000248062,"pollinator","Attagenus_wollastoni","1 . 37"
234,74,1,4,NA,4,2.79031e-05,"pollinator","Attalus_chrysanthemi","1 . 4"
235,75,1,1,NA,14,0.000699305,"pollinator","Attalus_crispus","1 . 1"
236,76,1,4,NA,5,0.000293928,"pollinator","Attalus_obscurus","1 . 4"
237,76,1,4,NA,6,0.000420012,"pollinator","Attalus_obscurus","1 . 4"
238,77,1,17,2,3,4.28269e-05,"pollinator","Attalus_olivensis","1 . 17"
239,77,1,17,2,4,0.000414868,"pollinator","Attalus_olivensis","1 . 17"
240,78,1,9,NA,9,3.2709e-05,"pollinator","Attalus_pallipes","1 . 9"
241,79,1,2,NA,8,2.06687e-05,"pollinator","Attalus_ruficollis","1 . 2"
242,80,1,7,NA,11,5.55778e-05,"pollinator","Attalus_rugifrons","1 . 7"
243,80,1,7,NA,12,0.00029759,"pollinator","Attalus_rugifrons","1 . 7"
244,81,1,36,NA,3,8.60534e-05,"pollinator","Aulacoderus_canariensis","1 . 36"
245,81,1,36,NA,4,0.000215846,"pollinator","Aulacoderus_canariensis","1 . 36"
246,81,1,36,NA,9,0.000145274,"pollinator","Aulacoderus_canariensis","1 . 36"
247,82,2,8,NA,1,1.71931e-05,"pollinator","Axinotarsus_sp._1","2 . 8"
248,82,1,5,NA,2,0.000100441,"pollinator","Axinotarsus_sp._1","1 . 5"
249,83,1,2,NA,10,6.44711e-05,"pollinator","Bassus_sp.","1 . 2"
250,84,1,5,NA,4,2.0244e-05,"pollinator","Blaesoxipha_sp._1","1 . 5"
251,84,1,8,NA,8,6.89409e-05,"pollinator","Blaesoxipha_sp._1","1 . 8"
252,84,1,8,NA,12,0.00123704,"pollinator","Blaesoxipha_sp._1","1 . 8"
253,85,1,18,NA,5,1.46967e-05,"pollinator","Bombylius_pintuarius","1 . 18"
254,86,2,4,NA,1,7.1457e-05,"pollinator","Bombylius_sp._1","2 . 4"
255,86,2,3,NA,2,0.000574496,"pollinator","Bombylius_sp._1","2 . 3"
256,87,1,2,NA,7,9.53083e-06,"pollinator","Bracon_sp.","1 . 2"
257,87,1,2,NA,9,5.68397e-05,"pollinator","Bracon_sp.","1 . 2"
258,88,1,7,NA,11,0.000526243,"pollinator","Bruchidius_wollastoni","1 . 7"
259,88,1,7,NA,12,0.00122765,"pollinator","Bruchidius_wollastoni","1 . 7"
260,89,1,4,NA,3,1.76115e-05,"pollinator","Campiglossa_martii","1 . 4"
261,89,1,4,NA,4,0.000178971,"pollinator","Campiglossa_martii","1 . 4"
262,90,1,7,NA,11,5.55778e-05,"pollinator","Campiglossa_reticulata","1 . 7"
263,91,1,17,1,3,4.123e-05,"pollinator","Camponotus_cfr._feae","1 . 17"
264,91,1,17,1,4,0.00156679,"pollinator","Camponotus_cfr._feae","1 . 17"
265,92,1,1,NA,3,2.36185e-05,"pollinator","Camponotus_feae","1 . 1"
266,92,1,1,NA,5,0.000767209,"pollinator","Camponotus_feae","1 . 1"
267,92,1,1,NA,6,0.00269475,"pollinator","Camponotus_feae","1 . 1"
268,92,1,1,NA,7,0.00245975,"pollinator","Camponotus_feae","1 . 1"
269,92,1,1,NA,8,0.00269233,"pollinator","Camponotus_feae","1 . 1"
270,92,1,1,NA,9,0.00309248,"pollinator","Camponotus_feae","1 . 1"
271,92,1,1,NA,10,0.00758109,"pollinator","Camponotus_feae","1 . 1"
272,92,1,1,NA,11,0.00480495,"pollinator","Camponotus_feae","1 . 1"
273,92,1,1,NA,12,0.0113112,"pollinator","Camponotus_feae","1 . 1"
274,92,1,1,NA,13,0.0143813,"pollinator","Camponotus_feae","1 . 1"
275,92,1,1,NA,14,0.112317,"pollinator","Camponotus_feae","1 . 1"
276,93,1,2,NA,3,3.28193e-06,"pollinator","Cecidomyiidae_sp.","1 . 2"
277,94,1,2,NA,14,0.000834715,"pollinator","Cecydomyiidae_sp.","1 . 2"
278,95,1,4,NA,3,8.80573e-06,"pollinator","Cephalodromia_sp.","1 . 4"
279,95,1,3,2,5,5.78776e-05,"pollinator","Cephalodromia_sp.","1 . 3"
280,96,1,5,NA,10,2.3768e-05,"pollinator","Ceratogoponidae_sp.","1 . 5"
281,96,1,1,NA,14,0.00144531,"pollinator","Ceratogoponidae_sp.","1 . 1"
282,97,1,1,NA,13,5.59892e-05,"pollinator","Ceratogoponidae_sp._2","1 . 1"
283,98,1,14,NA,7,5.43455e-05,"pollinator","Chalicodoma_canescens","1 . 14"
284,98,1,6,NA,12,0.000303973,"pollinator","Chalicodoma_canescens","1 . 6"
285,98,1,14,NA,13,0.000601411,"pollinator","Chalicodoma_canescens","1 . 14"
286,99,2,2,NA,1,7.10932e-05,"pollinator","Chalicodoma_sicula","2 . 2"
287,99,1,4,NA,4,0.000137385,"pollinator","Chalicodoma_sicula","1 . 4"
288,100,2,4,NA,1,0.00014255,"pollinator","Chalicodoma_sp.","2 . 4"
289,101,1,23,NA,2,7.45151e-06,"pollinator","Chetogena_acuminata","1 . 23"
290,101,1,23,NA,3,0.000110283,"pollinator","Chetogena_acuminata","1 . 23"
291,101,1,23,NA,4,0.000486936,"pollinator","Chetogena_acuminata","1 . 23"
292,101,1,23,NA,5,0.000197217,"pollinator","Chetogena_acuminata","1 . 23"
293,101,1,23,NA,8,0.000283098,"pollinator","Chetogena_acuminata","1 . 23"
294,101,1,23,NA,10,0.000444181,"pollinator","Chetogena_acuminata","1 . 23"
295,101,1,23,NA,12,0.00057725,"pollinator","Chetogena_acuminata","1 . 23"
296,102,1,5,NA,10,2.3768e-05,"pollinator","Chironomidae_sp.","1 . 5"
297,103,1,1,NA,13,0.000176321,"pollinator","Chironomidae_sp._1","1 . 1"
298,103,1,1,NA,14,0.00087879,"pollinator","Chironomidae_sp._1","1 . 1"
299,104,2,1,NA,1,6.87724e-05,"pollinator","Chloropidae_sp.","2 . 1"
300,104,1,2,NA,9,6.23904e-05,"pollinator","Chloropidae_sp.","1 . 2"
301,105,1,17,2,4,0.000217899,"pollinator","Chloropidae_sp._1","1 . 17"
302,106,1,2,NA,3,3.28193e-06,"pollinator","Chloropidae_sp._2","1 . 2"
303,106,1,2,NA,6,5.75592e-05,"pollinator","Chloropidae_sp._2","1 . 2"
304,107,1,2,NA,13,0.000240663,"pollinator","Chloropidae_sp._3","1 . 2"
305,107,1,2,NA,14,0.00181766,"pollinator","Chloropidae_sp._3","1 . 2"
306,108,1,2,NA,12,6.42881e-05,"pollinator","Chloropidae_sp._4","1 . 2"
307,108,1,1,NA,14,0.000728822,"pollinator","Chloropidae_sp._4","1 . 1"
308,109,1,1,NA,8,1.1242e-05,"pollinator","Chloropidae_sp._5","1 . 1"
309,109,1,3,3,10,0.000171667,"pollinator","Chloropidae_sp._5","1 . 3"
310,110,1,1,NA,8,1.1242e-05,"pollinator","Chloropidae_sp._6","1 . 1"
311,111,1,21,NA,3,4.50279e-06,"pollinator","Chrysomya_albiceps","1 . 21"
312,111,1,21,NA,4,0.000210465,"pollinator","Chrysomya_albiceps","1 . 21"
313,111,1,21,NA,5,0.000184517,"pollinator","Chrysomya_albiceps","1 . 21"
314,111,1,21,NA,6,0.000256821,"pollinator","Chrysomya_albiceps","1 . 21"
315,111,1,21,NA,7,0.00023626,"pollinator","Chrysomya_albiceps","1 . 21"
316,111,1,21,NA,8,0.000844698,"pollinator","Chrysomya_albiceps","1 . 21"
317,111,1,21,NA,11,0.0006012,"pollinator","Chrysomya_albiceps","1 . 21"
318,111,1,21,NA,14,0.00135295,"pollinator","Chrysomya_albiceps","1 . 21"
319,112,1,9,NA,6,8.70439e-06,"pollinator","Coccinella_miranda","1 . 9"
320,112,1,1,NA,10,6.07576e-05,"pollinator","Coccinella_miranda","1 . 1"
321,113,1,4,NA,1,9.04106e-05,"pollinator","Coleoptera_sp._5","1 . 4"
