"layer_from","layer_to","ave_distance","turnover","trial_num"
"1","1",505.679714,1,1
"1","2",305254.15722766,0.851851851851852,1
"1","3",244276.96957619,0.724137931034483,1
"1","4east",339382.722737209,0.566666666666667,1
"1","4west",389085.015096,0.171428571428571,1
"1","5",390012.462666667,0.128205128205128,1
"1","6",437348.4536625,0.0625,1
"2","2",67.363151,1,1
"2","3",190480.950390909,0.777777777777778,1
"2","4east",284229.996093023,0.607142857142857,1
"2","4west",337016.161704,0.181818181818182,1
"2","5",376886.89595,0.135135135135135,1
"2","6",455663.1927125,0.0666666666666667,1
"3","3",95.95512,1,1
"3","4east",116465.400145238,0.607142857142857,1
"3","4west",173833.010640909,0.181818181818182,1
"3","5",200271.368816667,0.135135135135135,1
"3","6",274333.535214286,0.0666666666666667,1
"4east","4east",95.901643,1,1
"4east","4west",57427.2906184615,0.2,1
"4east","5",92995.183352,0.147058823529412,1
"4east","6",172759.010371429,0.0740740740740741,1
"4west","4west",176.725963,1,1
"4west","5",52671.809414,0.65,1
"4west","6",129354.152716667,0.352941176470588,1
"5","5",70.701802,1,1
"5","6",80113.2884846667,0.368421052631579,1
"6","6",93.399466,1,1
"1","1",505.679714,1,2
"1","2",305255.627912821,0.75,2
"1","3",244298.657016667,0.633333333333333,2
"1","4east",339386.15054,0.6,2
"1","4west",389085.3693,0.142857142857143,2
"1","5",390008.86975,0.111111111111111,2
"1","6",437325.89095,0.0333333333333333,2
"2","2",67.363151,1,2
"2","3",190479.617012121,0.655172413793103,2
"2","4east",284223.72372,0.620689655172414,2
"2","4west",337010.822272222,0.147058823529412,2
"2","5",376903.736983333,0.114285714285714,2
"2","6",455682.8693,0.0344827586206897,2
"3","3",95.95512,1,2
"3","4east",116457.768361538,0.566666666666667,2
"3","4west",173830.575810526,0.147058823529412,2
"3","5",200274.260075,0.114285714285714,2
"3","6",274313.73665,0.0344827586206897,2
"4east","4east",95.901643,1,2
"4east","4west",57423.423497619,0.151515151515152,2
"4east","5",93011.6810533333,0.117647058823529,2
"4east","6",172778.5189,0.0357142857142857,2
"4west","4west",176.725963,1,2
"4west","5",52684.9866709091,0.666666666666667,2
"4west","6",129326.0508,0.3125,2
"5","5",70.701802,1,2
"5","6",80110.4562810526,0.3125,2
"6","6",93.399466,1,2
"1","1",505.679714,1,3
"1","2",305220.231702439,0.67741935483871,3
"1","3",244271.693692857,0.724137931034483,3
"1","4east",339375.946802326,0.580645161290323,3
"1","4west",389071.279319048,0.108108108108108,3
"1","5",390010.33165,0.0810810810810811,3
"1","6",437411.89385,0.0625,3
"2","2",67.363151,1,3
"2","3",190471.730505263,0.785714285714286,3
"2","4east",284225.3518,0.633333333333333,3
"2","4west",336986.329266667,0.108108108108108,3
"2","5",376925.9507,0.0810810810810811,3
"2","6",455709.7711,0.0625,3
"3","3",95.95512,1,3
"3","4east",116456.993852083,0.678571428571429,3
"3","4west",173809.886956522,0.114285714285714,3
"3","5",200274.260075,0.0857142857142857,3
"3","6",274346.546,0.0666666666666667,3
"4east","4east",95.901643,1,3
"4east","4west",57416.3856914815,0.117647058823529,3
"4east","5",92999.56344,0.0882352941176471,3
"4east","6",172763.448,0.0689655172413793,3
"4west","4west",176.725963,1,3
"4west","5",52681.200752381,0.8125,3
"4west","6",129340.07203,0.4375,3
"5","5",70.701802,1,3
"5","6",80105.9862216667,0.466666666666667,3
"6","6",93.399466,1,3
"1","1",505.679714,1,4
"1","2",305234.176622449,0.888888888888889,4
"1","3",244283.43072093,0.75,4
"1","4east",339378.799626531,0.607142857142857,4
"1","4west",389070.395655556,0.114285714285714,4
"1","5",390005.276833333,0.0526315789473684,4
"2","2",67.363151,1,4
"2","3",190469.408433333,0.777777777777778,4
"2","4east",284225.345634043,0.62962962962963,4
"2","4west",336973.541811111,0.117647058823529,4
"2","5",376889.4066,0.0540540540540541,4
"3","3",95.95512,1,4
"3","4east",116455.880135714,0.615384615384615,4
"3","4west",173797.3492375,0.125,4
"3","5",200277.151333333,0.0571428571428571,4
"4east","4east",95.901643,1,4
"4east","4west",57408.2603414286,0.142857142857143,4
"4east","5",93027.450395,0.0645161290322581,4
"4west","5",52713.3016176923,0.421052631578947,4
"4west","6",129319.289077778,0.176470588235294,4
"5","5",70.701802,1,4
"5","6",80105.9232768,0.4,4
"6","6",93.399466,1,4
"1","1",505.679714,1,5
"1","2",305271.549835714,0.806451612903226,5
"1","3",244293.472921951,0.666666666666667,5
"1","4east",339391.490633333,0.566666666666667,5
"1","4west",389078.512116667,0.1,5
"1","5",390008.86975,0.075,5
"1","6",437325.89095,0.0303030303030303,5
"2","2",67.363151,1,5
"2","3",190479.454485,0.71875,5
"2","4east",284233.105813954,0.620689655172414,5
"2","4west",336991.25985625,0.1,5
"2","5",376859.30955,0.075,5
"2","6",455616.6148,0.0303030303030303,5
"3","3",95.95512,1,5
"3","4east",116467.154895652,0.533333333333333,5
"3","4west",173825.92735,0.102564102564103,5
"3","5",200274.260075,0.0769230769230769,5
"3","6",274313.73665,0.03125,5
"4east","4east",95.901643,1,5
"4east","4west",57420.6873861111,0.129032258064516,5
"4east","5",92999.56344,0.0967741935483871,5
"4east","6",172740.38085,0.0416666666666667,5
"4west","5",52668.1354461905,0.631578947368421,5
"4west","6",129321.369607692,0.294117647058824,5
"5","5",70.701802,1,5
"5","6",80108.543977037,0.3125,5
"6","6",93.399466,1,5
"1","1",505.679714,1,6
"1","2",305224.09884,0.633333333333333,6
"1","3",244278.582022581,0.466666666666667,6
"1","4east",339376.23476,0.464285714285714,6
"1","4west",389071.5157,0.0277777777777778,6
"2","2",67.363151,1,6
"2","3",190474.598604348,0.740740740740741,6
"2","4east",284232.748303704,0.692307692307692,6
"2","4west",336979.050205263,0.0256410256410256,6
"3","3",95.95512,1,6
"3","4east",116459.98625,0.695652173913043,6
"3","4west",173808.2632,0.0294117647058824,6
"4east","4east",95.901643,1,6
"4east","4west",57406.9949435294,0.032258064516129,6
"4west","5",52664.8636121053,0.6875,6
"4west","6",129323.008025,0.266666666666667,6
"5","5",70.701802,1,6
"5","6",80115.6022111765,0.285714285714286,6
"6","6",93.399466,1,6
"1","1",505.679714,1,7
"1","2",305238.2330325,0.636363636363636,7
"1","3",244279.319426531,0.617647058823529,7
"1","4east",339377.57694,0.612903225806452,7
"1","4west",389074.871972222,0.0952380952380952,7
"1","5",390008.86975,0.0666666666666667,7
"1","6",437371.016375,0.0555555555555556,7
"2","2",67.363151,1,7
"2","3",190475.3850375,0.75,7
"2","4east",284225.370255319,0.692307692307692,7
"2","4west",336998.395466667,0.111111111111111,7
"2","5",376892.630125,0.0769230769230769,7
"2","6",455676.643375,0.0666666666666667,7
"3","3",95.95512,1,7
"3","4east",116459.884397959,0.666666666666667,7
"3","4west",173814.496105,0.108108108108108,7
"3","5",200274.260075,0.075,7
"3","6",274346.546,0.0645161290322581,7
"4east","4east",95.901643,1,7
"4east","4west",57419.229564,0.125,7
"4east","5",92999.56344,0.0857142857142857,7
"4east","6",172763.448,0.0769230769230769,7
"4west","4west",176.725963,1,7
"4west","5",52681.4725676,0.545454545454545,7
"4west","6",129349.558585714,0.263157894736842,7
"5","5",70.701802,1,7
"5","6",80108.938371875,0.368421052631579,7
"6","6",93.399466,1,7
"1","1",505.679714,1,8
"1","2",305264.87205814,0.65625,8
"1","3",244294.535147619,0.67741935483871,8
"1","4east",339387.847295918,0.655172413793103,8
"1","4west",389084.556835294,0.108108108108108,8
"1","5",390011.31352,0.105263157894737,8
