"layer_from","node_from","layer_to","node_to"
"GranCanaria1","Rubia.fruticosa","Hierro2","Rubia.fruticosa"
"GranCanaria1","Schizogyne.sericea","TenerifeSouth1","Schizogyne.sericea"
"GranCanaria1","Schizogyne.sericea","TenerifeSouth2","Schizogyne.sericea"
"GranCanaria1","Schizogyne.sericea","TenerifeTeno1","Schizogyne.sericea"
"GranCanaria1","Schizogyne.sericea","TenerifeTeno2","Schizogyne.sericea"
"GranCanaria1","Schizogyne.sericea","Hierro2","Schizogyne.sericea"
"GranCanaria2","Euphorbia.balsamifera..f.","WesternSahara1","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","WesternSahara2","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","Fuerteventura1","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","Fuerteventura2","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","GranCanaria1","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","TenerifeSouth1","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","TenerifeSouth2","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","TenerifeTeno1","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","TenerifeTeno2","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","Gomera1","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","Gomera2","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","Hierro1","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..f.","Hierro2","Euphorbia.balsamifera..f."
"GranCanaria2","Euphorbia.balsamifera..m.","WesternSahara1","Euphorbia.balsamifera..m."
"GranCanaria2","Euphorbia.balsamifera..m.","WesternSahara2","Euphorbia.balsamifera..m."
"GranCanaria2","Euphorbia.balsamifera..m.","Fuerteventura1","Euphorbia.balsamifera..m."
"GranCanaria2","Euphorbia.balsamifera..m.","Fuerteventura2","Euphorbia.balsamifera..m."
"GranCanaria2","Euphorbia.balsamifera..m.","GranCanaria1","Euphorbia.balsamifera..m."
"GranCanaria2","Euphorbia.balsamifera..m.","TenerifeSouth1","Euphorbia.balsamifera..m."
