"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"1 . 1",0,0,7,0,7,7,42,70,35,42,49,35,77,119
"1 . 10",0,0,7,0,7,7,0,7,7,7,7,7,7,7
"1 . 11",0,0,7,7,7,7,7,14,28,49,0,0,0,0
"1 . 12",0,0,0,0,0,7,0,0,14,14,0,0,7,21
"1 . 13",0,14,0,0,7,14,0,7,7,7,0,21,7,0
"1 . 14",0,0,0,0,0,0,14,7,0,0,7,7,42,0
"1 . 15",7,7,7,7,7,7,7,7,0,0,0,7,7,0
"1 . 19",0,0,0,0,0,0,0,0,7,7,7,0,7,7
"1 . 2",70,70,56,56,14,35,21,42,42,56,35,49,28,56
"1 . 20",7,7,0,0,7,7,7,7,7,7,7,7,0,0
"1 . 21",0,0,7,7,7,7,7,7,0,0,7,0,0,7
"1 . 22",7,7,7,7,0,0,0,0,7,7,0,0,0,7
"1 . 23",0,7,21,14,7,0,0,7,0,7,0,7,0,0
"1 . 24",7,0,7,14,0,0,7,7,0,0,0,0,0,0
"1 . 27",0,0,7,7,7,7,7,7,0,0,0,7,0,0
"1 . 3",0,0,7,7,21,7,28,28,28,42,21,35,7,56
"1 . 4",49,70,77,70,35,77,56,42,21,35,42,42,7,0
"1 . 5",28,49,28,21,28,21,21,21,21,35,28,21,21,0
"1 . 6",0,0,7,7,7,14,7,7,14,14,7,28,35,35
"1 . 7",0,0,0,0,0,0,14,49,42,35,42,35,7,0
"1 . 8",21,35,21,21,35,14,7,14,14,35,7,28,0,0
"1 . 9",0,0,7,0,14,14,0,0,21,7,21,21,14,14
