"layer_from","layer_to","module","number_of_modules"
1,2,"14",11
1,2,"16",11
1,2,"2",11
1,2,"21",11
1,2,"23",11
1,2,"26",11
1,2,"29",11
1,2,"32",11
1,2,"4",11
1,2,"5",11
1,2,"8",11
1,3,"16",7
1,3,"2",7
1,3,"23",7
1,3,"25",7
1,3,"4",7
1,3,"5",7
1,3,"8",7
1,4,"16",8
1,4,"2",8
1,4,"23",8
1,4,"25",8
1,4,"29",8
1,4,"4",8
1,4,"5",8
1,4,"8",8
1,5,"16",6
1,5,"2",6
1,5,"21",6
1,5,"4",6
1,5,"5",6
1,5,"8",6
1,6,"16",6
1,6,"2",6
1,6,"21",6
1,6,"4",6
1,6,"5",6
1,6,"8",6
1,7,"16",7
1,7,"2",7
1,7,"21",7
1,7,"25",7
1,7,"4",7
1,7,"5",7
1,7,"8",7
1,8,"16",7
1,8,"2",7
1,8,"21",7
1,8,"25",7
1,8,"4",7
1,8,"5",7
1,8,"8",7
1,9,"2",6
1,9,"21",6
1,9,"23",6
1,9,"4",6
1,9,"5",6
1,9,"8",6
1,10,"2",6
1,10,"21",6
1,10,"23",6
1,10,"4",6
1,10,"5",6
1,10,"8",6
1,11,"2",5
1,11,"21",5
1,11,"4",5
1,11,"5",5
1,11,"8",5
1,12,"16",6
1,12,"2",6
1,12,"21",6
1,12,"4",6
1,12,"5",6
1,12,"8",6
1,13,"16",4
1,13,"2",4
1,13,"4",4
1,13,"5",4
1,14,"2",2
1,14,"23",2
2,3,"16",7
2,3,"2",7
2,3,"23",7
2,3,"24",7
2,3,"4",7
2,3,"5",7
2,3,"8",7
2,4,"16",8
2,4,"2",8
2,4,"23",8
2,4,"24",8
2,4,"29",8
2,4,"4",8
2,4,"5",8
2,4,"8",8
2,5,"13",8
2,5,"16",8
2,5,"2",8
2,5,"21",8
2,5,"24",8
2,5,"4",8
2,5,"5",8
2,5,"8",8
2,6,"13",7
2,6,"16",7
2,6,"2",7
2,6,"21",7
2,6,"4",7
2,6,"5",7
2,6,"8",7
2,7,"16",6
2,7,"2",6
2,7,"21",6
2,7,"4",6
2,7,"5",6
2,7,"8",6
2,8,"13",8
2,8,"16",8
2,8,"2",8
2,8,"21",8
2,8,"24",8
2,8,"4",8
2,8,"5",8
2,8,"8",8
2,9,"13",7
2,9,"2",7
2,9,"21",7
2,9,"23",7
2,9,"4",7
2,9,"5",7
2,9,"8",7
2,10,"13",8
2,10,"2",8
2,10,"21",8
2,10,"23",8
2,10,"24",8
2,10,"4",8
2,10,"5",8
2,10,"8",8
2,11,"2",5
2,11,"21",5
2,11,"4",5
2,11,"5",5
2,11,"8",5
2,12,"13",8
2,12,"16",8
2,12,"2",8
2,12,"21",8
2,12,"24",8
2,12,"4",8
2,12,"5",8
2,12,"8",8
2,13,"13",5
2,13,"16",5
2,13,"2",5
2,13,"4",5
2,13,"5",5
2,14,"2",2
2,14,"23",2
3,4,"11",16
3,4,"16",16
3,4,"18",16
3,4,"2",16
3,4,"22",16
3,4,"23",16
3,4,"24",16
3,4,"25",16
3,4,"3",16
3,4,"30",16
3,4,"39",16
3,4,"4",16
3,4,"41",16
3,4,"5",16
3,4,"6",16
3,4,"8",16
3,5,"1",14
3,5,"10",14
3,5,"11",14
3,5,"16",14
3,5,"2",14
3,5,"22",14
3,5,"24",14
3,5,"3",14
3,5,"30",14
3,5,"4",14
3,5,"5",14
3,5,"6",14
3,5,"8",14
3,5,"9",14
3,6,"1",13
3,6,"10",13
3,6,"11",13
3,6,"16",13
3,6,"2",13
3,6,"22",13
3,6,"3",13
3,6,"30",13
3,6,"4",13
3,6,"5",13
3,6,"6",13
3,6,"8",13
3,6,"9",13
3,7,"1",12
3,7,"11",12
3,7,"16",12
3,7,"2",12
3,7,"22",12
3,7,"25",12
3,7,"3",12
3,7,"30",12
3,7,"4",12
3,7,"5",12
3,7,"6",12
3,7,"8",12
3,8,"1",14
3,8,"10",14
3,8,"11",14
3,8,"16",14
3,8,"2",14
3,8,"22",14
3,8,"24",14
3,8,"25",14
3,8,"3",14
3,8,"30",14
3,8,"4",14
3,8,"5",14
3,8,"6",14
3,8,"8",14
3,9,"1",12
3,9,"10",12
3,9,"11",12
3,9,"2",12
3,9,"23",12
3,9,"3",12
3,9,"39",12
3,9,"4",12
3,9,"5",12
3,9,"6",12
3,9,"8",12
3,9,"9",12
3,10,"1",12
3,10,"10",12
3,10,"11",12
3,10,"2",12
3,10,"23",12
3,10,"24",12
3,10,"3",12
3,10,"4",12
3,10,"5",12
3,10,"6",12
3,10,"8",12
3,10,"9",12
3,11,"1",10
3,11,"10",10
3,11,"2",10
3,11,"22",10
3,11,"3",10
3,11,"4",10
3,11,"5",10
3,11,"6",10
3,11,"8",10
3,11,"9",10
3,12,"1",12
3,12,"10",12
3,12,"16",12
3,12,"2",12
3,12,"24",12
3,12,"3",12
3,12,"30",12
3,12,"4",12
3,12,"5",12
3,12,"6",12
3,12,"8",12
3,12,"9",12
3,13,"1",9
3,13,"10",9
3,13,"16",9
3,13,"2",9
3,13,"3",9
3,13,"4",9
3,13,"5",9
3,13,"6",9
3,13,"9",9
3,14,"1",8
3,14,"10",8
3,14,"2",8
3,14,"22",8
3,14,"23",8
3,14,"3",8
3,14,"6",8
3,14,"9",8
4,5,"11",11
4,5,"16",11
4,5,"2",11
4,5,"22",11
4,5,"24",11
4,5,"3",11
4,5,"30",11
4,5,"4",11
4,5,"5",11
4,5,"6",11
4,5,"8",11
4,6,"11",10
4,6,"16",10
4,6,"2",10
4,6,"22",10
4,6,"3",10
4,6,"30",10
4,6,"4",10
4,6,"5",10
4,6,"6",10
4,6,"8",10
4,7,"11",11
4,7,"16",11
4,7,"2",11
4,7,"22",11
4,7,"25",11
4,7,"3",11
4,7,"30",11
4,7,"4",11
4,7,"5",11
4,7,"6",11
4,7,"8",11
4,8,"11",12
4,8,"16",12
4,8,"2",12
4,8,"22",12
4,8,"24",12
4,8,"25",12
4,8,"3",12
4,8,"30",12
4,8,"4",12
