"layer_id","module","lat","Lon"
3,"1",28.5643,-13.8914
3,"27",28.5643,-13.8914
3,"5",28.5643,-13.8914
3,"20",28.5643,-13.8914
3,"10",28.5643,-13.8914
3,"7",28.5643,-13.8914
3,"21",28.5643,-13.8914
3,"2",28.5643,-13.8914
3,"4",28.5643,-13.8914
3,"8",28.5643,-13.8914
3,"3",28.5643,-13.8914
3,"9",28.5643,-13.8914
4,"1",28.5643,-13.8914
4,"5",28.5643,-13.8914
4,"21",28.5643,-13.8914
4,"7",28.5643,-13.8914
4,"4",28.5643,-13.8914
4,"27",28.5643,-13.8914
4,"10",28.5643,-13.8914
4,"3",28.5643,-13.8914
4,"2",28.5643,-13.8914
4,"20",28.5643,-13.8914
5,"21",27.9041,-15.4331
5,"5",27.9041,-15.4331
5,"23",27.9041,-15.4331
5,"8",27.9041,-15.4331
5,"15",27.9041,-15.4331
5,"2",27.9041,-15.4331
5,"9",27.9041,-15.4331
5,"12",27.9041,-15.4331
5,"27",27.9041,-15.4331
5,"10",27.9041,-15.4331
5,"22",27.9041,-15.4331
5,"20",27.9041,-15.4331
5,"18",27.9041,-15.4331
5,"1",27.9041,-15.4331
5,"3",27.9041,-15.4331
5,"7",27.9041,-15.4331
5,"4",27.9041,-15.4331
6,"21",27.9041,-15.4331
6,"2",27.9041,-15.4331
6,"18",27.9041,-15.4331
6,"8",27.9041,-15.4331
6,"23",27.9041,-15.4331
6,"1",27.9041,-15.4331
6,"3",27.9041,-15.4331
6,"9",27.9041,-15.4331
6,"10",27.9041,-15.4331
6,"5",27.9041,-15.4331
6,"12",27.9041,-15.4331
6,"20",27.9041,-15.4331
6,"22",27.9041,-15.4331
6,"27",27.9041,-15.4331
6,"7",27.9041,-15.4331
6,"4",27.9041,-15.4331
7,"18",28.2222,-16.4173
7,"15",28.2222,-16.4173
7,"6",28.2222,-16.4173
7,"5",28.2222,-16.4173
7,"23",28.2222,-16.4173
7,"10",28.2222,-16.4173
7,"2",28.2222,-16.4173
7,"21",28.2222,-16.4173
7,"20",28.2222,-16.4173
7,"3",28.2222,-16.4173
7,"27",28.2222,-16.4173
7,"1",28.2222,-16.4173
7,"22",28.2222,-16.4173
7,"4",28.2222,-16.4173
7,"7",28.2222,-16.4173
8,"18",28.2222,-16.4173
8,"15",28.2222,-16.4173
8,"23",28.2222,-16.4173
8,"5",28.2222,-16.4173
8,"6",28.2222,-16.4173
8,"1",28.2222,-16.4173
8,"27",28.2222,-16.4173
8,"3",28.2222,-16.4173
8,"21",28.2222,-16.4173
8,"20",28.2222,-16.4173
8,"9",28.2222,-16.4173
8,"10",28.2222,-16.4173
8,"12",28.2222,-16.4173
8,"2",28.2222,-16.4173
8,"7",28.2222,-16.4173
8,"4",28.2222,-16.4173
8,"22",28.2222,-16.4173
9,"12",28.3531,-16.9123
9,"3",28.3531,-16.9123
9,"2",28.3531,-16.9123
9,"23",28.3531,-16.9123
9,"15",28.3531,-16.9123
9,"1",28.3531,-16.9123
9,"18",28.3531,-16.9123
9,"8",28.3531,-16.9123
9,"5",28.3531,-16.9123
9,"22",28.3531,-16.9123
9,"7",28.3531,-16.9123
9,"6",28.3531,-16.9123
9,"10",28.3531,-16.9123
9,"9",28.3531,-16.9123
9,"4",28.3531,-16.9123
10,"2",28.3531,-16.9123
10,"12",28.3531,-16.9123
10,"18",28.3531,-16.9123
10,"15",28.3531,-16.9123
10,"22",28.3531,-16.9123
10,"6",28.3531,-16.9123
10,"1",28.3531,-16.9123
10,"7",28.3531,-16.9123
10,"5",28.3531,-16.9123
10,"3",28.3531,-16.9123
10,"8",28.3531,-16.9123
10,"10",28.3531,-16.9123
10,"9",28.3531,-16.9123
10,"23",28.3531,-16.9123
10,"4",28.3531,-16.9123
11,"9",28.0398,-17.2267
11,"18",28.0398,-17.2267
11,"8",28.0398,-17.2267
11,"3",28.0398,-17.2267
11,"22",28.0398,-17.2267
11,"5",28.0398,-17.2267
11,"1",28.0398,-17.2267
11,"6",28.0398,-17.2267
11,"4",28.0398,-17.2267
11,"2",28.0398,-17.2267
11,"7",28.0398,-17.2267
11,"21",28.0398,-17.2267
12,"7",28.0398,-17.2267
12,"3",28.0398,-17.2267
12,"9",28.0398,-17.2267
12,"8",28.0398,-17.2267
12,"12",28.0398,-17.2267
12,"1",28.0398,-17.2267
12,"15",28.0398,-17.2267
12,"4",28.0398,-17.2267
12,"27",28.0398,-17.2267
12,"5",28.0398,-17.2267
12,"2",28.0398,-17.2267
12,"22",28.0398,-17.2267
12,"6",28.0398,-17.2267
12,"20",28.0398,-17.2267
13,"1",27.8047,-17.8954
13,"6",27.8047,-17.8954
13,"3",27.8047,-17.8954
13,"9",27.8047,-17.8954
13,"2",27.8047,-17.8954
13,"8",27.8047,-17.8954
13,"20",27.8047,-17.8954
13,"5",27.8047,-17.8954
13,"4",27.8047,-17.8954
13,"12",27.8047,-17.8954
14,"8",27.8047,-17.8954
14,"1",27.8047,-17.8954
14,"2",27.8047,-17.8954
14,"3",27.8047,-17.8954
14,"5",27.8047,-17.8954
14,"21",27.8047,-17.8954
14,"9",27.8047,-17.8954
