"","layer_from","layer_to","turnover","mean_distance"
"1",1,2,0.122950819672131,305248.84735
"2",1,3,0.072,244280.590775
"3",1,4,0.0833333333333333,339381.7762
"4",1,5,0.0714285714285714,389094.179225
"5",1,6,0.0775193798449612,390008.86975
"6",1,7,0.0300751879699248,437371.016375
"7",2,3,0.154545454545455,190474.59875
"8",2,4,0.146153846153846,284225.3518
"9",2,5,0.108527131782946,337055.48055
"10",2,6,0.178571428571429,376892.630125
"11",2,7,0.092436974789916,455676.643375
"12",3,4,0.258620689655172,116460.649125
"13",3,5,0.238938053097345,173858.830325
"14",3,6,0.264705882352941,200274.260075
"15",3,7,0.175925925925926,274346.546
"16",4,5,0.285714285714286,57464.1820425
"17",4,6,0.279661016949153,92999.56344
"18",4,7,0.173228346456693,172763.448
"19",5,6,0.228813559322034,52751.492455
"20",5,7,0.222222222222222,129414.4136
"21",6,7,0.257142857142857,80112.73198
