"layer_id","lat","Lon"
1,26.161,-14.4222
2,28.5643,-13.8914
3,27.9041,-15.4331
4,28.2222,-16.4173
5,28.3531,-16.9123
6,28.0398,-17.2267
7,27.8047,-17.8954
