"trial_number","layer_from","layer_to","turnover","mean_distance"
1,1,2,0.230088495575221,305248.84735
1,1,3,0.192982456140351,244280.590775
1,1,4,0.161764705882353,339381.7762
1,1,5,0.170542635658915,389094.179225
1,1,6,0.128,390008.86975
1,1,7,0.139344262295082,437371.016375
1,2,3,0.131578947368421,190474.59875
1,2,4,0.143939393939394,284225.3518
1,2,5,0.170731707317073,337055.48055
1,2,6,0.135593220338983,376892.630125
1,2,7,0.147826086956522,455676.643375
1,3,4,0.147286821705426,116460.649125
1,3,5,0.184873949579832,173858.830325
1,3,6,0.15929203539823,200274.260075
1,3,7,0.102564102564103,274346.546
1,4,5,0.198529411764706,57464.1820425
1,4,6,0.186046511627907,92999.56344
1,4,7,0.170542635658915,172763.448
1,5,6,0.206611570247934,52751.492455
1,5,7,0.230769230769231,129414.4136
1,6,7,0.135593220338983,80112.73198
2,1,2,0.230088495575221,305248.84735
2,1,3,0.12396694214876,244280.590775
2,1,4,0.17910447761194,339381.7762
2,1,5,0.161538461538462,389094.179225
2,1,6,0.184873949579832,390008.86975
2,1,7,0.139344262295082,437371.016375
2,2,3,0.102564102564103,190474.59875
2,2,4,0.143939393939394,284225.3518
2,2,5,0.142857142857143,337055.48055
2,2,6,0.155172413793103,376892.630125
2,2,7,0.147826086956522,455676.643375
2,3,4,0.15625,116460.649125
2,3,5,0.155737704918033,173858.830325
2,3,6,0.149122807017544,200274.260075
2,3,7,0.102564102564103,274346.546
2,4,5,0.181159420289855,57464.1820425
2,4,6,0.214285714285714,92999.56344
2,4,7,0.1796875,172763.448
2,5,6,0.226890756302521,52751.492455
2,5,7,0.230769230769231,129414.4136
2,6,7,0.165217391304348,80112.73198
3,1,2,0.219298245614035,305248.84735
3,1,3,0.152542372881356,244280.590775
3,1,4,0.234375,339381.7762
3,1,5,0.161538461538462,389094.179225
3,1,6,0.165289256198347,390008.86975
3,1,7,0.139344262295082,437371.016375
3,2,3,0.131578947368421,190474.59875
3,2,4,0.188976377952756,284225.3518
3,2,5,0.152,337055.48055
3,2,6,0.126050420168067,376892.630125
3,2,7,0.128205128205128,455676.643375
3,3,4,0.165354330708661,116460.649125
3,3,5,0.146341463414634,173858.830325
3,3,6,0.149122807017544,200274.260075
3,3,7,0.112068965517241,274346.546
3,4,5,0.172661870503597,57464.1820425
3,4,6,0.186046511627907,92999.56344
3,4,7,0.188976377952756,172763.448
