"layer_from","node_from","layer_to","node_to","weight"
"WesternSahara2","Euphorbia.balsamifera..f.","TenerifeSouth2","Euphorbia.balsamifera..f.",0.330590891116452
"WesternSahara2","Euphorbia.balsamifera..f.","TenerifeTeno1","Euphorbia.balsamifera..f.",0.327084058069938
"WesternSahara2","Euphorbia.balsamifera..f.","TenerifeTeno2","Euphorbia.balsamifera..f.",0.327081434471112
"WesternSahara2","Euphorbia.balsamifera..f.","Gomera1","Euphorbia.balsamifera..f.",0.327024617212909
"WesternSahara2","Euphorbia.balsamifera..f.","Gomera2","Euphorbia.balsamifera..f.",0.327026024146347
"WesternSahara2","Euphorbia.balsamifera..f.","Hierro1","Euphorbia.balsamifera..f.",0.324144425023749
"WesternSahara2","Euphorbia.balsamifera..f.","Hierro2","Euphorbia.balsamifera..f.",0.324139274089018
"WesternSahara2","Euphorbia.balsamifera..m.","Fuerteventura1","Euphorbia.balsamifera..m.",0.333350313559111
"WesternSahara2","Euphorbia.balsamifera..m.","Fuerteventura2","Euphorbia.balsamifera..m.",0.333351603182563
"WesternSahara2","Euphorbia.balsamifera..m.","GranCanaria1","Euphorbia.balsamifera..m.",0.339350874197237
"WesternSahara2","Euphorbia.balsamifera..m.","GranCanaria2","Euphorbia.balsamifera..m.",0.339340550172944
"WesternSahara2","Euphorbia.balsamifera..m.","TenerifeSouth1","Euphorbia.balsamifera..m.",0.330592681449958
"WesternSahara2","Euphorbia.balsamifera..m.","TenerifeSouth2","Euphorbia.balsamifera..m.",0.330590891116452
"WesternSahara2","Euphorbia.balsamifera..m.","TenerifeTeno1","Euphorbia.balsamifera..m.",0.327084058069938
"WesternSahara2","Euphorbia.balsamifera..m.","TenerifeTeno2","Euphorbia.balsamifera..m.",0.327081434471112
"WesternSahara2","Euphorbia.balsamifera..m.","Gomera1","Euphorbia.balsamifera..m.",0.327024617212909
"WesternSahara2","Euphorbia.balsamifera..m.","Gomera2","Euphorbia.balsamifera..m.",0.327026024146347
"WesternSahara2","Euphorbia.balsamifera..m.","Hierro1","Euphorbia.balsamifera..m.",0.324144425023749
"WesternSahara2","Euphorbia.balsamifera..m.","Hierro2","Euphorbia.balsamifera..m.",0.324139274089018
"WesternSahara2","Fagonia.albiflora","GranCanaria1","Fagonia.albiflora",0.339350874197237
"WesternSahara2","Fagonia.albiflora","GranCanaria2","Fagonia.albiflora",0.339340550172944
"WesternSahara2","Fagonia.albiflora","TenerifeSouth2","Fagonia.albiflora",0.330590891116452
"WesternSahara2","Fagonia.albiflora","TenerifeTeno1","Fagonia.albiflora",0.327084058069938
"WesternSahara2","Fagonia.albiflora","TenerifeTeno2","Fagonia.albiflora",0.327081434471112
"WesternSahara2","Fagonia.albiflora","Gomera2","Fagonia.albiflora",0.327026024146347
"WesternSahara2","Kickxia.heterophylla","Fuerteventura2","Kickxia.heterophylla",0.333351603182563
"WesternSahara2","Launaea.arborescens","Fuerteventura1","Launaea.arborescens",0.333350313559111
"WesternSahara2","Launaea.arborescens","Fuerteventura2","Launaea.arborescens",0.333351603182563
"WesternSahara2","Launaea.arborescens","GranCanaria1","Launaea.arborescens",0.339350874197237
"WesternSahara2","Launaea.arborescens","GranCanaria2","Launaea.arborescens",0.339340550172944
"WesternSahara2","Launaea.arborescens","TenerifeSouth1","Launaea.arborescens",0.330592681449958
"WesternSahara2","Launaea.arborescens","TenerifeSouth2","Launaea.arborescens",0.330590891116452
"WesternSahara2","Launaea.arborescens","TenerifeTeno1","Launaea.arborescens",0.327084058069938
"WesternSahara2","Launaea.arborescens","TenerifeTeno2","Launaea.arborescens",0.327081434471112
"WesternSahara2","Launaea.arborescens","Gomera1","Launaea.arborescens",0.327024617212909
"WesternSahara2","Launaea.arborescens","Gomera2","Launaea.arborescens",0.327026024146347
"WesternSahara2","Lycium.intricatum","Fuerteventura1","Lycium.intricatum",0.333350313559111
"WesternSahara2","Lycium.intricatum","Fuerteventura2","Lycium.intricatum",0.333351603182563
"WesternSahara2","Lycium.intricatum","GranCanaria1","Lycium.intricatum",0.339350874197237
"WesternSahara2","Lycium.intricatum","GranCanaria2","Lycium.intricatum",0.339340550172944
"WesternSahara2","Lycium.intricatum","TenerifeSouth1","Lycium.intricatum",0.330592681449958
"WesternSahara2","Lycium.intricatum","TenerifeSouth2","Lycium.intricatum",0.330590891116452
"WesternSahara2","Lycium.intricatum","TenerifeTeno1","Lycium.intricatum",0.327084058069938
"WesternSahara2","Lycium.intricatum","TenerifeTeno2","Lycium.intricatum",0.327081434471112
"WesternSahara2","Lycium.intricatum","Gomera2","Lycium.intricatum",0.327026024146347
"Fuerteventura1","Euphorbia.balsamifera..f.","Fuerteventura2","Euphorbia.balsamifera..f.",1
"Fuerteventura1","Euphorbia.balsamifera..f.","GranCanaria1","Euphorbia.balsamifera..f.",0.346296433735441
"Fuerteventura1","Euphorbia.balsamifera..f.","GranCanaria2","Euphorbia.balsamifera..f.",0.346299983923273
"Fuerteventura1","Euphorbia.balsamifera..f.","TenerifeSouth1","Euphorbia.balsamifera..f.",0.335258771827668
"Fuerteventura1","Euphorbia.balsamifera..f.","TenerifeSouth2","Euphorbia.balsamifera..f.",0.335264996754792
"Fuerteventura1","Euphorbia.balsamifera..f.","TenerifeTeno1","Euphorbia.balsamifera..f.",0.330777886998271
"Fuerteventura1","Euphorbia.balsamifera..f.","TenerifeTeno2","Euphorbia.balsamifera..f.",0.330765829400474
"Fuerteventura1","Euphorbia.balsamifera..f.","Gomera1","Euphorbia.balsamifera..f.",0.327895433788045
"Fuerteventura1","Euphorbia.balsamifera..f.","Gomera2","Euphorbia.balsamifera..f.",0.327893102849331
