"layer_from","layer_to","ave_distance","turnover","trial"
1,10,389081.6723,0.533333333333333,961
1,10,389081.6723,0.655172413793103,316
1,10,389081.6723,0.62962962962963,952
1,10,389081.6723,0.64,418
1,10,389081.6723,0.689655172413793,405
1,10,389081.6723,0.516129032258065,946
1,10,389081.6723,0.7,60
1,10,389081.6723,0.592592592592593,141
1,10,389081.6723,0.56,247
1,10,389081.6723,0.64,749
1,10,389081.6723,0.424242424242424,955
1,10,389081.6723,0.483870967741935,986
1,10,389081.6723,0.470588235294118,250
1,10,389081.6723,0.655172413793103,526
1,10,389081.6723,0.740740740740741,61
1,10,389081.6723,0.612903225806452,317
1,10,389081.6723,0.62962962962963,273
1,10,389081.6723,0.551724137931034,780
1,10,389081.6723,0.714285714285714,137
1,10,389081.6723,0.633333333333333,100
1,10,389081.6723,0.612903225806452,815
1,10,389081.6723,0.451612903225806,403
1,10,389081.6723,0.615384615384615,274
1,10,389081.6723,0.615384615384615,960
1,10,389081.6723,0.538461538461538,949
1,10,389081.6723,0.5,838
1,10,389081.6723,0.586206896551724,414
1,10,389081.6723,0.586206896551724,907
1,10,389081.6723,0.515151515151515,140
1,10,389081.6723,0.533333333333333,314
1,10,389081.6723,0.653846153846154,751
1,10,389081.6723,0.535714285714286,522
1,10,389081.6723,0.551724137931034,104
1,10,389081.6723,0.555555555555556,207
1,10,389081.6723,0.485714285714286,404
1,10,389081.6723,0.580645161290323,62
1,10,389081.6723,0.666666666666667,781
1,10,389081.6723,0.466666666666667,205
1,10,389081.6723,0.615384615384615,315
1,10,389081.6723,0.518518518518518,206
1,10,389081.6723,0.814814814814815,842
1,10,389081.6723,0.53125,113
1,10,389081.6723,0.68,269
1,10,389081.6723,0.642857142857143,737
1,10,389081.6723,0.571428571428571,63
1,10,389081.6723,0.466666666666667,782
1,10,389081.6723,0.615384615384615,561
1,10,389081.6723,0.6,750
1,10,389081.6723,0.6,70
1,10,389081.6723,0.571428571428571,841
1,10,389081.6723,0.75,419
1,10,389081.6723,0.592592592592593,388
1,10,389081.6723,0.620689655172414,752
1,10,389081.6723,0.6,990
1,10,389081.6723,0.6,953
1,10,389081.6723,0.607142857142857,840
1,10,389081.6723,0.655172413793103,959
1,10,389081.6723,0.625,260
1,10,389081.6723,0.642857142857143,948
1,10,389081.6723,0.580645161290323,98
1,10,389081.6723,0.612903225806452,409
1,10,389081.6723,0.59375,908
1,10,389081.6723,0.6,839
1,10,389081.6723,0.535714285714286,349
1,10,389081.6723,0.535714285714286,947
1,10,389081.6723,0.46875,812
1,10,389081.6723,0.620689655172414,159
1,10,389081.6723,0.6,109
1,10,389081.6723,0.46875,271
1,10,389081.6723,0.703703703703704,321
1,10,389081.6723,0.551724137931034,745
1,10,389081.6723,0.689655172413793,784
1,10,389081.6723,0.6,277
1,10,389081.6723,0.75,645
1,10,389081.6723,0.483870967741935,632
1,10,389081.6723,0.62962962962963,145
1,10,389081.6723,0.571428571428571,843
1,10,389081.6723,0.703703703703704,962
1,10,389081.6723,0.433333333333333,408
1,10,389081.6723,0.612903225806452,251
1,10,389081.6723,0.607142857142857,531
1,10,389081.6723,0.588235294117647,107
1,10,389081.6723,0.633333333333333,144
1,10,389081.6723,0.5,992
1,10,389081.6723,0.580645161290323,38
1,10,389081.6723,0.566666666666667,7
1,10,389081.6723,0.482758620689655,131
1,10,389081.6723,0.592592592592593,143
1,10,389081.6723,0.483870967741935,985
1,10,389081.6723,0.592592592592593,954
1,10,389081.6723,0.633333333333333,87
1,10,389081.6723,0.576923076923077,282
1,10,389081.6723,0.59375,68
1,10,389081.6723,0.709677419354839,523
1,10,389081.6723,0.52,535
1,10,389081.6723,0.571428571428571,410
1,10,389081.6723,0.76,816
1,10,389081.6723,0.586206896551724,416
1,10,389081.6723,0.586206896551724,204
1,10,389081.6723,0.538461538461538,697
1,10,389081.6723,0.566666666666667,154
1,10,389081.6723,0.466666666666667,771
1,10,389081.6723,0.653846153846154,528
1,10,389081.6723,0.533333333333333,415
1,10,389081.6723,0.529411764705882,199
1,10,389081.6723,0.62962962962963,153
1,10,389081.6723,0.666666666666667,72
1,10,389081.6723,0.4,390
1,10,389081.6723,0.642857142857143,527
1,10,389081.6723,0.714285714285714,633
1,10,389081.6723,0.666666666666667,115
1,10,389081.6723,0.5,71
1,10,389081.6723,0.620689655172414,407
1,10,389081.6723,0.566666666666667,963
1,10,389081.6723,0.6,389
1,10,389081.6723,0.592592592592593,139
1,10,389081.6723,0.615384615384615,532
1,10,389081.6723,0.5,406
1,10,389081.6723,0.580645161290323,276
1,10,389081.6723,0.518518518518518,382
1,10,389081.6723,0.689655172413793,138
1,10,389081.6723,0.514285714285714,562
1,10,389081.6723,0.607142857142857,32
1,10,389081.6723,0.64,412
1,10,389081.6723,0.678571428571429,1
1,10,389081.6723,0.642857142857143,743
1,10,389081.6723,0.558823529411765,275
1,10,389081.6723,0.5625,69
1,10,389081.6723,0.5625,524
1,10,389081.6723,0.484848484848485,162
1,10,389081.6723,0.6,779
1,10,389081.6723,0.586206896551724,249
1,10,389081.6723,0.6,847
1,10,389081.6723,0.517241379310345,673
1,10,389081.6723,0.551724137931034,99
1,10,389081.6723,0.517241379310345,161
1,10,389081.6723,0.515151515151515,585
1,10,389081.6723,0.620689655172414,909
1,10,389081.6723,0.551724137931034,379
1,10,389081.6723,0.517241379310345,117
1,10,389081.6723,0.625,285
1,10,389081.6723,0.653846153846154,160
1,10,389081.6723,0.666666666666667,753
1,10,389081.6723,0.807692307692308,272
1,10,389081.6723,0.448275862068966,59
1,10,389081.6723,0.68,103
1,10,389081.6723,0.518518518518518,259
1,10,389081.6723,0.666666666666667,278
1,10,389081.6723,0.612903225806452,564
1,10,389081.6723,0.548387096774194,957
1,10,389081.6723,0.419354838709677,290
1,10,389081.6723,0.533333333333333,950
1,10,389081.6723,0.481481481481481,776
1,10,389081.6723,0.551724137931034,233
1,10,389081.6723,0.515151515151515,520
1,10,389081.6723,0.517241379310345,813
1,10,389081.6723,0.645161290322581,264
1,10,389081.6723,0.5,956
1,10,389081.6723,0.633333333333333,993
1,10,389081.6723,0.551724137931034,39
