"distance_in_meters","layer_from","layer_to"
505.679714,1,2
437457.0124,1,14
437366.7753,1,13
244218.2947,1,6
244126.1002,1,5
389999.5747,1,12
390021.0886,1,11
339340.9395,1,8
339317.6653,1,7
389081.6723,1,10
389041.2745,1,9
305014.2086,1,4
305029.0863,1,3
505.679714,2,1
437375.2712,2,14
437285.0066,2,13
244435.1061,2,6
244342.8621,2,5
389996.6073,2,12
390018.2084,2,11
339445.9549,2,8
339422.5451,2,7
389146.973,2,10
389106.7971,2,9
305468.5845,2,4
305483.51,2,3
305483.51,3,2
305029.0863,3,1
455736.6729,3,14
455682.8693,3,13
190493.473,3,6
190517.2168,3,5
376943.1528,3,12
376908.7486,3,11
284225.6416,3,8
284291.92,3,7
337167.3216,3,10
337010.9202,3,9
67.363151,3,4
305468.5845,4,2
305014.2086,4,1
455670.4165,4,14
455616.6148,4,13
190431.974,4,6
190455.7312,4,5
376876.5125,4,12
376842.1066,4,11
284158.7826,4,8
284225.063,4,7
337100.0413,4,10
336943.6391,4,9
67.363151,4,3
244342.8621,5,2
244126.1002,5,1
274386.7194,5,14
274321.0892,5,13
95.95512,5,6
200296.3813,5,12
200279.0495,5,11
116473.2763,5,8
116498.0882,5,7
173938.4686,5,10
173827.6658,5,9
190455.7312,5,4
190517.2168,5,3
244435.1061,6,2
244218.2947,6,1
274371.9913,6,14
274306.3841,6,13
95.95512,6,5
200269.4864,6,12
200252.1231,6,11
116423.1775,6,8
116448.0545,6,7
173890.0276,6,10
173779.1593,6,9
190431.974,6,4
190493.473,6,3
339422.5451,7,2
339317.6653,7,1
172748.3908,7,14
172702.2428,7,13
116448.0545,7,6
116498.0882,7,5
92982.62174,7,12
92943.79946,7,11
95.901643,7,8
57507.0912,7,10
57391.05093,7,9
284225.063,7,4
284291.92,7,3
339445.9549,8,2
339340.9395,8,1
172824.6395,8,14
172778.5189,8,13
116423.1775,8,6
116473.2763,8,5
93055.34728,8,12
93016.48528,8,11
95.901643,8,7
57537.41864,8,10
57421.1674,8,9
284158.7826,8,4
284225.6416,8,3
389106.7971,9,2
389041.2745,9,1
129514.9474,9,14
129490.6054,9,13
173779.1593,9,6
173827.6658,9,5
52869.02752,9,12
52803.77965,9,11
57421.1674,9,8
57391.05093,9,7
176.725963,9,10
336943.6391,9,4
337010.9202,9,3
389146.973,10,2
389081.6723,10,1
129338.2219,10,14
129313.8797,10,13
173890.0276,10,6
173938.4686,10,5
52699.21787,10,12
52633.94478,10,11
57537.41864,10,8
57507.0912,10,7
176.725963,10,9
337100.0413,10,4
337167.3216,10,3
390018.2084,11,2
390021.0886,11,1
80155.97026,11,14
80115.5239,11,13
200252.1231,11,6
200279.0495,11,5
70.701802,11,12
93016.48528,11,8
92943.79946,11,7
52633.94478,11,10
52803.77965,11,9
376842.1066,11,4
376908.7486,11,3
389996.6073,12,2
389999.5747,12,1
80109.96825,12,14
80069.46551,12,13
200269.4864,12,6
200296.3813,12,5
70.701802,12,11
93055.34728,12,8
92982.62174,12,7
52699.21787,12,10
52869.02752,12,9
376876.5125,12,4
376943.1528,12,3
437285.0066,13,2
437366.7753,13,1
93.399466,13,14
274306.3841,13,6
274321.0892,13,5
80069.46551,13,12
80115.5239,13,11
172778.5189,13,8
172702.2428,13,7
129313.8797,13,10
129490.6054,13,9
455616.6148,13,4
455682.8693,13,3
437375.2712,14,2
437457.0124,14,1
93.399466,14,13
274371.9913,14,6
274386.7194,14,5
80109.96825,14,12
80155.97026,14,11
172824.6395,14,8
172748.3908,14,7
129338.2219,14,10
129514.9474,14,9
455670.4165,14,4
455736.6729,14,3
