"layer_from","layer_to","number_of_modules","mean_distance","turnover","distance_in_km"
1,2,1,305248.84735,0.0666666666666667,305.24884735
1,3,1,244280.590775,0.0625,244.280590775
1,4,1,339381.7762,0.0526315789473684,339.3817762
1,5,2,389094.179225,0.105263157894737,389.094179225
1,6,1,390008.86975,0.0588235294117647,390.00886975
2,3,4,190474.59875,0.307692307692308,190.47459875
2,4,4,284225.3518,0.25,284.2253518
2,5,4,337055.48055,0.235294117647059,337.05548055
2,6,5,376892.630125,0.384615384615385,376.892630125
2,7,2,455676.643375,0.153846153846154,455.676643375
3,4,7,116460.649125,0.5,116.460649125
3,5,7,173858.830325,0.466666666666667,173.858830325
3,6,6,200274.260075,0.461538461538462,200.274260075
3,7,4,274346.546,0.333333333333333,274.346546
4,5,9,57464.1820425,0.5625,57.4641820425
4,6,7,92999.56344,0.466666666666667,92.99956344
4,7,4,172763.448,0.266666666666667,172.763448
5,6,8,52751.492455,0.533333333333333,52.751492455
5,7,6,129414.4136,0.428571428571429,129.4144136
6,7,4,80112.73198,0.307692307692308,80.11273198
