"estimate","p_val","statistic","confidence_int_low","confidence_int_high","slope","intercept","rsquared","trial_num"
-0.88552826152248,8.41462131013922e-52,-23.3443826496087,-0.915644416225004,-0.845527213507272,-0.00113500150125511,0.587307822104421,0.782721370634727,1
-0.771642644525808,2.80652397587791e-31,-14.8582029133397,-0.829003536080826,-0.698214883534406,-0.000949669448490714,0.551817354736522,0.592735253323121,2
-0.836733406084475,4.57222285706937e-41,-18.7137580021845,-0.878862158166527,-0.781655957372336,-0.00110463325154944,0.547426228955991,0.698123611476779,3
-0.879941310693987,2.41673833428211e-50,-22.684561675375,-0.91145830326636,-0.838155532806885,-0.00112970403049343,0.568132823595149,0.772792021667623,4
-0.809921831115944,1.40490162347728e-36,-16.9119118332317,-0.858435724294981,-0.747045234346729,-0.00116884100949239,0.608952197629151,0.653679861668326,5
-0.893350931189313,5.6304415194151e-54,-24.3485795993778,-0.921494722820591,-0.855874492973186,-0.00116669347724476,0.625232315018265,0.796729725498526,6
-0.787238164579756,2.63657612205883e-33,-15.6355690088041,-0.841033135381408,-0.71802697030267,-0.00104622191135103,0.567734407628087,0.617208887289376,7
-0.812419877010188,5.75907704840718e-37,-17.0648845175233,-0.860345386750754,-0.750255594063283,-0.00106047926579223,0.613979589925989,0.657759563604991,8
-0.895389138614325,1.43249264895519e-54,-24.6274739619814,-0.923016933918264,-0.858575426917196,-0.00129696852445109,0.639736833429375,0.800399854278828,9
-0.893944457033835,3.79044835881083e-54,-24.4290096053588,-0.921938079822146,-0.856660793819681,-0.00128731149486452,0.6582341269244,0.797797603543262,10
-0.91799611318077,3.98988273942019e-62,-28.3494992248525,-0.93984288825497,-0.888670754623669,-0.00123514038688794,0.621937410516002,0.841668309573768,11
-0.903943864963073,3.31005756831768e-57,-25.8879384376522,-0.929396511113658,-0.869934067938354,-0.00133683373184349,0.627856429902513,0.815895274411075,12
-0.8274577394843,1.99448425626627e-39,-18.0476241867011,-0.871812911205521,-0.769643617371074,-0.00101368191310813,0.53550794752911,0.682584219370017,13
-0.862907780216335,2.60942015245113e-46,-20.9125952354135,-0.898655246488311,-0.81577453238852,-0.00112758903193986,0.564093290854298,0.742907236072269,14
-0.820772020554892,2.64349309171354e-38,-17.5969533582967,-0.866720533018169,-0.761010665960837,-0.00101488716447768,0.557973141763463,0.671491154457265,15
